experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	timingBlips
main	0 	Adi 	 T1 	 0.0 	8 	B 	B 	1.0 	0.0 	0
main	1 	Adi 	 T1 	 0.0 	7 	M 	M 	1.0 	0.0 	0
main	2 	Adi 	 T1 	 0.0 	7 	B 	J 	0.0 	1.0 	0
main	3 	Adi 	 T1 	 0.0 	9 	X 	M 	0.0 	-1.0 	0
main	4 	Adi 	 T1 	 0.0 	9 	Z 	Z 	1.0 	0.0 	0
main	5 	Adi 	 T1 	 0.0 	10 	T 	Y 	0.0 	-1.0 	0
main	6 	Adi 	 T1 	 0.0 	10 	F 	F 	1.0 	0.0 	0
main	7 	Adi 	 T1 	 0.0 	9 	Q 	Q 	1.0 	0.0 	0
main	8 	Adi 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	0
main	9 	Adi 	 T1 	 0.0 	8 	G 	I 	0.0 	-1.0 	0
main	10 	Adi 	 T1 	 0.0 	7 	F 	F 	1.0 	0.0 	0
main	11 	Adi 	 T1 	 0.0 	8 	G 	C 	0.0 	-1.0 	0
main	12 	Adi 	 T1 	 0.0 	6 	F 	F 	1.0 	0.0 	0
main	13 	Adi 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	0
main	14 	Adi 	 T1 	 0.0 	9 	M 	F 	0.0 	-1.0 	0
main	15 	Adi 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	0
main	16 	Adi 	 T1 	 0.0 	6 	C 	C 	1.0 	0.0 	0
main	17 	Adi 	 T1 	 0.0 	8 	T 	N 	0.0 	1.0 	0
main	18 	Adi 	 T1 	 0.0 	7 	P 	B 	0.0 	4.0 	0
main	19 	Adi 	 T1 	 0.0 	7 	P 	P 	1.0 	0.0 	0
main	20 	Adi 	 T1 	 0.0 	8 	W 	S 	0.0 	14.0 	0
main	21 	Adi 	 T1 	 0.0 	9 	B 	A 	0.0 	2.0 	0
main	22 	Adi 	 T1 	 0.0 	10 	C 	C 	1.0 	0.0 	0
main	23 	Adi 	 T1 	 0.0 	6 	B 	B 	1.0 	0.0 	0
main	24 	Adi 	 T1 	 0.0 	6 	Y 	U 	0.0 	-1.0 	0
main	25 	Adi 	 T1 	 0.0 	7 	G 	A 	0.0 	1.0 	0
main	26 	Adi 	 T1 	 0.0 	10 	L 	V 	0.0 	-1.0 	0
main	27 	Adi 	 T1 	 0.0 	6 	K 	Y 	0.0 	2.0 	0
main	28 	Adi 	 T1 	 0.0 	6 	G 	G 	1.0 	0.0 	0
main	29 	Adi 	 T1 	 0.0 	8 	K 	S 	0.0 	-1.0 	0
main	30 	Adi 	 T1 	 0.0 	7 	I 	J 	0.0 	-1.0 	0
