experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlips
main	0 	11 	 T1T2 	 0.0 	14 	0 	2 	0.0 	-1013.0 	19 	4 	5 	0.0 	-1018.0 	[-6, 0] 	0
main	1 	11 	 T1T2 	 0.0 	14 	2 	4 	0.0 	-1013.0 	16 	6 	6 	1.0 	-1015.0 	[-6, 0] 	0
main	2 	11 	 T1T2 	 0.0 	14 	4 	3 	0.0 	-1013.0 	24 	6 	6 	1.0 	-1023.0 	[-6, 0] 	0
main	3 	11 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	22 	8 	8 	1.0 	-1021.0 	[-6, 0] 	0
main	4 	11 	 T1T2 	 0.0 	14 	7 	3 	0.0 	-1013.0 	15 	5 	5 	1.0 	-1014.0 	[-6, 0] 	0
main	5 	11 	 T1T2 	 0.0 	10 	6 	3 	0.0 	-1009.0 	15 	2 	8 	0.0 	-1014.0 	[-6, 0] 	0
main	6 	11 	 T1T2 	 0.0 	10 	6 	5 	0.0 	-1009.0 	12 	7 	6 	0.0 	-1011.0 	[-6, 0] 	0
main	7 	11 	 T1T2 	 0.0 	10 	6 	1 	0.0 	-1009.0 	20 	0 	6 	0.0 	-1019.0 	[-6, 0] 	0
main	8 	11 	 T1T2 	 0.0 	10 	0 	9 	0.0 	-1009.0 	18 	8 	8 	1.0 	-1017.0 	[-6, 0] 	0
main	9 	11 	 T1T2 	 0.0 	10 	7 	5 	0.0 	-1009.0 	11 	6 	6 	1.0 	-1010.0 	[-6, 0] 	0
main	10 	11 	 T1T2 	 0.0 	6 	8 	8 	1.0 	-1005.0 	11 	6 	6 	1.0 	-1010.0 	[-6, 0] 	0
main	11 	11 	 T1T2 	 0.0 	6 	0 	5 	0.0 	-1005.0 	8 	5 	0 	0.0 	-1007.0 	[-6, 0] 	0
main	12 	11 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	16 	1 	1 	1.0 	-1015.0 	[-6, 0] 	0
main	13 	11 	 T1T2 	 0.0 	6 	9 	9 	1.0 	-1005.0 	14 	2 	2 	1.0 	-1013.0 	[-6, 0] 	0
main	14 	11 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	7 	8 	8 	1.0 	-1006.0 	[-6, 0] 	0
main	15 	11 	 T1T2 	 0.0 	8 	4 	4 	1.0 	-1007.0 	13 	2 	2 	1.0 	-1012.0 	[-6, 0] 	0
main	16 	11 	 T1T2 	 0.0 	8 	1 	2 	0.0 	-1007.0 	10 	9 	9 	1.0 	-1009.0 	[-6, 0] 	0
main	17 	11 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	18 	7 	7 	1.0 	-1017.0 	[-6, 0] 	0
main	18 	11 	 T1T2 	 0.0 	8 	5 	3 	0.0 	-1007.0 	16 	6 	5 	0.0 	-1015.0 	[-6, 0] 	0
