experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
timingBlips
main	0 	13 	 T1T2 	 0.0 	14 	8 	2 	0.0 	-1013.0 	24 	4 	3 	0.0 	-1023.0 	[6, 0] 	0
main	1 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	16 	5 	1 	0.0 	-1015.0 	[6, 0] 	0
main	2 	13 	 T1T2 	 0.0 	14 	0 	3 	0.0 	-1013.0 	15 	3 	3 	1.0 	-1014.0 	[6, 0] 	0
main	3 	13 	 T1T2 	 0.0 	14 	6 	5 	0.0 	-1013.0 	19 	0 	6 	0.0 	-1018.0 	[6, 0] 	0
main	4 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	22 	4 	4 	1.0 	-1021.0 	[6, 0] 	0
main	5 	13 	 T1T2 	 0.0 	8 	4 	6 	0.0 	-1007.0 	18 	6 	0 	0.0 	-1017.0 	[6, 0] 	7
main	6 	13 	 T1T2 	 0.0 	8 	2 	4 	0.0 	-1007.0 	10 	8 	7 	0.0 	-1009.0 	[6, 0] 	0
main	7 	13 	 T1T2 	 0.0 	8 	0 	4 	0.0 	-1007.0 	9 	7 	7 	1.0 	-1008.0 	[6, 0] 	0
main	8 	13 	 T1T2 	 0.0 	8 	7 	9 	0.0 	-1007.0 	13 	8 	9 	0.0 	-1012.0 	[6, 0] 	0
main	9 	13 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	16 	7 	7 	1.0 	-1015.0 	[6, 0] 	0
main	10 	13 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	16 	8 	8 	1.0 	-1015.0 	[6, 0] 	0
main	11 	13 	 T1T2 	 0.0 	6 	4 	4 	1.0 	-1005.0 	8 	7 	0 	0.0 	-1007.0 	[6, 0] 	0
main	12 	13 	 T1T2 	 0.0 	6 	7 	9 	0.0 	-1005.0 	7 	9 	0 	0.0 	-1006.0 	[6, 0] 	0
main	13 	13 	 T1T2 	 0.0 	6 	7 	4 	0.0 	-1005.0 	11 	4 	7 	0.0 	-1010.0 	[6, 0] 	0
main	14 	13 	 T1T2 	 0.0 	6 	4 	7 	0.0 	-1005.0 	14 	7 	0 	0.0 	-1013.0 	[6, 0] 	0
main	15 	13 	 T1T2 	 0.0 	10 	6 	0 	0.0 	-1009.0 	20 	2 	2 	1.0 	-1019.0 	[6, 0] 	0
main	16 	13 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	12 	8 	2 	0.0 	-1011.0 	[6, 0] 	0
main	17 	13 	 T1T2 	 0.0 	10 	0 	2 	0.0 	-1009.0 	11 	2 	0 	0.0 	-1010.0 	[6, 0] 	0
main	18 	13 	 T1T2 	 0.0 	10 	2 	4 	0.0 	-1009.0 	15 	7 	8 	0.0 	-1014.0 	[6, 0] 	0
main	19 	13 	 T1T2 	 0.0 	10 	0 	1 	0.0 	-1009.0 	18 	7 	1 	0.0 	-1017.0 	[6, 0] 	0
main	20 	13 	 T1T2 	 0.0 	14 	8 	1 	0.0 	-1013.0 	24 	2 	2 	1.0 	-1023.0 	[-2, 0] 	0
main	21 	13 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	16 	5 	4 	0.0 	-1015.0 	[-2, 0] 	0
main	22 	13 	 T1T2 	 0.0 	14 	1 	0 	0.0 	-1013.0 	15 	5 	1 	0.0 	-1014.0 	[-2, 0] 	1
main	23 	13 	 T1T2 	 0.0 	14 	1 	1 	1.0 	-1013.0 	19 	6 	7 	0.0 	-1018.0 	[-2, 0] 	0
main	24 	13 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	22 	7 	7 	1.0 	-1021.0 	[-2, 0] 	0
main	25 	13 	 T1T2 	 0.0 	8 	1 	1 	1.0 	-1007.0 	18 	5 	5 	1.0 	-1017.0 	[-2, 0] 	0
