experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,answerPos1,answer1,response1,correct1,responsePosRelative1,spatialPos,timingBlips
main,0,2, T1T2 ,0,8,8,8,1,-1007,18,4,0,0,-1017,"[2, 0] ",0
main,1,2, T1T2 ,0,8,9,5,0,-1007,9,5,9,0,-1008,"[2, 0] ",0
main,2,2, T1T2 ,0,8,9,9,1,-1007,10,2,2,1,-1009,"[2, 0] ",0
main,3,2, T1T2 ,0,8,7,7,1,-1007,13,8,0,0,-1012,"[2, 0] ",0
main,4,2, T1T2 ,0,8,3,3,1,-1007,16,1,1,1,-1015,"[2, 0] ",0
main,5,2, T1T2 ,0,6,1,1,1,-1005,16,8,8,1,-1015,"[2, 0] ",0
main,6,2, T1T2 ,0,6,7,5,0,-1005,7,5,7,0,-1006,"[2, 0] ",0
main,7,2, T1T2 ,0,6,6,7,0,-1005,8,5,6,0,-1007,"[2, 0] ",0
main,8,2, T1T2 ,0,6,8,8,1,-1005,11,1,1,1,-1010,"[2, 0] ",0
main,9,2, T1T2 ,0,6,7,6,0,-1005,14,0,7,0,-1013,"[2, 0] ",0
main,10,2, T1T2 ,0,14,1,1,1,-1013,24,4,4,1,-1023,"[2, 0] ",0
main,11,2, T1T2 ,0,14,5,1,0,-1013,15,1,5,0,-1014,"[2, 0] ",0
main,12,2, T1T2 ,0,14,8,1,0,-1013,16,4,8,0,-1015,"[2, 0] ",0
main,13,2, T1T2 ,0,14,4,4,1,-1013,19,3,3,1,-1018,"[2, 0] ",0
main,14,2, T1T2 ,0,14,3,3,1,-1013,22,2,2,1,-1021,"[2, 0] ",0
main,15,2, T1T2 ,0,10,6,6,1,-1009,20,9,9,1,-1019,"[2, 0] ",0
main,16,2, T1T2 ,0,10,4,7,0,-1009,11,7,4,0,-1010,"[2, 0] ",0
main,17,2, T1T2 ,0,10,9,9,1,-1009,12,5,1,0,-1011,"[2, 0] ",0
main,18,2, T1T2 ,0,10,4,4,1,-1009,15,5,5,1,-1014,"[2, 0] ",0
main,19,2, T1T2 ,0,10,3,4,0,-1009,18,5,8,0,-1017,"[2, 0] ",0
main,20,2, T1T2 ,0,8,3,3,1,-1007,18,4,4,1,-1017,"[-2, 0] ",0
main,21,2, T1T2 ,0,8,0,1,0,-1007,9,3,3,1,-1008,"[-2, 0] ",0
main,22,2, T1T2 ,0,8,4,2,0,-1007,10,9,4,0,-1009,"[-2, 0] ",0
main,23,2, T1T2 ,0,8,8,8,1,-1007,13,9,9,1,-1012,"[-2, 0] ",0
main,24,2, T1T2 ,0,8,6,6,1,-1007,16,0,0,1,-1015,"[-2, 0] ",0
main,25,2, T1T2 ,0,6,8,8,1,-1005,16,1,1,1,-1015,"[-2, 0] ",0
main,26,2, T1T2 ,0,6,3,3,1,-1005,7,7,7,1,-1006,"[-2, 0] ",0
main,27,2, T1T2 ,0,6,7,1,0,-1005,8,5,7,0,-1007,"[-2, 0] ",0
main,28,2, T1T2 ,0,6,9,2,0,-1005,11,1,9,0,-1010,"[-2, 0] ",0
main,29,2, T1T2 ,0,6,9,9,1,-1005,14,4,4,1,-1013,"[-2, 0] ",0
main,30,2, T1T2 ,0,14,7,0,0,-1013,24,2,2,1,-1023,"[-2, 0] ",0
main,31,2, T1T2 ,0,14,8,8,1,-1013,15,6,6,1,-1014,"[-2, 0] ",0
main,32,2, T1T2 ,0,14,2,4,0,-1013,16,4,2,0,-1015,"[-2, 0] ",0
main,33,2, T1T2 ,0,14,4,8,0,-1013,19,6,6,1,-1018,"[-2, 0] ",0
main,34,2, T1T2 ,0,14,6,6,1,-1013,22,3,3,1,-1021,"[-2, 0] ",0
main,35,2, T1T2 ,0,10,4,4,1,-1009,20,7,7,1,-1019,"[-2, 0] ",0
main,36,2, T1T2 ,0,10,2,2,1,-1009,11,5,5,1,-1010,"[-2, 0] ",1
main,37,2, T1T2 ,0,10,6,5,0,-1009,12,5,6,0,-1011,"[-2, 0] ",0
main,38,2, T1T2 ,0,10,9,9,1,-1009,15,7,7,1,-1014,"[-2, 0] ",0
main,39,2, T1T2 ,0,10,3,7,0,-1009,18,7,3,0,-1017,"[-2, 0] ",0
main,40,2, T1T2 ,0,8,8,8,1,-1007,18,4,4,1,-1017,"[6, 0] ",0
main,41,2, T1T2 ,0,8,5,3,0,-1007,9,7,7,1,-1008,"[6, 0] ",0
main,42,2, T1T2 ,0,8,8,8,1,-1007,10,0,4,0,-1009,"[6, 0] ",0
main,43,2, T1T2 ,0,8,7,0,0,-1007,13,9,7,0,-1012,"[6, 0] ",0
main,44,2, T1T2 ,0,8,9,9,1,-1007,16,5,5,1,-1015,"[6, 0] ",0
main,45,2, T1T2 ,0,6,4,3,0,-1005,16,0,0,1,-1015,"[6, 0] ",0
main,46,2, T1T2 ,0,6,8,8,1,-1005,7,3,3,1,-1006,"[6, 0] ",0
main,47,2, T1T2 ,0,6,0,0,1,-1005,8,5,5,1,-1007,"[6, 0] ",0
main,48,2, T1T2 ,0,6,1,0,0,-1005,11,2,1,0,-1010,"[6, 0] ",0
main,49,2, T1T2 ,0,6,7,7,1,-1005,14,9,5,0,-1013,"[6, 0] ",0
main,50,2, T1T2 ,0,14,1,0,0,-1013,24,7,1,0,-1023,"[6, 0] ",0
main,51,2, T1T2 ,0,14,4,5,0,-1013,15,8,8,1,-1014,"[6, 0] ",0
main,52,2, T1T2 ,0,14,6,6,1,-1013,16,7,7,1,-1015,"[6, 0] ",0
main,53,2, T1T2 ,0,14,5,4,0,-1013,19,1,5,0,-1018,"[6, 0] ",0
main,54,2, T1T2 ,0,14,7,3,0,-1013,22,6,6,1,-1021,"[6, 0] ",0
main,55,2, T1T2 ,0,10,1,1,1,-1009,20,6,6,1,-1019,"[6, 0] ",0
main,56,2, T1T2 ,0,10,8,8,1,-1009,11,9,9,1,-1010,"[6, 0] ",0
main,57,2, T1T2 ,0,10,9,2,0,-1009,12,2,9,0,-1011,"[6, 0] ",0
main,58,2, T1T2 ,0,10,3,3,1,-1009,15,5,5,1,-1014,"[6, 0] ",0
main,59,2, T1T2 ,0,10,5,5,1,-1009,18,6,6,1,-1017,"[6, 0] ",0
main,60,2, T1T2 ,0,8,6,6,1,-1007,18,0,0,1,-1017,"[-6, 0] ",0
main,61,2, T1T2 ,0,8,1,1,1,-1007,9,2,2,1,-1008,"[-6, 0] ",0
main,62,2, T1T2 ,0,8,1,2,0,-1007,10,9,1,0,-1009,"[-6, 0] ",0
main,63,2, T1T2 ,0,8,4,4,1,-1007,13,6,6,1,-1012,"[-6, 0] ",0
main,64,2, T1T2 ,0,8,6,6,1,-1007,16,3,3,1,-1015,"[-6, 0] ",0
main,65,2, T1T2 ,0,6,8,8,1,-1005,16,4,4,1,-1015,"[-6, 0] ",0
main,66,2, T1T2 ,0,6,0,0,1,-1005,7,2,2,1,-1006,"[-6, 0] ",0
main,67,2, T1T2 ,0,6,9,9,1,-1005,8,5,5,1,-1007,"[-6, 0] ",0
main,68,2, T1T2 ,0,6,1,1,1,-1005,11,8,8,1,-1010,"[-6, 0] ",0
main,69,2, T1T2 ,0,6,5,5,1,-1005,14,8,8,1,-1013,"[-6, 0] ",0
main,70,2, T1T2 ,0,14,2,2,1,-1013,24,8,8,1,-1023,"[-6, 0] ",0
main,71,2, T1T2 ,0,14,6,2,0,-1013,15,2,6,0,-1014,"[-6, 0] ",0
main,72,2, T1T2 ,0,14,8,8,1,-1013,16,1,1,1,-1015,"[-6, 0] ",0
main,73,2, T1T2 ,0,14,6,6,1,-1013,19,9,9,1,-1018,"[-6, 0] ",0
main,74,2, T1T2 ,0,14,0,0,1,-1013,22,4,4,1,-1021,"[-6, 0] ",0
main,75,2, T1T2 ,0,10,2,7,0,-1009,20,7,9,0,-1019,"[-6, 0] ",0
main,76,2, T1T2 ,0,10,1,1,1,-1009,11,2,2,1,-1010,"[-6, 0] ",0
main,77,2, T1T2 ,0,10,4,4,1,-1009,12,9,6,0,-1011,"[-6, 0] ",0
main,78,2, T1T2 ,0,10,7,7,1,-1009,15,5,5,1,-1014,"[-6, 0] ",0
main,79,2, T1T2 ,0,10,0,8,0,-1009,18,8,7,0,-1017,"[-6, 0] ",0
main,80,2, T1T2 ,0,8,9,5,0,-1007,18,4,4,1,-1017,"[2, 0] ",0
main,81,2, T1T2 ,0,8,7,5,0,-1007,9,5,7,0,-1008,"[2, 0] ",0
main,82,2, T1T2 ,0,8,2,2,1,-1007,10,9,1,0,-1009,"[2, 0] ",0
main,83,2, T1T2 ,0,8,7,7,1,-1007,13,3,3,1,-1012,"[2, 0] ",0
main,84,2, T1T2 ,0,8,5,5,1,-1007,16,4,4,1,-1015,"[2, 0] ",0
main,85,2, T1T2 ,0,6,8,8,1,-1005,16,9,9,1,-1015,"[2, 0] ",0
main,86,2, T1T2 ,0,6,7,8,0,-1005,7,8,7,0,-1006,"[2, 0] ",0
