experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	timingBlipsmain	0 	6 	 T1T2 	 0.0 	8 	8 	8 	1.0 	-1007.0 	10 	3 	1 	0.0 	-1009.0 	[-2, 0] 	0
main	1 	6 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	18 	1 	1 	1.0 	-1017.0 	[-2, 0] 	0
main	2 	6 	 T1T2 	 0.0 	8 	9 	9 	1.0 	-1007.0 	16 	0 	0 	1.0 	-1015.0 	[-2, 0] 	0
main	3 	6 	 T1T2 	 0.0 	8 	3 	3 	1.0 	-1007.0 	9 	5 	5 	1.0 	-1008.0 	[-2, 0] 	0
main	4 	6 	 T1T2 	 0.0 	8 	5 	5 	1.0 	-1007.0 	13 	4 	4 	1.0 	-1012.0 	[-2, 0] 	0
main	5 	6 	 T1T2 	 0.0 	14 	9 	8 	0.0 	-1013.0 	16 	8 	2 	0.0 	-1015.0 	[-2, 0] 	0
main	6 	6 	 T1T2 	 0.0 	14 	7 	4 	0.0 	-1013.0 	24 	4 	4 	1.0 	-1023.0 	[-2, 0] 	0
main	7 	6 	 T1T2 	 0.0 	14 	3 	3 	1.0 	-1013.0 	22 	9 	9 	1.0 	-1021.0 	[-2, 0] 	0
main	8 	6 	 T1T2 	 0.0 	14 	4 	5 	0.0 	-1013.0 	15 	5 	4 	0.0 	-1014.0 	[-2, 0] 	0
main	9 	6 	 T1T2 	 0.0 	14 	9 	9 	1.0 	-1013.0 	19 	6 	6 	1.0 	-1018.0 	[-2, 0] 	0
main	10 	6 	 T1T2 	 0.0 	6 	1 	1 	1.0 	-1005.0 	8 	0 	0 	1.0 	-1007.0 	[-2, 0] 	0
main	11 	6 	 T1T2 	 0.0 	6 	3 	3 	1.0 	-1005.0 	16 	2 	2 	1.0 	-1015.0 	[-2, 0] 	0
main	12 	6 	 T1T2 	 0.0 	6 	0 	0 	1.0 	-1005.0 	14 	8 	8 	1.0 	-1013.0 	[-2, 0] 	0
main	13 	6 	 T1T2 	 0.0 	6 	7 	0 	0.0 	-1005.0 	7 	0 	7 	0.0 	-1006.0 	[-2, 0] 	0
main	14 	6 	 T1T2 	 0.0 	6 	6 	6 	1.0 	-1005.0 	11 	0 	0 	1.0 	-1010.0 	[-2, 0] 	0
main	15 	6 	 T1T2 	 0.0 	10 	2 	2 	1.0 	-1009.0 	12 	3 	3 	1.0 	-1011.0 	[-2, 0] 	0
main	16 	6 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	20 	9 	9 	1.0 	-1019.0 	[-2, 0] 	0
main	17 	6 	 T1T2 	 0.0 	10 	8 	8 	1.0 	-1009.0 	18 	5 	4 	0.0 	-1017.0 	[-2, 0] 	0
main	18 	6 	 T1T2 	 0.0 	10 	4 	2 	0.0 	-1009.0 	11 	2 	6 	0.0 	-1010.0 	[-2, 0] 	0
main	19 	6 	 T1T2 	 0.0 	10 	9 	9 	1.0 	-1009.0 	15 	4 	3 	0.0 	-1014.0 	[-2, 0] 	0
