experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	spatialPos	
timingBlips
main	0 	Adi 	 T1T2 	 0.0 	14 	7 	7 	1.0 	-1013.0 	19 	3 	1 	0.0 	-1018.0 	[-6, 0] 	2
main	1 	Adi 	 T1T2 	 0.0 	14 	2 	2 	1.0 	-1013.0 	15 	7 	8 	0.0 	-1014.0 	[-6, 0] 	1
main	2 	Adi 	 T1T2 	 0.0 	14 	3 	7 	0.0 	-1013.0 	16 	9 	3 	0.0 	-1015.0 	[-6, 0] 	1
main	3 	Adi 	 T1T2 	 0.0 	14 	5 	5 	1.0 	-1013.0 	22 	0 	0 	1.0 	-1021.0 	[-6, 0] 	2
main	4 	Adi 	 T1T2 	 0.0 	14 	4 	4 	1.0 	-1013.0 	24 	3 	3 	1.0 	-1023.0 	[-6, 0] 	1
main	5 	Adi 	 T1T2 	 0.0 	8 	6 	9 	0.0 	-1007.0 	13 	9 	5 	0.0 	-1012.0 	[-6, 0] 	1
main	6 	Adi 	 T1T2 	 0.0 	8 	1 	9 	0.0 	-1007.0 	9 	9 	5 	0.0 	-1008.0 	[-6, 0] 	1
main	7 	Adi 	 T1T2 	 0.0 	8 	8 	4 	0.0 	-1007.0 	10 	4 	9 	0.0 	-1009.0 	[-6, 0] 	1
main	8 	Adi 	 T1T2 	 0.0 	8 	0 	6 	0.0 	-1007.0 	16 	6 	2 	0.0 	-1015.0 	[-6, 0] 	0
main	9 	Adi 	 T1T2 	 0.0 	8 	7 	7 	1.0 	-1007.0 	18 	5 	5 	1.0 	-1017.0 	[-6, 0] 	0
main	10 	Adi 	 T1T2 	 0.0 	10 	1 	1 	1.0 	-1009.0 	15 	6 	4 	0.0 	-1014.0 	[-6, 0] 	0
main	11 	Adi 	 T1T2 	 0.0 	10 	9 	1 	0.0 	-1009.0 	11 	5 	5 	1.0 	-1010.0 	[-6, 0] 	0
main	12 	Adi 	 T1T2 	 0.0 	10 	3 	3 	1.0 	-1009.0 	12 	4 	6 	0.0 	-1011.0 	[-6, 0] 	0
main	13 	Adi 	 T1T2 	 0.0 	10 	4 	3 	0.0 	-1009.0 	18 	0 	9 	0.0 	-1017.0 	[-6, 0] 	0
