experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	Adi 	 T1 	 0 	14 	R 	B 	0.0 	2.0 	[1, 0] 	2 	0
main	1 	Adi 	 T1 	 0 	14 	F 	N 	0.0 	2.0 	[1, 0] 	2 	0
main	2 	Adi 	 T1 	 0 	14 	O 	W 	0.0 	2.0 	[1, 0] 	2 	0
main	3 	Adi 	 T1 	 0 	14 	C 	S 	0.0 	-1.0 	[1, 0] 	2 	0
main	4 	Adi 	 T1 	 0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
main	5 	Adi 	 T1 	 0 	14 	O 	M 	0.0 	-1.0 	[1, 0] 	2 	0
main	6 	Adi 	 T1 	 0 	14 	U 	S 	0.0 	-1.0 	[1, 0] 	2 	0
main	7 	Adi 	 T1 	 0 	14 	I 	N 	0.0 	2.0 	[1, 0] 	2 	0
main	8 	Adi 	 T1 	 0 	14 	D 	R 	0.0 	-1.0 	[1, 0] 	2 	0
main	9 	Adi 	 T1 	 0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
main	10 	Adi 	 T1 	 0 	14 	F 	F 	1.0 	0.0 	[1, 0] 	2 	0
main	11 	Adi 	 T1 	 0 	14 	K 	F 	0.0 	-1.0 	[1, 0] 	2 	0
main	12 	Adi 	 T1 	 0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
main	13 	Adi 	 T1 	 0 	14 	R 	S 	0.0 	1.0 	[1, 0] 	2 	0
main	14 	Adi 	 T1 	 0 	14 	T 	P 	0.0 	-1.0 	[1, 0] 	2 	0
main	15 	Adi 	 T1 	 0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
main	16 	Adi 	 T1 	 0 	14 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
main	17 	Adi 	 T1 	 0 	14 	Q 	U 	0.0 	-1.0 	[1, 0] 	2 	0
