cueEccentricity1,responsePosRelative0,count,count1
2,-22,2,0.000460829
10,-22,3,0.000691244
10,-21,2,0.000460829
2,-21,2,0.000460829
2,-20,7,0.0016129
10,-20,4,0.000921659
10,-19,5,0.00115207
2,-19,2,0.000460829
10,-18,7,0.0016129
2,-18,3,0.000691244
2,-17,5,0.00115207
10,-17,2,0.000460829
2,-16,3,0.000691244
10,-16,3,0.000691244
10,-15,12,0.00276498
2,-15,5,0.00115207
2,-14,8,0.00184332
10,-14,15,0.00345622
10,-13,8,0.00184332
2,-13,4,0.000921659
2,-12,10,0.00230415
10,-12,13,0.00299539
2,-11,6,0.00138249
10,-11,23,0.00529954
2,-10,11,0.00253456
10,-10,19,0.00437788
10,-9,16,0.00368664
2,-9,7,0.0016129
10,-8,22,0.00506912
2,-8,14,0.00322581
10,-7,12,0.00276498
2,-7,8,0.00184332
2,-6,14,0.00322581
10,-6,30,0.00691244
10,-5,36,0.00829493
2,-5,27,0.0062212
2,-4,22,0.00506912
10,-4,46,0.0105991
10,-3,48,0.0110599
2,-3,36,0.00829493
2,-2,80,0.0184332
10,-2,137,0.0315668
2,-1,444,0.102304
10,-1,718,0.165438
2,0,2405,0.554147
10,0,1787,0.411751
10,1,855,0.197005
2,1,932,0.214747
10,2,240,0.0552995
2,2,104,0.0239631
2,3,43,0.00990783
10,3,68,0.0156682
10,4,30,0.00691244
2,4,15,0.00345622
2,5,11,0.00253456
10,5,24,0.00552995
2,6,17,0.00391705
10,6,22,0.00506912
10,7,17,0.00391705
2,7,11,0.00253456
10,8,13,0.00299539
2,8,9,0.00207373
2,9,7,0.0016129
10,9,12,0.00276498
10,10,18,0.00414747
2,10,8,0.00184332
10,11,15,0.00345622
2,11,11,0.00253456
10,12,7,0.0016129
2,12,8,0.00184332
10,13,10,0.00230415
2,13,8,0.00184332
10,14,8,0.00184332
2,14,4,0.000921659
2,15,4,0.000921659
10,15,11,0.00253456
10,16,3,0.000691244
2,16,6,0.00138249
2,17,2,0.000460829
10,17,5,0.00115207
10,18,10,0.00230415
2,18,4,0.000921659
10,19,4,0.000921659
2,19,11,0.00253456
