cueEccentricity1,responsePosRelative0,count,count1
10,-22,1,0.000340136
2,-22,2,0.000680272
2,-21,1,0.000340136
10,-19,4,0.00136054
2,-19,1,0.000340136
2,-18,6,0.00204082
10,-18,2,0.000680272
2,-17,5,0.00170068
10,-17,6,0.00204082
2,-16,2,0.000680272
10,-16,5,0.00170068
10,-15,9,0.00306122
2,-15,5,0.00170068
2,-14,4,0.00136054
10,-14,7,0.00238095
10,-13,5,0.00170068
2,-13,6,0.00204082
2,-12,3,0.00102041
10,-12,7,0.00238095
10,-11,5,0.00170068
2,-11,2,0.000680272
10,-10,13,0.00442177
2,-10,7,0.00238095
2,-9,9,0.00306122
10,-9,8,0.00272109
10,-8,15,0.00510204
2,-8,14,0.0047619
2,-7,4,0.00136054
10,-7,10,0.00340136
10,-6,21,0.00714286
2,-6,20,0.00680272
10,-5,26,0.00884354
2,-5,17,0.00578231
2,-4,16,0.00544218
10,-4,39,0.0132653
2,-3,26,0.00884354
10,-3,69,0.0234694
2,-2,167,0.0568027
10,-2,263,0.0894558
2,-1,902,0.306803
10,-1,955,0.32483
2,0,1284,0.436735
10,0,914,0.310884
2,1,255,0.0867347
10,1,316,0.107483
2,2,51,0.0173469
10,2,81,0.027551
2,3,18,0.00612245
10,3,30,0.0102041
10,4,18,0.00612245
2,4,13,0.00442177
2,5,9,0.00306122
10,5,15,0.00510204
2,6,9,0.00306122
10,6,8,0.00272109
10,7,10,0.00340136
2,7,7,0.00238095
10,8,5,0.00170068
2,8,6,0.00204082
10,9,8,0.00272109
2,9,3,0.00102041
10,10,6,0.00204082
2,10,5,0.00170068
10,11,16,0.00544218
2,11,12,0.00408163
10,12,8,0.00272109
2,12,8,0.00272109
2,13,7,0.00238095
10,13,7,0.00238095
2,14,3,0.00102041
10,14,4,0.00136054
10,15,4,0.00136054
2,15,8,0.00272109
10,16,5,0.00170068
2,16,5,0.00170068
10,17,4,0.00136054
2,17,3,0.00102041
10,18,2,0.000680272
2,18,3,0.00102041
10,19,9,0.00306122
2,19,12,0.00408163
