trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
0 	13 	10 	G 	B 	0.0 	8 	B 	G 	0.0 	[-1, 0] 	1.5 	0
1 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	1.5 	0
2 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
3 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	9 	0
4 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	1.5 	0
5 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
6 	13 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[1, 0] 	6.5 	0
7 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	1.5 	0
8 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
9 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
10 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
11 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
12 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	3 	0
13 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
14 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
15 	13 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[-1, 0] 	1.5 	0
16 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
17 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	3 	0
18 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	6.5 	0
19 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
20 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
21 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
22 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	9 	0
23 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
24 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	3 	0
25 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
26 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
27 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[1, 0] 	3 	0
28 	13 	10 	G 	B 	0.0 	7 	B 	G 	0.0 	[1, 0] 	6.5 	0
29 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	1.5 	0
30 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
31 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	0
32 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	9 	0
33 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
34 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	3 	0
35 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	6.5 	0
36 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
37 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
38 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
39 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
40 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
41 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	0
42 	13 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[-1, 0] 	9 	0
43 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
44 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
45 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
46 	13 	10 	G 	B 	0.0 	8 	B 	G 	0.0 	[1, 0] 	6.5 	0
47 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
48 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	6.5 	0
49 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
50 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	3 	0
51 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	6.5 	0
52 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
53 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	6.5 	0
54 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
55 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
56 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
57 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
58 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	6.5 	0
59 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
60 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	9 	0
61 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	6.5 	0
62 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	3 	0
63 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	6.5 	0
64 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	6.5 	0
65 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
66 	13 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[1, 0] 	1.5 	0
67 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
68 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
69 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	3 	0
70 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	9 	0
71 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
72 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
73 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	1.5 	0
74 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
75 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	6.5 	0
76 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
77 	13 	10 	G 	B 	0.0 	7 	B 	G 	0.0 	[1, 0] 	3 	0
78 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	1.5 	0
79 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	9 	0
80 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
81 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
82 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	1.5 	0
83 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	4
84 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
85 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
86 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	3 	0
87 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
88 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
89 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
90 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	6.5 	0
91 	13 	10 	B 	G 	0.0 	14 	G 	B 	0.0 	[-1, 0] 	9 	0
92 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
93 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	3 	0
94 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
95 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
96 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	9 	0
97 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	1.5 	0
98 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
99 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	6.5 	0
100 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	4
101 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	3 	0
102 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
103 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	6.5 	0
104 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	6.5 	0
105 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
106 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
107 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
108 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	6.5 	0
109 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	9 	0
110 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
111 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	9 	0
112 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	6.5 	0
113 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	6.5 	0
114 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
115 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	9 	0
116 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	1.5 	0
117 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
118 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	1.5 	0
119 	13 	10 	G 	B 	0.0 	6 	B 	G 	0.0 	[1, 0] 	6.5 	0
120 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	3 	0
121 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	6.5 	0
122 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
123 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
124 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	9 	0
125 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	9 	0
126 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	6.5 	0
127 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
128 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
129 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
130 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	3 	0
131 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	3 	0
132 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	9 	0
133 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
134 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	1.5 	0
135 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
136 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	3 	0
137 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	3 	0
138 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	3 	0
139 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
140 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
141 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	1.5 	0
142 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	6.5 	0
143 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	6.5 	0
144 	13 	10 	B 	G 	0.0 	12 	G 	B 	0.0 	[-1, 0] 	9 	0
145 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	6.5 	0
146 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	1.5 	0
147 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	6.5 	0
148 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	6.5 	0
149 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	9 	0
150 	13 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[-1, 0] 	9 	0
151 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	9 	0
152 	13 	10 	G 	B 	0.0 	9 	B 	G 	0.0 	[1, 0] 	1.5 	0
153 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	0
154 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[1, 0] 	6.5 	0
155 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	6.5 	0
156 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	3 	0
157 	13 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[1, 0] 	9 	0
158 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	1.5 	0
159 	13 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[1, 0] 	3 	0
160 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	0
161 	13 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	6.5 	0
162 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	1.5 	0
163 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	1.5 	0
164 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
165 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	1.5 	0
166 	13 	10 	G 	B 	0.0 	8 	B 	G 	0.0 	[1, 0] 	6.5 	0
167 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	1.5 	0
168 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	6.5 	0
169 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	9 	0
170 	13 	10 	B 	B 	1.0 	12 	G 	G 	1.0 	[-1, 0] 	3 	0
171 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	3 	0
172 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[-1, 0] 	9 	0
173 	13 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	3 	0
174 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	1.5 	0
175 	13 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
176 	13 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[1, 0] 	9 	0
177 	13 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[1, 0] 	9 	0
178 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
179 	13 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[1, 0] 	1.5 	0
180 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	3 	0
181 	13 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	3 	0
182 	13 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[1, 0] 	6.5 	0
