experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0 ,3 , T1 , 0.0 ,6 ,V ,V ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,1 ,3 , T1 , 0.0 ,8 ,B ,B ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,2 ,3 , T1 , 0.0 ,14 ,B ,S ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,3 ,3 , T1 , 0.0 ,6 ,Z ,Z ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,4 ,3 , T1 , 0.0 ,12 ,X ,X ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,5 ,3 , T1 , 0.0 ,6 ,V ,V ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,6 ,3 , T1 , 0.0 ,12 ,R ,J ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,7 ,3 , T1 , 0.0 ,8 ,D ,D ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,8 ,3 , T1 , 0.0 ,14 ,U ,I ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,9 ,3 , T1 , 0.0 ,10 ,R ,P ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,10 ,3 , T1 , 0.0 ,10 ,W ,A ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,11 ,3 , T1 , 0.0 ,8 ,Y ,Z ,0.0 ,1.0 ,"[-1, 0] ",4 ,0
main,12 ,3 , T1 , 0.0 ,10 ,I ,R ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,13 ,3 , T1 , 0.0 ,10 ,J ,D ,0.0 ,2.0 ,"[1, 0] ",8 ,0
main,14 ,3 , T1 , 0.0 ,14 ,G ,G ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,15 ,3 , T1 , 0.0 ,6 ,U ,J ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,16 ,3 , T1 , 0.0 ,14 ,L ,V ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,17 ,3 , T1 , 0.0 ,12 ,G ,W ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,18 ,3 , T1 , 0.0 ,12 ,G ,U ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,19 ,3 , T1 , 0.0 ,8 ,O ,N ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,20 ,3 , T1 , 0.0 ,12 ,S ,S ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,21 ,3 , T1 , 0.0 ,10 ,Z ,V ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,22 ,3 , T1 , 0.0 ,6 ,B ,B ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,23 ,3 , T1 , 0.0 ,6 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,24 ,3 , T1 , 0.0 ,8 ,V ,J ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,25 ,3 , T1 , 0.0 ,10 ,B ,B ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,26 ,3 , T1 , 0.0 ,10 ,F ,E ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,27 ,3 , T1 , 0.0 ,12 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,28 ,3 , T1 , 0.0 ,14 ,L ,L ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,29 ,3 , T1 , 0.0 ,8 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,30 ,3 , T1 , 0.0 ,10 ,J ,J ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,31 ,3 , T1 , 0.0 ,14 ,O ,A ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,32 ,3 , T1 , 0.0 ,12 ,A ,I ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,33 ,3 , T1 , 0.0 ,8 ,F ,Y ,0.0 ,1.0 ,"[1, 0] ",8 ,0
main,34 ,3 , T1 , 0.0 ,14 ,V ,A ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,35 ,3 , T1 , 0.0 ,12 ,A ,A ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,36 ,3 , T1 , 0.0 ,6 ,Z ,Z ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,37 ,3 , T1 , 0.0 ,14 ,C ,A ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,38 ,3 , T1 , 0.0 ,6 ,L ,L ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,39 ,3 , T1 , 0.0 ,8 ,L ,I ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,40 ,3 , T1 , 0.0 ,8 ,S ,W ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,41 ,3 , T1 , 0.0 ,6 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,42 ,3 , T1 , 0.0 ,10 ,X ,X ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,43 ,3 , T1 , 0.0 ,10 ,T ,I ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,44 ,3 , T1 , 0.0 ,10 ,F ,M ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,45 ,3 , T1 , 0.0 ,14 ,W ,B ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,46 ,3 , T1 , 0.0 ,12 ,C ,G ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,47 ,3 , T1 , 0.0 ,12 ,X ,B ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,48 ,3 , T1 , 0.0 ,14 ,U ,L ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,49 ,3 , T1 , 0.0 ,12 ,K ,K ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,50 ,3 , T1 , 0.0 ,8 ,G ,G ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,51 ,3 , T1 , 0.0 ,10 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,52 ,3 , T1 , 0.0 ,6 ,E ,M ,0.0 ,1.0 ,"[1, 0] ",8 ,0
main,53 ,3 , T1 , 0.0 ,6 ,W ,W ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,54 ,3 , T1 , 0.0 ,8 ,Z ,Z ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,55 ,3 , T1 , 0.0 ,14 ,Q ,S ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,56 ,3 , T1 , 0.0 ,14 ,S ,R ,0.0 ,-4.0 ,"[-1, 0] ",8 ,0
main,57 ,3 , T1 , 0.0 ,6 ,C ,A ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,58 ,3 , T1 , 0.0 ,12 ,A ,A ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,59 ,3 , T1 , 0.0 ,8 ,E ,E ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,60 ,3 , T1 , 0.0 ,8 ,O ,E ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,61 ,3 , T1 , 0.0 ,6 ,I ,D ,0.0 ,1.0 ,"[-1, 0] ",4 ,0
main,62 ,3 , T1 , 0.0 ,8 ,J ,J ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,63 ,3 , T1 , 0.0 ,12 ,Q ,H ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,64 ,3 , T1 , 0.0 ,14 ,K ,D ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,65 ,3 , T1 , 0.0 ,6 ,D ,N ,0.0 ,1.0 ,"[1, 0] ",4 ,0
main,66 ,3 , T1 , 0.0 ,14 ,F ,R ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,67 ,3 , T1 , 0.0 ,12 ,N ,N ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,68 ,3 , T1 , 0.0 ,6 ,O ,S ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,69 ,3 , T1 , 0.0 ,8 ,H ,N ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,70 ,3 , T1 , 0.0 ,10 ,K ,K ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,71 ,3 , T1 , 0.0 ,14 ,E ,W ,0.0 ,-2.0 ,"[1, 0] ",4 ,0
main,72 ,3 , T1 , 0.0 ,10 ,B ,B ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,73 ,3 , T1 , 0.0 ,8 ,O ,W ,0.0 ,1.0 ,"[1, 0] ",8 ,0
main,74 ,3 , T1 , 0.0 ,14 ,U ,U ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,75 ,3 , T1 , 0.0 ,10 ,U ,R ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,76 ,3 , T1 , 0.0 ,12 ,O ,C ,0.0 ,1.0 ,"[1, 0] ",4 ,0
main,77 ,3 , T1 , 0.0 ,12 ,N ,L ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,78 ,3 , T1 , 0.0 ,10 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,79 ,3 , T1 , 0.0 ,6 ,N ,K ,0.0 ,1.0 ,"[1, 0] ",8 ,0
main,80 ,3 , T1 , 0.0 ,12 ,J ,H ,0.0 ,1.0 ,"[1, 0] ",4 ,0
main,81 ,3 , T1 , 0.0 ,12 ,U ,Q ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,82 ,3 , T1 , 0.0 ,12 ,C ,R ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,83 ,3 , T1 , 0.0 ,8 ,Z ,R ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,84 ,3 , T1 , 0.0 ,8 ,H ,H ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,85 ,3 , T1 , 0.0 ,6 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,86 ,3 , T1 , 0.0 ,6 ,V ,V ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,87 ,3 , T1 , 0.0 ,8 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,88 ,3 , T1 , 0.0 ,10 ,F ,G ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,89 ,3 , T1 , 0.0 ,14 ,V ,B ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,90 ,3 , T1 , 0.0 ,12 ,F ,Z ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,91 ,3 , T1 , 0.0 ,14 ,A ,A ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,92 ,3 , T1 , 0.0 ,6 ,U ,A ,0.0 ,11.0 ,"[1, 0] ",8 ,0
main,93 ,3 , T1 , 0.0 ,8 ,P ,A ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,94 ,3 , T1 , 0.0 ,10 ,T ,T ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,95 ,3 , T1 , 0.0 ,6 ,H ,H ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,96 ,3 , T1 , 0.0 ,14 ,C ,A ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,97 ,3 , T1 , 0.0 ,10 ,U ,W ,0.0 ,-2.0 ,"[1, 0] ",8 ,0
main,98 ,3 , T1 , 0.0 ,10 ,P ,P ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,99 ,3 , T1 , 0.0 ,14 ,I ,J ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,100 ,3 , T1 , 0.0 ,12 ,C ,G ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,101 ,3 , T1 , 0.0 ,6 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,102 ,3 , T1 , 0.0 ,8 ,N ,N ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,103 ,3 , T1 , 0.0 ,14 ,X ,Y ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,104 ,3 , T1 , 0.0 ,8 ,X ,X ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,105 ,3 , T1 , 0.0 ,12 ,A ,A ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,106 ,3 , T1 , 0.0 ,6 ,P ,P ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,107 ,3 , T1 , 0.0 ,8 ,U ,U ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,108 ,3 , T1 , 0.0 ,14 ,N ,N ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,109 ,3 , T1 , 0.0 ,12 ,E ,E ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,110 ,3 , T1 , 0.0 ,10 ,N ,W ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
