experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	4 	 T1 	 0.0 	8 	F 	J 	0.0 	17.0 	[-1, 0] 	6 	0
main	1 	4 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[-1, 0] 	6 	0
main	2 	4 	 T1 	 0.0 	12 	Z 	M 	0.0 	1.0 	[1, 0] 	10 	0
main	3 	4 	 T1 	 0.0 	12 	E 	E 	1.0 	0.0 	[-1, 0] 	6 	0
main	4 	4 	 T1 	 0.0 	8 	J 	J 	1.0 	0.0 	[1, 0] 	2 	0
main	5 	4 	 T1 	 0.0 	12 	T 	T 	1.0 	0.0 	[-1, 0] 	10 	0
main	6 	4 	 T1 	 0.0 	10 	H 	E 	0.0 	1.0 	[-1, 0] 	10 	0
main	7 	4 	 T1 	 0.0 	10 	V 	W 	0.0 	-1.0 	[1, 0] 	10 	0
main	8 	4 	 T1 	 0.0 	10 	V 	V 	1.0 	0.0 	[1, 0] 	6 	0
main	9 	4 	 T1 	 0.0 	14 	R 	Q 	0.0 	-2.0 	[1, 0] 	6 	0
main	10 	4 	 T1 	 0.0 	14 	K 	B 	0.0 	1.0 	[-1, 0] 	6 	0
main	11 	4 	 T1 	 0.0 	6 	B 	N 	0.0 	-1.0 	[1, 0] 	6 	0
main	12 	4 	 T1 	 0.0 	6 	R 	G 	0.0 	1.0 	[1, 0] 	10 	0
main	13 	4 	 T1 	 0.0 	12 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
main	14 	4 	 T1 	 0.0 	8 	A 	A 	1.0 	0.0 	[1, 0] 	10 	0
main	15 	4 	 T1 	 0.0 	14 	D 	D 	1.0 	0.0 	[-1, 0] 	10 	0
main	16 	4 	 T1 	 0.0 	14 	U 	H 	0.0 	-1.0 	[1, 0] 	2 	0
main	17 	4 	 T1 	 0.0 	6 	R 	R 	1.0 	0.0 	[-1, 0] 	2 	0
main	18 	4 	 T1 	 0.0 	6 	K 	B 	0.0 	1.0 	[1, 0] 	2 	0
main	19 	4 	 T1 	 0.0 	10 	G 	E 	0.0 	3.0 	[1, 0] 	2 	0
main	20 	4 	 T1 	 0.0 	12 	R 	L 	0.0 	2.0 	[1, 0] 	6 	0
main	21 	4 	 T1 	 0.0 	8 	L 	Y 	0.0 	3.0 	[-1, 0] 	10 	0
main	22 	4 	 T1 	 0.0 	8 	O 	P 	0.0 	-1.0 	[1, 0] 	6 	0
main	23 	4 	 T1 	 0.0 	14 	F 	K 	0.0 	1.0 	[1, 0] 	10 	0
main	24 	4 	 T1 	 0.0 	10 	P 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
main	25 	4 	 T1 	 0.0 	12 	F 	F 	1.0 	0.0 	[-1, 0] 	2 	0
main	26 	4 	 T1 	 0.0 	6 	Y 	Y 	1.0 	0.0 	[-1, 0] 	6 	0
main	27 	4 	 T1 	 0.0 	8 	Y 	Y 	1.0 	0.0 	[-1, 0] 	2 	0
main	28 	4 	 T1 	 0.0 	14 	A 	A 	1.0 	0.0 	[-1, 0] 	2 	0
main	29 	4 	 T1 	 0.0 	6 	X 	U 	0.0 	1.0 	[-1, 0] 	10 	0
main	30 	4 	 T1 	 0.0 	10 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
main	31 	4 	 T1 	 0.0 	6 	T 	R 	0.0 	19.0 	[-1, 0] 	6 	0
main	32 	4 	 T1 	 0.0 	12 	W 	B 	0.0 	1.0 	[-1, 0] 	2 	0
main	33 	4 	 T1 	 0.0 	8 	O 	N 	0.0 	10.0 	[-1, 0] 	6 	0
main	34 	4 	 T1 	 0.0 	12 	X 	H 	0.0 	-1.0 	[-1, 0] 	10 	0
main	35 	4 	 T1 	 0.0 	14 	R 	R 	1.0 	0.0 	[1, 0] 	10 	0
