experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0 ,Adi , T1 , 0.0 ,14 ,V ,S ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,1 ,Adi , T1 , 0.0 ,14 ,I ,T ,0.0 ,1.0 ,"[-1, 0] ",4 ,0
main,2 ,Adi , T1 , 0.0 ,12 ,M ,A ,0.0 ,1.0 ,"[1, 0] ",4 ,0
main,3 ,Adi , T1 , 0.0 ,12 ,I ,H ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,4 ,Adi , T1 , 0.0 ,14 ,L ,L ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,5 ,Adi , T1 , 0.0 ,14 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,6 ,Adi , T1 , 0.0 ,12 ,H ,A ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,7 ,Adi , T1 , 0.0 ,6 ,Y ,Y ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,8 ,Adi , T1 , 0.0 ,8 ,S ,M ,0.0 ,-3.0 ,"[-1, 0] ",8 ,0
main,9 ,Adi , T1 , 0.0 ,10 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,10 ,Adi , T1 , 0.0 ,6 ,J ,U ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,11 ,Adi , T1 , 0.0 ,12 ,U ,S ,0.0 ,-1.0 ,"[-1, 0] ",4 ,0
main,12 ,Adi , T1 , 0.0 ,8 ,D ,D ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,13 ,Adi , T1 , 0.0 ,6 ,D ,P ,0.0 ,2.0 ,"[1, 0] ",4 ,0
main,14 ,Adi , T1 , 0.0 ,10 ,S ,T ,0.0 ,-1.0 ,"[1, 0] ",4 ,0
main,15 ,Adi , T1 , 0.0 ,10 ,Q ,B ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,16 ,Adi , T1 , 0.0 ,8 ,K ,F ,0.0 ,1.0 ,"[1, 0] ",4 ,0
main,17 ,Adi , T1 , 0.0 ,8 ,W ,W ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,18 ,Adi , T1 , 0.0 ,10 ,A ,A ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,19 ,Adi , T1 , 0.0 ,6 ,G ,G ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,20 ,Adi , T1 , 0.0 ,10 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",8 ,0
main,21 ,Adi , T1 , 0.0 ,12 ,L ,E ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
main,22 ,Adi , T1 , 0.0 ,10 ,Z ,Z ,1.0 ,0.0 ,"[-1, 0] ",8 ,0
main,23 ,Adi , T1 , 0.0 ,8 ,Q ,P ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,24 ,Adi , T1 , 0.0 ,6 ,I ,M ,0.0 ,-1.0 ,"[1, 0] ",8 ,0
main,25 ,Adi , T1 , 0.0 ,6 ,L ,L ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,26 ,Adi , T1 , 0.0 ,10 ,T ,T ,1.0 ,0.0 ,"[-1, 0] ",4 ,0
main,27 ,Adi , T1 , 0.0 ,12 ,T ,L ,0.0 ,2.0 ,"[1, 0] ",4 ,0
main,28 ,Adi , T1 , 0.0 ,10 ,J ,J ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,29 ,Adi , T1 , 0.0 ,8 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",4 ,0
main,30 ,Adi , T1 , 0.0 ,14 ,D ,S ,0.0 ,-1.0 ,"[-1, 0] ",8 ,0
