trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
0 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
1 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
2 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	4
3 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
4 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
5 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	2
6 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	4
7 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	7
8 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
9 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
10 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
11 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
12 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
13 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	11
14 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
15 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
16 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
17 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
18 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
19 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
20 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
21 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
22 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
23 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
24 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
25 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	5
26 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
27 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
28 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
29 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
30 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	4
31 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
32 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
33 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
34 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
35 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
36 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	3
37 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
38 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	10
39 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
40 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
41 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
42 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
43 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	16
44 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	15
45 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	3
46 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
47 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
48 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
49 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
50 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	4
51 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	2
52 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
53 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
54 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
55 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
56 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
57 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	2
58 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	3
59 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	11
60 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
61 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
62 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
63 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
64 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	8
65 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
66 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
67 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
68 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
69 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
70 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
71 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
72 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	12
73 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
74 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
75 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
76 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
77 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
78 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
79 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
80 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
81 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
82 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
83 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
84 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
85 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
86 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
87 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
88 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
89 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
90 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
91 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
92 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
93 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	3
94 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	4
95 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	5
96 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
97 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
98 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
99 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
100 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
101 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
102 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
103 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
104 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
105 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	1
106 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
107 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
108 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
109 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
110 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	6
111 	Adi 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	4
112 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
113 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
114 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
115 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	5
116 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	6
117 	Adi 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[-1, 0] 	3 	0
