trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
0 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
1 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
2 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
3 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
4 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
5 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
6 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	5
7 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
8 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
9 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
10 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
11 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
12 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
13 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
14 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	5
15 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
16 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
17 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	1
18 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	5
19 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
20 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
21 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
22 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
23 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
24 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
25 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
26 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
27 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
28 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
29 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
30 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	2
31 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
32 	Adi 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
33 	Adi 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	1.5 	0
