experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
Experiment_3 	0 	15 	 T1 	 0 	18 	T 	S 	0.0 	4.0 	[1, 0] 	5 	0
Experiment_3 	1 	15 	 T1 	 0 	10 	D 	Y 	0.0 	4.0 	[1, 0] 	5 	0
Experiment_3 	2 	15 	 T1 	 0 	14 	T 	T 	1.0 	0.0 	[-1, 0] 	5 	0
Experiment_3 	3 	15 	 T1 	 0 	10 	J 	B 	0.0 	1.0 	[-1, 0] 	1 	0
Experiment_3 	4 	15 	 T1 	 0 	6 	G 	S 	0.0 	3.0 	[1, 0] 	5 	0
Experiment_3 	5 	15 	 T1 	 0 	18 	D 	U 	0.0 	-3.0 	[-1, 0] 	1 	0
Experiment_3 	6 	15 	 T1 	 0 	22 	U 	T 	0.0 	2.0 	[-1, 0] 	5 	0
Experiment_3 	7 	15 	 T1 	 0 	14 	P 	W 	0.0 	1.0 	[-1, 0] 	1 	0
Experiment_3 	8 	15 	 T1 	 0 	22 	Y 	R 	0.0 	1.0 	[1, 0] 	5 	0
Experiment_3 	9 	15 	 T1 	 0 	18 	C 	P 	0.0 	2.0 	[-1, 0] 	5 	0
Experiment_3 	10 	15 	 T1 	 0 	6 	G 	D 	0.0 	1.0 	[1, 0] 	1 	0
Experiment_3 	11 	15 	 T1 	 0 	18 	D 	D 	1.0 	0.0 	[1, 0] 	5 	0
Experiment_3 	12 	15 	 T1 	 0 	18 	A 	A 	1.0 	0.0 	[1, 0] 	5 	0
Experiment_3 	13 	15 	 T1 	 0 	22 	V 	G 	0.0 	1.0 	[-1, 0] 	5 	0
Experiment_3 	14 	15 	 T1 	 0 	18 	I 	S 	0.0 	-1.0 	[-1, 0] 	5 	0
Experiment_3 	15 	15 	 T1 	 0 	22 	B 	A 	0.0 	-1.0 	[1, 0] 	5 	0
Experiment_3 	16 	15 	 T1 	 0 	6 	E 	F 	0.0 	2.0 	[1, 0] 	1 	0
Experiment_3 	17 	15 	 T1 	 0 	22 	S 	Q 	0.0 	-13.0 	[1, 0] 	1 	0
Experiment_3 	18 	15 	 T1 	 0 	6 	U 	S 	0.0 	-1.0 	[1, 0] 	1 	0
Experiment_3 	19 	15 	 T1 	 0 	18 	P 	V 	0.0 	1.0 	[1, 0] 	5 	0
Experiment_3 	20 	15 	 T1 	 0 	22 	G 	P 	0.0 	1.0 	[1, 0] 	1 	0
Experiment_3 	21 	15 	 T1 	 0 	6 	W 	E 	0.0 	3.0 	[1, 0] 	5 	0
Experiment_3 	22 	15 	 T1 	 0 	18 	W 	A 	0.0 	2.0 	[-1, 0] 	5 	0
Experiment_3 	23 	15 	 T1 	 0 	18 	I 	H 	0.0 	1.0 	[-1, 0] 	5 	0
Experiment_3 	24 	15 	 T1 	 0 	6 	I 	R 	0.0 	4.0 	[1, 0] 	1 	0
Experiment_3 	25 	15 	 T1 	 0 	22 	O 	S 	0.0 	1.0 	[1, 0] 	5 	0
Experiment_3 	26 	15 	 T1 	 0 	10 	V 	P 	0.0 	2.0 	[-1, 0] 	1 	0
Experiment_3 	27 	15 	 T1 	 0 	10 	Y 	V 	0.0 	2.0 	[1, 0] 	1 	0
