experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
Experiment_3 ,0,5, T1 ,0,18,G ,T ,0,4,"[1, 0] ",1,0
Experiment_3 ,1,5, T1 ,0,18,C ,S ,0,1,"[-1, 0] ",5,0
Experiment_3 ,2,5, T1 ,0,22,I ,E ,0,3,"[-1, 0] ",5,0
Experiment_3 ,3,5, T1 ,0,22,N ,Q ,0,3,"[1, 0] ",1,0
Experiment_3 ,4,5, T1 ,0,6,P ,I ,0,10,"[-1, 0] ",1,0
Experiment_3 ,5,5, T1 ,0,22,T ,G ,0,1,"[-1, 0] ",5,0
Experiment_3 ,6,5, T1 ,0,22,D ,O ,0,1,"[1, 0] ",5,0
Experiment_3 ,7,5, T1 ,0,18,M ,U ,0,2,"[1, 0] ",5,0
Experiment_3 ,8,5, T1 ,0,22,X ,W ,0,-1,"[1, 0] ",5,0
Experiment_3 ,9,5, T1 ,0,22,I ,E ,0,3,"[-1, 0] ",1,0
Experiment_3 ,10,5, T1 ,0,14,O ,H ,0,1,"[1, 0] ",1,0
Experiment_3 ,11,5, T1 ,0,10,U ,P ,0,2,"[1, 0] ",1,0
Experiment_3 ,12,5, T1 ,0,10,R ,Z ,0,2,"[1, 0] ",1,0
Experiment_3 ,13,5, T1 ,0,10,C ,G ,0,3,"[1, 0] ",5,0
Experiment_3 ,14,5, T1 ,0,22,Q ,D ,0,1,"[-1, 0] ",1,0
Experiment_3 ,15,5, T1 ,0,6,W ,Z ,0,2,"[1, 0] ",1,0
Experiment_3 ,16,5, T1 ,0,14,E ,C ,0,1,"[-1, 0] ",1,0
Experiment_3 ,17,5, T1 ,0,18,C ,B ,0,2,"[1, 0] ",1,0
Experiment_3 ,18,5, T1 ,0,10,F ,E ,0,3,"[-1, 0] ",1,0
Experiment_3 ,19,5, T1 ,0,18,F ,F ,1,0,"[-1, 0] ",1,0
Experiment_3 ,20,5, T1 ,0,14,G ,I ,0,11,"[1, 0] ",5,0
Experiment_3 ,21,5, T1 ,0,14,A ,G ,0,2,"[-1, 0] ",1,0
Experiment_3 ,22,5, T1 ,0,6,P ,W ,0,2,"[-1, 0] ",5,0
Experiment_3 ,23,5, T1 ,0,14,Y ,H ,0,1,"[1, 0] ",5,0
Experiment_3 ,24,5, T1 ,0,14,A ,Y ,0,2,"[-1, 0] ",5,0
Experiment_3 ,25,5, T1 ,0,6,T ,R ,0,2,"[-1, 0] ",1,0
Experiment_3 ,26,5, T1 ,0,6,K ,W ,0,3,"[1, 0] ",5,0
Experiment_3 ,27,5, T1 ,0,18,M ,S ,0,2,"[1, 0] ",5,0
Experiment_3 ,28,5, T1 ,0,18,M ,M ,1,0,"[-1, 0] ",1,0
Experiment_3 ,29,5, T1 ,0,10,L ,A ,0,4,"[1, 0] ",5,0
Experiment_3 ,30,5, T1 ,0,6,F ,P ,0,-1,"[-1, 0] ",5,0
Experiment_3 ,31,5, T1 ,0,6,I ,E ,0,1,"[1, 0] ",1,0
Experiment_3 ,32,5, T1 ,0,18,M ,D ,0,1,"[-1, 0] ",5,0
Experiment_3 ,33,5, T1 ,0,18,D ,U ,0,1,"[1, 0] ",1,0
Experiment_3 ,34,5, T1 ,0,22,H ,K ,0,2,"[-1, 0] ",5,0
Experiment_3 ,35,5, T1 ,0,14,Y ,Y ,1,0,"[1, 0] ",1,0
Experiment_3 ,36,5, T1 ,0,6,M ,Q ,0,2,"[-1, 0] ",5,0
Experiment_3 ,37,5, T1 ,0,22,O ,A ,0,2,"[-1, 0] ",5,0
Experiment_3 ,38,5, T1 ,0,22,T ,T ,1,0,"[1, 0] ",5,0
Experiment_3 ,39,5, T1 ,0,22,D ,G ,0,2,"[-1, 0] ",5,0
