experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	7 	 T1 	 0.0 	12 	Y 	T 	0.0 	1.0 	[1, 0] 	10 	0
main	1 	7 	 T1 	 0.0 	10 	A 	G 	0.0 	1.0 	[-1, 0] 	6 	0
main	2 	7 	 T1 	 0.0 	12 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
main	3 	7 	 T1 	 0.0 	8 	C 	P 	0.0 	1.0 	[1, 0] 	2 	0
main	4 	7 	 T1 	 0.0 	10 	B 	C 	0.0 	-1.0 	[-1, 0] 	10 	0
main	5 	7 	 T1 	 0.0 	10 	E 	N 	0.0 	1.0 	[-1, 0] 	2 	0
main	6 	7 	 T1 	 0.0 	14 	N 	P 	0.0 	-1.0 	[-1, 0] 	6 	0
main	7 	7 	 T1 	 0.0 	6 	S 	F 	0.0 	1.0 	[-1, 0] 	10 	0
main	8 	7 	 T1 	 0.0 	8 	Q 	R 	0.0 	15.0 	[-1, 0] 	10 	0
main	9 	7 	 T1 	 0.0 	12 	A 	A 	1.0 	0.0 	[-1, 0] 	10 	0
main	10 	7 	 T1 	 0.0 	14 	F 	F 	1.0 	0.0 	[1, 0] 	6 	0
main	11 	7 	 T1 	 0.0 	10 	Y 	Y 	1.0 	0.0 	[1, 0] 	6 	0
main	12 	7 	 T1 	 0.0 	8 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
main	13 	7 	 T1 	 0.0 	14 	B 	H 	0.0 	-2.0 	[-1, 0] 	10 	0
main	14 	7 	 T1 	 0.0 	8 	F 	A 	0.0 	2.0 	[1, 0] 	10 	0
main	15 	7 	 T1 	 0.0 	12 	W 	W 	1.0 	0.0 	[1, 0] 	6 	0
main	16 	7 	 T1 	 0.0 	14 	J 	J 	1.0 	0.0 	[-1, 0] 	2 	1
main	17 	7 	 T1 	 0.0 	10 	V 	N 	0.0 	1.0 	[1, 0] 	2 	0
main	18 	7 	 T1 	 0.0 	14 	Y 	P 	0.0 	1.0 	[1, 0] 	2 	0
main	19 	7 	 T1 	 0.0 	6 	T 	T 	1.0 	0.0 	[1, 0] 	6 	0
main	20 	7 	 T1 	 0.0 	12 	X 	V 	0.0 	1.0 	[-1, 0] 	2 	0
main	21 	7 	 T1 	 0.0 	12 	J 	J 	1.0 	0.0 	[-1, 0] 	6 	0
main	22 	7 	 T1 	 0.0 	6 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
main	23 	7 	 T1 	 0.0 	6 	Y 	Y 	1.0 	0.0 	[-1, 0] 	2 	0
main	24 	7 	 T1 	 0.0 	8 	R 	M 	0.0 	-1.0 	[-1, 0] 	6 	0
main	25 	7 	 T1 	 0.0 	10 	M 	M 	1.0 	0.0 	[1, 0] 	10 	0
main	26 	7 	 T1 	 0.0 	14 	J 	J 	1.0 	0.0 	[1, 0] 	10 	0
main	27 	7 	 T1 	 0.0 	8 	L 	V 	0.0 	-3.0 	[1, 0] 	6 	0
main	28 	7 	 T1 	 0.0 	6 	H 	H 	1.0 	0.0 	[-1, 0] 	6 	0
