experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0 ,2 , T1 , 0.0 ,10 ,G ,P ,0.0 ,3.0 ,"[-1, 0] ",6 ,0
main,1 ,2 , T1 , 0.0 ,6 ,C ,W ,0.0 ,2.0 ,"[1, 0] ",6 ,0
main,2 ,2 , T1 , 0.0 ,8 ,S ,N ,0.0 ,5.0 ,"[-1, 0] ",6 ,0
main,3 ,2 , T1 , 0.0 ,14 ,K ,V ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
main,4 ,2 , T1 , 0.0 ,12 ,R ,D ,0.0 ,1.0 ,"[1, 0] ",2 ,0
main,5 ,2 , T1 , 0.0 ,14 ,E ,C ,0.0 ,1.0 ,"[-1, 0] ",10 ,0
main,6 ,2 , T1 , 0.0 ,10 ,I ,W ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
main,7 ,2 , T1 , 0.0 ,12 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",6 ,0
main,8 ,2 , T1 , 0.0 ,12 ,G ,W ,0.0 ,-1.0 ,"[-1, 0] ",10 ,0
main,9 ,2 , T1 , 0.0 ,14 ,R ,M ,0.0 ,-1.0 ,"[-1, 0] ",6 ,0
main,10 ,2 , T1 , 0.0 ,14 ,R ,E ,0.0 ,1.0 ,"[1, 0] ",10 ,0
main,11 ,2 , T1 , 0.0 ,8 ,L ,Y ,0.0 ,2.0 ,"[-1, 0] ",10 ,0
main,12 ,2 , T1 , 0.0 ,6 ,U ,K ,0.0 ,1.0 ,"[-1, 0] ",10 ,0
main,13 ,2 , T1 , 0.0 ,10 ,W ,W ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
main,14 ,2 , T1 , 0.0 ,12 ,P ,U ,0.0 ,-1.0 ,"[1, 0] ",6 ,0
main,15 ,2 , T1 , 0.0 ,8 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",6 ,0
main,16 ,2 , T1 , 0.0 ,14 ,C ,A ,0.0 ,1.0 ,"[1, 0] ",2 ,0
main,17 ,2 , T1 , 0.0 ,8 ,E ,P ,0.0 ,1.0 ,"[1, 0] ",10 ,0
main,18 ,2 , T1 , 0.0 ,8 ,V ,X ,0.0 ,-1.0 ,"[-1, 0] ",2 ,0
main,19 ,2 , T1 , 0.0 ,6 ,T ,K ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
main,20 ,2 , T1 , 0.0 ,12 ,W ,W ,1.0 ,0.0 ,"[-1, 0] ",2 ,0
main,21 ,2 , T1 , 0.0 ,6 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",2 ,0
main,22 ,2 , T1 , 0.0 ,10 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",2 ,0
main,23 ,2 , T1 , 0.0 ,14 ,X ,X ,1.0 ,0.0 ,"[1, 0] ",6 ,0
main,24 ,2 , T1 , 0.0 ,6 ,K ,K ,1.0 ,0.0 ,"[-1, 0] ",6 ,0
main,25 ,2 , T1 , 0.0 ,10 ,T ,V ,0.0 ,-1.0 ,"[1, 0] ",6 ,0
main,26 ,2 , T1 , 0.0 ,8 ,G ,Q ,0.0 ,1.0 ,"[1, 0] ",2 ,0
main,27 ,2 , T1 , 0.0 ,12 ,K ,K ,1.0 ,0.0 ,"[1, 0] ",10 ,0
main,28 ,2 , T1 , 0.0 ,10 ,C ,W ,0.0 ,-1.0 ,"[1, 0] ",10 ,0
main,29 ,2 , T1 , 0.0 ,6 ,N ,L ,0.0 ,1.0 ,"[1, 0] ",10 ,0
main,30 ,2 , T1 , 0.0 ,12 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",2 ,0
main,31 ,2 , T1 , 0.0 ,10 ,W ,N ,0.0 ,1.0 ,"[1, 0] ",10 ,0
main,32 ,2 , T1 , 0.0 ,12 ,V ,Z ,0.0 ,1.0 ,"[1, 0] ",6 ,0
main,33 ,2 , T1 , 0.0 ,6 ,O ,F ,0.0 ,-1.0 ,"[1, 0] ",6 ,0
main,34 ,2 , T1 , 0.0 ,14 ,E ,M ,0.0 ,-1.0 ,"[-1, 0] ",2 ,0
main,35 ,2 , T1 , 0.0 ,8 ,E ,E ,1.0 ,0.0 ,"[-1, 0] ",6 ,0
main,36 ,2 , T1 , 0.0 ,14 ,W ,W ,1.0 ,0.0 ,"[1, 0] ",2 ,0
main,37 ,2 , T1 , 0.0 ,12 ,Y ,U ,0.0 ,-1.0 ,"[-1, 0] ",6 ,0
main,38 ,2 , T1 , 0.0 ,10 ,Y ,X ,0.0 ,-3.0 ,"[1, 0] ",2 ,0
main,39 ,2 , T1 , 0.0 ,12 ,J ,D ,0.0 ,-1.0 ,"[-1, 0] ",10 ,0
main,40 ,2 , T1 , 0.0 ,6 ,O ,Q ,0.0 ,-2.0 ,"[-1, 0] ",10 ,0
