experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	7 	 T1 	 0.0 	12 	D 	W 	0.0 	1.0 	[1, 0] 	10 	0
main	1 	7 	 T1 	 0.0 	10 	E 	E 	1.0 	0.0 	[-1, 0] 	6 	0
main	2 	7 	 T1 	 0.0 	8 	M 	F 	0.0 	2.0 	[-1, 0] 	10 	0
main	3 	7 	 T1 	 0.0 	6 	P 	Z 	0.0 	1.0 	[1, 0] 	2 	0
main	4 	7 	 T1 	 0.0 	6 	I 	S 	0.0 	1.0 	[1, 0] 	6 	0
main	5 	7 	 T1 	 0.0 	8 	G 	N 	0.0 	1.0 	[-1, 0] 	6 	0
main	6 	7 	 T1 	 0.0 	10 	R 	Q 	0.0 	-3.0 	[-1, 0] 	10 	0
main	7 	7 	 T1 	 0.0 	8 	L 	J 	0.0 	1.0 	[1, 0] 	10 	0
main	8 	7 	 T1 	 0.0 	10 	H 	H 	1.0 	0.0 	[1, 0] 	2 	0
main	9 	7 	 T1 	 0.0 	14 	E 	E 	1.0 	0.0 	[1, 0] 	6 	0
main	10 	7 	 T1 	 0.0 	8 	T 	L 	0.0 	-1.0 	[1, 0] 	6 	0
main	11 	7 	 T1 	 0.0 	12 	O 	O 	1.0 	0.0 	[-1, 0] 	10 	0
main	12 	7 	 T1 	 0.0 	10 	C 	F 	0.0 	-1.0 	[1, 0] 	6 	0
main	13 	7 	 T1 	 0.0 	12 	T 	E 	0.0 	1.0 	[-1, 0] 	2 	0
main	14 	7 	 T1 	 0.0 	14 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
main	15 	7 	 T1 	 0.0 	6 	X 	A 	0.0 	1.0 	[-1, 0] 	10 	0
main	16 	7 	 T1 	 0.0 	12 	V 	J 	0.0 	1.0 	[-1, 0] 	6 	0
main	17 	7 	 T1 	 0.0 	6 	Z 	S 	0.0 	1.0 	[1, 0] 	10 	0
main	18 	7 	 T1 	 0.0 	10 	F 	Z 	0.0 	2.0 	[-1, 0] 	2 	0
main	19 	7 	 T1 	 0.0 	14 	K 	A 	0.0 	-1.0 	[-1, 0] 	10 	0
main	20 	7 	 T1 	 0.0 	8 	E 	E 	1.0 	0.0 	[-1, 0] 	2 	0
main	21 	7 	 T1 	 0.0 	14 	F 	F 	1.0 	0.0 	[1, 0] 	10 	0
main	22 	7 	 T1 	 0.0 	10 	W 	B 	0.0 	1.0 	[1, 0] 	10 	0
main	23 	7 	 T1 	 0.0 	6 	V 	M 	0.0 	-1.0 	[-1, 0] 	6 	0
main	24 	7 	 T1 	 0.0 	12 	H 	A 	0.0 	3.0 	[1, 0] 	2 	0
main	25 	7 	 T1 	 0.0 	8 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
main	26 	7 	 T1 	 0.0 	14 	P 	P 	1.0 	0.0 	[-1, 0] 	6 	0
