experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0,5, T1 ,0,22,L ,I ,0,-13,"[-1, 0] ",2,0
main,1,5, T1 ,0,22,C ,P ,0,1,"[-1, 0] ",6,0
main,2,5, T1 ,0,14,O ,O ,1,0,"[1, 0] ",2,0
main,3,5, T1 ,0,14,B ,B ,1,0,"[-1, 0] ",10,0
main,4,5, T1 ,0,6,F ,S ,0,1,"[1, 0] ",10,0
main,5,5, T1 ,0,18,F ,F ,1,0,"[1, 0] ",6,0
main,6,5, T1 ,0,10,D ,D ,1,0,"[-1, 0] ",2,0
main,7,5, T1 ,0,14,G ,G ,1,0,"[-1, 0] ",2,0
main,8,5, T1 ,0,10,V ,W ,0,1,"[1, 0] ",10,0
main,9,5, T1 ,0,22,N ,N ,1,0,"[1, 0] ",6,0
main,10,5, T1 ,0,14,J ,J ,1,0,"[1, 0] ",6,0
main,11,5, T1 ,0,18,N ,N ,1,0,"[1, 0] ",10,0
main,12,5, T1 ,0,18,K ,A ,0,-1,"[-1, 0] ",10,0
main,13,5, T1 ,0,18,D ,D ,1,0,"[-1, 0] ",6,0
main,14,5, T1 ,0,14,L ,W ,0,-1,"[-1, 0] ",6,0
main,15,5, T1 ,0,6,N ,Q ,0,-6,"[-1, 0] ",2,0
main,16,5, T1 ,0,10,E ,E ,1,0,"[-1, 0] ",6,0
main,17,5, T1 ,0,10,E ,E ,1,0,"[1, 0] ",2,0
main,18,5, T1 ,0,18,H ,H ,1,0,"[-1, 0] ",2,0
main,19,5, T1 ,0,6,S ,S ,1,0,"[1, 0] ",2,0
main,20,5, T1 ,0,6,C ,C ,1,0,"[-1, 0] ",6,0
main,21,5, T1 ,0,14,J ,J ,1,0,"[1, 0] ",10,0
main,22,5, T1 ,0,6,A ,A ,1,0,"[-1, 0] ",10,0
main,23,5, T1 ,0,18,I ,N ,0,-1,"[1, 0] ",2,0
main,24,5, T1 ,0,10,V ,M ,0,-1,"[1, 0] ",6,0
main,25,5, T1 ,0,6,Q ,Q ,1,0,"[1, 0] ",6,0
main,26,5, T1 ,0,22,D ,D ,1,0,"[1, 0] ",2,0
main,27,5, T1 ,0,22,K ,K ,1,0,"[1, 0] ",10,0
main,28,5, T1 ,0,10,T ,S ,0,1,"[-1, 0] ",10,0
main,29,5, T1 ,0,22,P ,M ,0,-1,"[-1, 0] ",10,0
main,30,5, T1 ,0,18,L ,L ,1,0,"[1, 0] ",2,0
main,31,5, T1 ,0,6,L ,S ,0,1,"[1, 0] ",10,0
main,32,5, T1 ,0,14,T ,T ,1,0,"[1, 0] ",10,0
main,33,5, T1 ,0,18,Z ,S ,0,1,"[1, 0] ",6,0
main,34,5, T1 ,0,6,T ,T ,1,0,"[1, 0] ",6,0
main,35,5, T1 ,0,14,E ,E ,1,0,"[1, 0] ",6,0
main,36,5, T1 ,0,22,M ,M ,1,0,"[-1, 0] ",2,0
main,37,5, T1 ,0,22,F ,F ,1,0,"[-1, 0] ",6,0
main,38,5, T1 ,0,14,U ,R ,0,1,"[1, 0] ",2,0
main,39,5, T1 ,0,10,Z ,U ,0,1,"[-1, 0] ",6,0
main,40,5, T1 ,0,14,B ,B ,1,0,"[-1, 0] ",2,0
main,41,5, T1 ,0,6,J ,S ,0,1,"[-1, 0] ",10,0
main,42,5, T1 ,0,10,U ,E ,0,1,"[-1, 0] ",10,0
main,43,5, T1 ,0,18,V ,W ,0,-1,"[-1, 0] ",10,0
main,44,5, T1 ,0,14,L ,L ,1,0,"[-1, 0] ",10,0
main,45,5, T1 ,0,22,N ,K ,0,1,"[1, 0] ",10,0
main,46,5, T1 ,0,18,Q ,Q ,1,0,"[-1, 0] ",6,0
main,47,5, T1 ,0,10,F ,N ,0,1,"[1, 0] ",6,0
main,48,5, T1 ,0,6,O ,A ,0,3,"[-1, 0] ",6,0
main,49,5, T1 ,0,14,D ,W ,0,10,"[-1, 0] ",6,0
main,50,5, T1 ,0,10,Z ,A ,0,1,"[1, 0] ",2,0
main,51,5, T1 ,0,18,P ,P ,1,0,"[-1, 0] ",2,0
main,52,5, T1 ,0,22,C ,C ,1,0,"[-1, 0] ",10,0
main,53,5, T1 ,0,6,C ,C ,1,0,"[-1, 0] ",2,0
