experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0,15, T1 ,0,6,E ,O ,0,1,"[-1, 0] ",2,0
main,1,15, T1 ,0,6,L ,J ,0,16,"[1, 0] ",6,0
main,2,15, T1 ,0,22,K ,W ,0,1,"[-1, 0] ",6,0
main,3,15, T1 ,0,6,X ,V ,0,3,"[1, 0] ",2,0
main,4,15, T1 ,0,18,B ,B ,1,0,"[-1, 0] ",2,0
main,5,15, T1 ,0,10,W ,W ,1,0,"[1, 0] ",2,0
main,6,15, T1 ,0,10,G ,M ,0,1,"[-1, 0] ",6,0
main,7,15, T1 ,0,14,A ,A ,1,0,"[1, 0] ",6,0
main,8,15, T1 ,0,18,K ,H ,0,1,"[-1, 0] ",6,0
main,9,15, T1 ,0,22,Q ,Q ,1,0,"[1, 0] ",2,0
main,10,15, T1 ,0,14,H ,Q ,0,1,"[-1, 0] ",6,0
main,11,15, T1 ,0,22,I ,O ,0,-14,"[-1, 0] ",2,0
main,12,15, T1 ,0,18,L ,P ,0,1,"[1, 0] ",2,0
main,13,15, T1 ,0,14,M ,M ,1,0,"[-1, 0] ",2,0
main,14,15, T1 ,0,22,R ,S ,0,1,"[1, 0] ",6,0
main,15,15, T1 ,0,10,Y ,V ,0,1,"[1, 0] ",6,0
main,16,15, T1 ,0,14,D ,B ,0,1,"[1, 0] ",2,0
main,17,15, T1 ,0,6,F ,S ,0,1,"[-1, 0] ",6,0
main,18,15, T1 ,0,18,K ,K ,1,0,"[1, 0] ",6,0
main,19,15, T1 ,0,10,B ,G ,0,1,"[-1, 0] ",2,0
main,20,15, T1 ,0,22,Y ,E ,0,-1,"[1, 0] ",2,0
main,21,15, T1 ,0,14,P ,K ,0,1,"[1, 0] ",2,0
main,22,15, T1 ,0,22,Q ,Q ,1,0,"[-1, 0] ",2,0
main,23,15, T1 ,0,18,U ,U ,1,0,"[1, 0] ",6,0
main,24,15, T1 ,0,10,R ,S ,0,5,"[1, 0] ",6,0
main,25,15, T1 ,0,14,O ,U ,0,1,"[-1, 0] ",2,0
main,26,15, T1 ,0,10,R ,N ,0,1,"[-1, 0] ",6,0
main,27,15, T1 ,0,14,E ,E ,1,0,"[1, 0] ",6,0
main,28,15, T1 ,0,14,L ,X ,0,1,"[-1, 0] ",6,0
main,29,15, T1 ,0,18,E ,C ,0,1,"[1, 0] ",2,0
main,30,15, T1 ,0,6,M ,M ,1,0,"[-1, 0] ",2,0
main,31,15, T1 ,0,22,N ,S ,0,1,"[1, 0] ",6,0
main,32,15, T1 ,0,10,A ,U ,0,1,"[1, 0] ",2,0
main,33,15, T1 ,0,22,O ,Q ,0,-1,"[-1, 0] ",6,0
main,34,15, T1 ,0,18,Y ,W ,0,1,"[-1, 0] ",6,0
main,35,15, T1 ,0,6,F ,D ,0,2,"[1, 0] ",2,0
main,36,15, T1 ,0,10,H ,Z ,0,1,"[-1, 0] ",2,0
main,37,15, T1 ,0,6,V ,G ,0,1,"[-1, 0] ",6,0
main,38,15, T1 ,0,6,R ,J ,0,1,"[1, 0] ",6,0
main,39,15, T1 ,0,18,O ,P ,0,1,"[-1, 0] ",2,0
main,40,15, T1 ,0,10,R ,R ,1,0,"[-1, 0] ",6,0
main,41,15, T1 ,0,22,V ,E ,0,-1,"[1, 0] ",2,0
main,42,15, T1 ,0,18,Y ,M ,0,1,"[-1, 0] ",2,0
main,43,15, T1 ,0,14,F ,W ,0,1,"[-1, 0] ",2,0
main,44,15, T1 ,0,18,B ,P ,0,1,"[1, 0] ",2,0
main,45,15, T1 ,0,14,J ,J ,1,0,"[1, 0] ",6,0
main,46,15, T1 ,0,6,F ,F ,1,0,"[-1, 0] ",6,0
main,47,15, T1 ,0,18,B ,M ,0,2,"[1, 0] ",6,0
main,48,15, T1 ,0,22,A ,S ,0,1,"[-1, 0] ",6,0
main,49,15, T1 ,0,14,Q ,B ,0,1,"[-1, 0] ",6,0
main,50,15, T1 ,0,18,D ,D ,1,0,"[-1, 0] ",6,0
main,51,15, T1 ,0,6,F ,M ,0,3,"[1, 0] ",6,0
main,52,15, T1 ,0,6,S ,R ,0,2,"[1, 0] ",2,0
main,53,15, T1 ,0,10,Z ,Z ,1,0,"[1, 0] ",6,0
main,54,15, T1 ,0,22,A ,W ,0,1,"[1, 0] ",6,0
main,55,15, T1 ,0,10,H ,M ,0,1,"[1, 0] ",2,0
main,56,15, T1 ,0,22,A ,T ,0,1,"[-1, 0] ",2,0
main,57,15, T1 ,0,10,L ,L ,1,0,"[-1, 0] ",2,0
main,58,15, T1 ,0,6,R ,S ,0,2,"[-1, 0] ",2,0
