experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	4 	 T1 	 0.0 	14 	I 	G 	0.0 	11.0 	[1, 0] 	6 	0
main	1 	4 	 T1 	 0.0 	6 	G 	K 	0.0 	1.0 	[1, 0] 	2 	0
main	2 	4 	 T1 	 0.0 	18 	V 	X 	0.0 	1.0 	[1, 0] 	6 	0
main	3 	4 	 T1 	 0.0 	18 	F 	R 	0.0 	-1.0 	[-1, 0] 	6 	0
main	4 	4 	 T1 	 0.0 	14 	N 	E 	0.0 	1.0 	[1, 0] 	2 	0
main	5 	4 	 T1 	 0.0 	22 	C 	P 	0.0 	2.0 	[-1, 0] 	6 	0
main	6 	4 	 T1 	 0.0 	6 	P 	U 	0.0 	6.0 	[-1, 0] 	6 	0
main	7 	4 	 T1 	 0.0 	6 	R 	G 	0.0 	1.0 	[-1, 0] 	2 	0
main	8 	4 	 T1 	 0.0 	22 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
main	9 	4 	 T1 	 0.0 	10 	E 	Y 	0.0 	1.0 	[1, 0] 	2 	0
main	10 	4 	 T1 	 0.0 	14 	X 	L 	0.0 	1.0 	[-1, 0] 	6 	0
main	11 	4 	 T1 	 0.0 	14 	M 	M 	1.0 	0.0 	[-1, 0] 	2 	0
main	12 	4 	 T1 	 0.0 	10 	Q 	Y 	0.0 	-1.0 	[-1, 0] 	2 	0
main	13 	4 	 T1 	 0.0 	10 	F 	F 	1.0 	0.0 	[-1, 0] 	6 	0
main	14 	4 	 T1 	 0.0 	10 	E 	E 	1.0 	0.0 	[1, 0] 	6 	0
main	15 	4 	 T1 	 0.0 	18 	N 	T 	0.0 	1.0 	[-1, 0] 	2 	0
main	16 	4 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	[1, 0] 	6 	0
main	17 	4 	 T1 	 0.0 	22 	Y 	K 	0.0 	1.0 	[1, 0] 	6 	0
main	18 	4 	 T1 	 0.0 	22 	M 	M 	1.0 	0.0 	[-1, 0] 	2 	0
main	19 	4 	 T1 	 0.0 	18 	Q 	O 	0.0 	-1.0 	[1, 0] 	2 	0
main	20 	4 	 T1 	 0.0 	18 	F 	P 	0.0 	-3.0 	[1, 0] 	6 	0
main	21 	4 	 T1 	 0.0 	14 	M 	M 	1.0 	0.0 	[-1, 0] 	6 	0
main	22 	4 	 T1 	 0.0 	22 	B 	G 	0.0 	-1.0 	[-1, 0] 	6 	0
main	23 	4 	 T1 	 0.0 	22 	D 	S 	0.0 	1.0 	[-1, 0] 	2 	0
main	24 	4 	 T1 	 0.0 	6 	U 	M 	0.0 	-1.0 	[1, 0] 	6 	0
main	25 	4 	 T1 	 0.0 	10 	E 	E 	1.0 	0.0 	[1, 0] 	6 	0
main	26 	4 	 T1 	 0.0 	14 	Y 	Y 	1.0 	0.0 	[1, 0] 	6 	0
main	27 	4 	 T1 	 0.0 	22 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
main	28 	4 	 T1 	 0.0 	6 	J 	X 	0.0 	1.0 	[-1, 0] 	2 	0
main	29 	4 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[-1, 0] 	6 	0
main	30 	4 	 T1 	 0.0 	22 	A 	T 	0.0 	-2.0 	[1, 0] 	6 	0
main	31 	4 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[1, 0] 	2 	0
main	32 	4 	 T1 	 0.0 	18 	L 	L 	1.0 	0.0 	[-1, 0] 	6 	0
main	33 	4 	 T1 	 0.0 	18 	S 	R 	0.0 	1.0 	[-1, 0] 	2 	0
main	34 	4 	 T1 	 0.0 	14 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
main	35 	4 	 T1 	 0.0 	6 	H 	Z 	0.0 	2.0 	[-1, 0] 	6 	0
main	36 	4 	 T1 	 0.0 	10 	R 	A 	0.0 	-1.0 	[-1, 0] 	2 	0
main	37 	4 	 T1 	 0.0 	14 	X 	U 	0.0 	1.0 	[-1, 0] 	2 	0
main	38 	4 	 T1 	 0.0 	18 	O 	P 	0.0 	2.0 	[1, 0] 	2 	0
main	39 	4 	 T1 	 0.0 	6 	E 	X 	0.0 	-2.0 	[1, 0] 	2 	0
main	40 	4 	 T1 	 0.0 	22 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
