experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0,5, T1 ,0,14,L ,A ,0,1,"[-1, 0] ",2,0
main,1,5, T1 ,0,6,O ,Q ,0,-1,"[-1, 0] ",6,0
main,2,5, T1 ,0,10,P ,P ,1,0,"[1, 0] ",2,0
main,3,5, T1 ,0,10,B ,B ,1,0,"[-1, 0] ",2,0
main,4,5, T1 ,0,22,P ,P ,1,0,"[1, 0] ",6,0
main,5,5, T1 ,0,6,X ,T ,0,1,"[-1, 0] ",2,0
main,6,5, T1 ,0,6,Z ,Z ,1,0,"[1, 0] ",6,0
main,7,5, T1 ,0,18,J ,K ,0,1,"[-1, 0] ",6,0
main,8,5, T1 ,0,14,R ,T ,0,-2,"[1, 0] ",6,0
main,9,5, T1 ,0,22,W ,W ,1,0,"[-1, 0] ",6,0
main,10,5, T1 ,0,14,K ,K ,1,0,"[1, 0] ",2,0
main,11,5, T1 ,0,18,N ,N ,1,0,"[1, 0] ",2,0
main,12,5, T1 ,0,6,K ,K ,1,0,"[1, 0] ",2,0
main,13,5, T1 ,0,18,A ,E ,0,-1,"[1, 0] ",6,0
main,14,5, T1 ,0,10,W ,S ,0,1,"[-1, 0] ",6,0
main,15,5, T1 ,0,18,A ,A ,1,0,"[-1, 0] ",2,0
main,16,5, T1 ,0,14,Q ,Q ,1,0,"[-1, 0] ",6,0
main,17,5, T1 ,0,10,V ,E ,0,1,"[1, 0] ",6,0
main,18,5, T1 ,0,22,F ,B ,0,-1,"[-1, 0] ",2,0
main,19,5, T1 ,0,22,V ,S ,0,1,"[1, 0] ",2,0
main,20,5, T1 ,0,14,P ,B ,0,-1,"[-1, 0] ",6,0
main,21,5, T1 ,0,6,C ,X ,0,3,"[1, 0] ",6,0
main,22,5, T1 ,0,22,W ,W ,1,0,"[1, 0] ",6,0
main,23,5, T1 ,0,22,T ,T ,1,0,"[1, 0] ",2,0
main,24,5, T1 ,0,18,M ,M ,1,0,"[-1, 0] ",6,0
main,25,5, T1 ,0,22,W ,W ,1,0,"[-1, 0] ",2,0
main,26,5, T1 ,0,10,A ,A ,1,0,"[1, 0] ",6,0
main,27,5, T1 ,0,6,O ,C ,0,1,"[-1, 0] ",2,0
main,28,5, T1 ,0,18,M ,M ,1,0,"[-1, 0] ",2,0
main,29,5, T1 ,0,18,D ,S ,0,2,"[1, 0] ",6,0
main,30,5, T1 ,0,10,H ,E ,0,-1,"[1, 0] ",2,0
main,31,5, T1 ,0,18,S ,S ,1,0,"[1, 0] ",2,0
main,32,5, T1 ,0,10,N ,N ,1,0,"[-1, 0] ",6,0
main,33,5, T1 ,0,22,V ,V ,1,0,"[-1, 0] ",6,0
main,34,5, T1 ,0,14,A ,A ,1,0,"[1, 0] ",6,0
main,35,5, T1 ,0,10,H ,H ,1,0,"[-1, 0] ",2,0
main,36,5, T1 ,0,14,Y ,Y ,1,0,"[1, 0] ",2,0
main,37,5, T1 ,0,6,M ,M ,1,0,"[-1, 0] ",6,0
main,38,5, T1 ,0,14,I ,T ,0,-1,"[-1, 0] ",2,0
main,39,5, T1 ,0,6,S ,S ,1,0,"[1, 0] ",2,0
main,40,5, T1 ,0,10,E ,K ,0,1,"[-1, 0] ",6,0
main,41,5, T1 ,0,18,L ,C ,0,-1,"[1, 0] ",6,0
main,42,5, T1 ,0,22,Y ,Y ,1,0,"[1, 0] ",2,0
main,43,5, T1 ,0,10,F ,F ,1,0,"[1, 0] ",2,0
main,44,5, T1 ,0,18,U ,U ,1,0,"[-1, 0] ",6,0
main,45,5, T1 ,0,14,B ,B ,1,0,"[-1, 0] ",6,0
main,46,5, T1 ,0,22,B ,B ,1,0,"[-1, 0] ",6,0
main,47,5, T1 ,0,18,S ,S ,1,0,"[1, 0] ",2,0
main,48,5, T1 ,0,6,E ,E ,1,0,"[1, 0] ",6,0
main,49,5, T1 ,0,22,L ,Z ,0,1,"[-1, 0] ",2,0
main,50,5, T1 ,0,10,W ,W ,1,0,"[-1, 0] ",2,0
main,51,5, T1 ,0,22,A ,B ,0,2,"[1, 0] ",6,0
main,52,5, T1 ,0,6,G ,R ,0,1,"[1, 0] ",2,0
main,53,5, T1 ,0,14,O ,C ,0,-1,"[1, 0] ",6,0
main,54,5, T1 ,0,14,E ,K ,0,1,"[1, 0] ",2,0
main,55,5, T1 ,0,6,B ,B ,1,0,"[-1, 0] ",6,0
main,56,5, T1 ,0,18,I ,G ,0,-1,"[-1, 0] ",2,0
main,57,5, T1 ,0,6,G ,G ,1,0,"[-1, 0] ",2,0
main,58,5, T1 ,0,10,L ,K ,0,1,"[1, 0] ",6,0
main,59,5, T1 ,0,14,Y ,Y ,1,0,"[-1, 0] ",2,0
main,60,5, T1 ,0,10,K ,M ,0,-2,"[1, 0] ",2,0
main,61,5, T1 ,0,14,G ,G ,1,0,"[1, 0] ",6,0
main,62,5, T1 ,0,10,J ,J ,1,0,"[1, 0] ",6,0
main,63,5, T1 ,0,6,Z ,Z ,1,0,"[1, 0] ",2,0
main,64,5, T1 ,0,22,W ,W ,1,0,"[-1, 0] ",6,0
main,65,5, T1 ,0,18,E ,A ,0,2,"[1, 0] ",6,0
main,66,5, T1 ,0,22,H ,H ,1,0,"[1, 0] ",2,0
main,67,5, T1 ,0,14,K ,M ,0,1,"[-1, 0] ",2,0
main,68,5, T1 ,0,10,Z ,Z ,1,0,"[-1, 0] ",6,0
main,69,5, T1 ,0,6,L ,P ,0,-1,"[-1, 0] ",2,0
main,70,5, T1 ,0,6,V ,V ,1,0,"[1, 0] ",6,0
main,71,5, T1 ,0,10,D ,B ,0,-1,"[-1, 0] ",2,0
main,72,5, T1 ,0,14,N ,N ,1,0,"[-1, 0] ",6,0
main,73,5, T1 ,0,22,T ,T ,1,0,"[1, 0] ",6,0
main,74,5, T1 ,0,18,Y ,Y ,1,0,"[-1, 0] ",6,0
main,75,5, T1 ,0,18,U ,U ,1,0,"[-1, 0] ",2,0
main,76,5, T1 ,0,22,S ,S ,1,0,"[-1, 0] ",2,0
main,77,5, T1 ,0,6,A ,S ,0,1,"[-1, 0] ",6,0
