experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	6 	 T1 	 0.0 	14 	O 	P 	0.0 	1.0 	[-1, 0] 	6 	0
main	1 	6 	 T1 	 0.0 	10 	H 	T 	0.0 	12.0 	[1, 0] 	6 	0
main	2 	6 	 T1 	 0.0 	10 	Y 	G 	0.0 	7.0 	[1, 0] 	2 	0
main	3 	6 	 T1 	 0.0 	6 	E 	M 	0.0 	1.0 	[1, 0] 	2 	0
main	4 	6 	 T1 	 0.0 	22 	X 	W 	0.0 	1.0 	[1, 0] 	6 	0
main	5 	6 	 T1 	 0.0 	18 	B 	B 	1.0 	0.0 	[1, 0] 	6 	0
main	6 	6 	 T1 	 0.0 	14 	K 	D 	0.0 	1.0 	[1, 0] 	2 	0
main	7 	6 	 T1 	 0.0 	22 	Z 	Z 	1.0 	0.0 	[-1, 0] 	6 	0
main	8 	6 	 T1 	 0.0 	14 	X 	R 	0.0 	1.0 	[-1, 0] 	2 	0
main	9 	6 	 T1 	 0.0 	22 	N 	B 	0.0 	1.0 	[-1, 0] 	2 	0
main	10 	6 	 T1 	 0.0 	6 	Q 	B 	0.0 	-2.0 	[-1, 0] 	2 	0
main	11 	6 	 T1 	 0.0 	18 	N 	Z 	0.0 	1.0 	[-1, 0] 	6 	0
main	12 	6 	 T1 	 0.0 	18 	H 	B 	0.0 	2.0 	[1, 0] 	2 	0
main	13 	6 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[-1, 0] 	2 	0
main	14 	6 	 T1 	 0.0 	10 	J 	Z 	0.0 	1.0 	[-1, 0] 	6 	0
main	15 	6 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
main	16 	6 	 T1 	 0.0 	6 	D 	D 	1.0 	0.0 	[1, 0] 	6 	0
main	17 	6 	 T1 	 0.0 	6 	R 	W 	0.0 	1.0 	[-1, 0] 	6 	0
main	18 	6 	 T1 	 0.0 	10 	W 	P 	0.0 	-1.0 	[-1, 0] 	2 	0
main	19 	6 	 T1 	 0.0 	14 	K 	A 	0.0 	1.0 	[1, 0] 	6 	0
main	20 	6 	 T1 	 0.0 	22 	M 	W 	0.0 	-16.0 	[-1, 0] 	6 	0
main	21 	6 	 T1 	 0.0 	14 	X 	X 	1.0 	0.0 	[1, 0] 	2 	0
main	22 	6 	 T1 	 0.0 	6 	Y 	S 	0.0 	1.0 	[1, 0] 	6 	0
main	23 	6 	 T1 	 0.0 	22 	O 	M 	0.0 	-1.0 	[1, 0] 	2 	0
main	24 	6 	 T1 	 0.0 	22 	U 	E 	0.0 	1.0 	[-1, 0] 	2 	0
main	25 	6 	 T1 	 0.0 	22 	H 	H 	1.0 	0.0 	[1, 0] 	6 	0
main	26 	6 	 T1 	 0.0 	14 	R 	D 	0.0 	11.0 	[-1, 0] 	6 	0
main	27 	6 	 T1 	 0.0 	6 	J 	M 	0.0 	-2.0 	[1, 0] 	2 	0
main	28 	6 	 T1 	 0.0 	14 	Y 	F 	0.0 	1.0 	[-1, 0] 	2 	0
main	29 	6 	 T1 	 0.0 	10 	U 	D 	0.0 	-9.0 	[1, 0] 	6 	0
main	30 	6 	 T1 	 0.0 	10 	X 	X 	1.0 	0.0 	[-1, 0] 	6 	0
main	31 	6 	 T1 	 0.0 	14 	T 	T 	1.0 	0.0 	[1, 0] 	6 	0
main	32 	6 	 T1 	 0.0 	10 	O 	H 	0.0 	1.0 	[1, 0] 	2 	0
main	33 	6 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[-1, 0] 	2 	0
main	34 	6 	 T1 	 0.0 	18 	R 	R 	1.0 	0.0 	[1, 0] 	6 	0
main	35 	6 	 T1 	 0.0 	18 	J 	W 	0.0 	-1.0 	[1, 0] 	2 	0
main	36 	6 	 T1 	 0.0 	6 	N 	V 	0.0 	1.0 	[-1, 0] 	2 	0
main	37 	6 	 T1 	 0.0 	6 	T 	W 	0.0 	1.0 	[-1, 0] 	6 	0
main	38 	6 	 T1 	 0.0 	18 	N 	W 	0.0 	1.0 	[-1, 0] 	6 	0
main	39 	6 	 T1 	 0.0 	18 	S 	S 	1.0 	0.0 	[-1, 0] 	2 	0
