trialnum	subject	answerPos0	answer0	response0	correct0	answerPos1	answer1	response1	correct1	cueSpatialPos	cueEccentricity	timingBlips
0 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[-1, 0] 	3 	0
1 	12 	10 	B 	B 	1.0 	13 	G 	G 	1.0 	[-1, 0] 	3 	0
2 	12 	10 	B 	B 	1.0 	14 	G 	G 	1.0 	[-1, 0] 	9 	0
3 	12 	10 	G 	G 	1.0 	9 	B 	B 	1.0 	[1, 0] 	9 	0
4 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	3 	0
5 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[1, 0] 	9 	0
6 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	1.5 	0
7 	12 	10 	B 	G 	0.0 	11 	G 	B 	0.0 	[1, 0] 	6.5 	0
8 	12 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	1.5 	0
9 	12 	10 	G 	G 	1.0 	8 	B 	B 	1.0 	[-1, 0] 	6.5 	0
10 	12 	10 	B 	G 	0.0 	10 	G 	B 	0.0 	[-1, 0] 	9 	0
11 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	6.5 	0
12 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	3 	0
13 	12 	10 	B 	G 	0.0 	13 	G 	B 	0.0 	[1, 0] 	9 	0
14 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	9 	0
15 	12 	10 	G 	G 	1.0 	6 	B 	B 	1.0 	[-1, 0] 	3 	0
16 	12 	10 	B 	B 	1.0 	11 	G 	G 	1.0 	[1, 0] 	1.5 	0
17 	12 	10 	G 	G 	1.0 	7 	B 	B 	1.0 	[-1, 0] 	1.5 	0
18 	12 	10 	B 	B 	1.0 	10 	G 	G 	1.0 	[-1, 0] 	6.5 	0
