trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
0,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",9,0
1,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",3,0
2,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",3,0
3,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",6.5,0
4,23,10,B ,G ,0,13,G ,B ,0,"[-1, 0] ",6.5,0
5,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",3,0
6,23,10,B ,B ,1,14,G ,G ,1,"[1, 0] ",1.5,0
7,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",6.5,0
8,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",1.5,0
9,23,10,B ,B ,1,10,G ,G ,1,"[1, 0] ",1.5,0
10,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",3,0
11,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",1.5,0
12,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",9,0
13,23,10,G ,B ,0,9,B ,G ,0,"[-1, 0] ",1.5,0
14,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",9,0
15,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",9,0
16,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",1.5,0
17,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",9,0
18,23,10,B ,B ,1,12,G ,G ,1,"[-1, 0] ",6.5,0
19,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",9,0
20,23,10,G ,G ,1,9,B ,B ,1,"[-1, 0] ",9,0
21,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",3,0
22,23,10,B ,B ,1,14,G ,G ,1,"[-1, 0] ",6.5,0
23,23,10,B ,G ,0,11,G ,B ,0,"[1, 0] ",3,0
24,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",9,0
25,23,10,G ,G ,1,8,B ,B ,1,"[-1, 0] ",1.5,0
26,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",9,0
27,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",3,0
28,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",9,0
29,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",1.5,0
30,23,10,B ,B ,1,13,G ,G ,1,"[1, 0] ",1.5,0
31,23,10,B ,B ,1,10,G ,G ,1,"[-1, 0] ",3,0
32,23,10,B ,G ,0,12,G ,B ,0,"[1, 0] ",6.5,0
33,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",6.5,0
34,23,10,G ,G ,1,9,B ,B ,1,"[1, 0] ",3,0
35,23,10,G ,G ,1,7,B ,B ,1,"[1, 0] ",6.5,0
36,23,10,B ,G ,0,11,G ,B ,0,"[-1, 0] ",6.5,0
37,23,10,G ,G ,1,6,B ,B ,1,"[1, 0] ",3,0
38,23,10,B ,B ,1,12,G ,G ,1,"[1, 0] ",1.5,0
39,23,10,G ,G ,1,6,B ,B ,1,"[-1, 0] ",3,0
40,23,10,B ,G ,0,10,G ,B ,0,"[-1, 0] ",6.5,0
41,23,10,B ,B ,1,11,G ,G ,1,"[-1, 0] ",1.5,0
42,23,10,B ,B ,1,13,G ,G ,1,"[-1, 0] ",3,0
43,23,10,B ,G ,0,10,G ,B ,0,"[1, 0] ",3,0
44,23,10,G ,G ,1,8,B ,B ,1,"[1, 0] ",6.5,0
45,23,10,G ,G ,1,7,B ,B ,1,"[-1, 0] ",3,0
