experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	ltrSpatialPos1	ltrEccentricity1	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	16 	 T1 	 0.0 	10 	G 	A 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	1 	16 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	2 	16 	 T1 	 0.0 	6 	M 	O 	0.0 	-6.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	3 	16 	 T1 	 0.0 	6 	M 	M 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	4 	16 	 T1 	 0.0 	10 	G 	Z 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	5 	16 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	6 	16 	 T1 	 0.0 	18 	U 	C 	0.0 	3.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	7 	16 	 T1 	 0.0 	10 	S 	V 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	8 	16 	 T1 	 0.0 	14 	Y 	V 	0.0 	-4.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	9 	16 	 T1 	 0.0 	14 	O 	C 	0.0 	3.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	10 	16 	 T1 	 0.0 	18 	J 	Z 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	11 	16 	 T1 	 0.0 	18 	N 	T 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	12 	16 	 T1 	 0.0 	14 	Z 	Z 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	13 	16 	 T1 	 0.0 	6 	A 	B 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	14 	16 	 T1 	 0.0 	22 	M 	B 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	15 	16 	 T1 	 0.0 	14 	E 	B 	0.0 	-1.0 	[1, 0] 	3.0 	1
RSVP_central_cue_between_letter_presentation 	16 	16 	 T1 	 0.0 	22 	M 	S 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	17 	16 	 T1 	 0.0 	22 	S 	A 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	18 	16 	 T1 	 0.0 	6 	F 	C 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	19 	16 	 T1 	 0.0 	14 	A 	A 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	20 	16 	 T1 	 0.0 	6 	V 	P 	0.0 	4.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	21 	16 	 T1 	 0.0 	22 	C 	T 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	22 	16 	 T1 	 0.0 	22 	L 	P 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	23 	16 	 T1 	 0.0 	14 	S 	P 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	24 	16 	 T1 	 0.0 	6 	E 	E 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	25 	16 	 T1 	 0.0 	10 	K 	Z 	0.0 	-7.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	26 	16 	 T1 	 0.0 	6 	Y 	Y 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	27 	16 	 T1 	 0.0 	14 	B 	B 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	28 	16 	 T1 	 0.0 	10 	W 	W 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	29 	16 	 T1 	 0.0 	10 	U 	B 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	30 	16 	 T1 	 0.0 	6 	R 	P 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	31 	16 	 T1 	 0.0 	22 	D 	Z 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	32 	16 	 T1 	 0.0 	6 	R 	N 	0.0 	12.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	33 	16 	 T1 	 0.0 	18 	L 	S 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	34 	16 	 T1 	 0.0 	22 	R 	R 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	35 	16 	 T1 	 0.0 	14 	W 	W 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	36 	16 	 T1 	 0.0 	22 	J 	L 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	37 	16 	 T1 	 0.0 	14 	M 	J 	0.0 	3.0 	[1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	38 	16 	 T1 	 0.0 	14 	T 	C 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_central_cue_between_letter_presentation 	39 	16 	 T1 	 0.0 	6 	W 	D 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	40 	16 	 T1 	 0.0 	6 	M 	W 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	41 	16 	 T1 	 0.0 	10 	Q 	Z 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_central_cue_between_letter_presentation 	42 	16 	 T1 	 0.0 	10 	G 	W 	0.0 	1.0 	[-1, 0] 	3.0 	0
