experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,ltrSpatialPos1,ltrEccentricity1,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,1 , T1 , 0.0 ,18 ,Z ,F ,0.0 ,4.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,1 ,1 , T1 , 0.0 ,22 ,I ,A ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,2 ,1 , T1 , 0.0 ,6 ,D ,M ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,3 ,1 , T1 , 0.0 ,6 ,Z ,C ,0.0 ,7.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,4 ,1 , T1 , 0.0 ,18 ,U ,T ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,5 ,1 , T1 , 0.0 ,6 ,Z ,N ,0.0 ,3.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,6 ,1 , T1 , 0.0 ,22 ,C ,S ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,7 ,1 , T1 , 0.0 ,14 ,W ,U ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,8 ,1 , T1 , 0.0 ,10 ,P ,M ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,9 ,1 , T1 , 0.0 ,10 ,D ,I ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,10 ,1 , T1 , 0.0 ,22 ,M ,P ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,11 ,1 , T1 , 0.0 ,6 ,W ,T ,0.0 ,-5.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,12 ,1 , T1 , 0.0 ,18 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,13 ,1 , T1 , 0.0 ,14 ,F ,P ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,14 ,1 , T1 , 0.0 ,18 ,V ,A ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,15 ,1 , T1 , 0.0 ,18 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",3.0 ,1
RSVP_central_cue_between_letter_presentation ,16 ,1 , T1 , 0.0 ,22 ,H ,T ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,17 ,1 , T1 , 0.0 ,6 ,O ,A ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,18 ,1 , T1 , 0.0 ,18 ,Q ,A ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,19 ,1 , T1 , 0.0 ,14 ,G ,H ,0.0 ,-4.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,20 ,1 , T1 , 0.0 ,18 ,C ,C ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,21 ,1 , T1 , 0.0 ,22 ,Q ,G ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,22 ,1 , T1 , 0.0 ,10 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,23 ,1 , T1 , 0.0 ,18 ,V ,H ,0.0 ,-2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,24 ,1 , T1 , 0.0 ,14 ,Y ,Y ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,25 ,1 , T1 , 0.0 ,18 ,H ,E ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,26 ,1 , T1 , 0.0 ,18 ,D ,F ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,27 ,1 , T1 , 0.0 ,6 ,X ,U ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,28 ,1 , T1 , 0.0 ,18 ,K ,E ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,29 ,1 , T1 , 0.0 ,14 ,H ,S ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,30 ,1 , T1 , 0.0 ,10 ,P ,P ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,31 ,1 , T1 , 0.0 ,22 ,N ,M ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,32 ,1 , T1 , 0.0 ,14 ,O ,L ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,33 ,1 , T1 , 0.0 ,18 ,I ,Y ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,34 ,1 , T1 , 0.0 ,6 ,R ,A ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,35 ,1 , T1 , 0.0 ,14 ,U ,V ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,36 ,1 , T1 , 0.0 ,14 ,O ,A ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,37 ,1 , T1 , 0.0 ,10 ,K ,P ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,38 ,1 , T1 , 0.0 ,10 ,D ,K ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,39 ,1 , T1 , 0.0 ,14 ,Z ,Y ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,40 ,1 , T1 , 0.0 ,6 ,B ,S ,0.0 ,-3.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,41 ,1 , T1 , 0.0 ,6 ,I ,Z ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,42 ,1 , T1 , 0.0 ,6 ,K ,T ,0.0 ,-6.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,43 ,1 , T1 , 0.0 ,14 ,O ,O ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,44 ,1 , T1 , 0.0 ,14 ,L ,L ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,45 ,1 , T1 , 0.0 ,22 ,V ,L ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,46 ,1 , T1 , 0.0 ,22 ,Y ,L ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,47 ,1 , T1 , 0.0 ,10 ,H ,M ,0.0 ,-4.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,48 ,1 , T1 , 0.0 ,14 ,X ,P ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,49 ,1 , T1 , 0.0 ,14 ,N ,E ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,50 ,1 , T1 , 0.0 ,6 ,L ,I ,0.0 ,7.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,51 ,1 , T1 , 0.0 ,10 ,M ,T ,0.0 ,15.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,52 ,1 , T1 , 0.0 ,18 ,U ,W ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,53 ,1 , T1 , 0.0 ,18 ,X ,M ,0.0 ,3.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,54 ,1 , T1 , 0.0 ,14 ,R ,I ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,55 ,1 , T1 , 0.0 ,6 ,F ,J ,0.0 ,3.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,56 ,1 , T1 , 0.0 ,10 ,K ,A ,0.0 ,15.0 ,"[-1, 0] ",3.0 ,0
RSVP_central_cue_between_letter_presentation ,57 ,1 , T1 , 0.0 ,22 ,U ,G ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_central_cue_between_letter_presentation ,58 ,1 , T1 , 0.0 ,22 ,F ,L ,0.0 ,-8.0 ,"[1, 0] ",3.0 ,0
