experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_extended_letter_duration 	0 	21 	 T1 	 0.0 	6 	N 	Q 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	1 	21 	 T1 	 0.0 	18 	P 	P 	1.0 	0.0 	[-1, 0] 	10 	1
RSVP_spatial_cue_extended_letter_duration 	2 	21 	 T1 	 0.0 	6 	T 	M 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	3 	21 	 T1 	 0.0 	10 	J 	Q 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	4 	21 	 T1 	 0.0 	18 	H 	H 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	5 	21 	 T1 	 0.0 	18 	C 	I 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	6 	21 	 T1 	 0.0 	14 	D 	G 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	7 	21 	 T1 	 0.0 	18 	E 	N 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	8 	21 	 T1 	 0.0 	22 	B 	V 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	9 	21 	 T1 	 0.0 	18 	V 	O 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	10 	21 	 T1 	 0.0 	22 	P 	E 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	11 	21 	 T1 	 0.0 	22 	N 	V 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	12 	21 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	13 	21 	 T1 	 0.0 	18 	Q 	S 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	14 	21 	 T1 	 0.0 	18 	O 	O 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	15 	21 	 T1 	 0.0 	10 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	16 	21 	 T1 	 0.0 	6 	M 	M 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	17 	21 	 T1 	 0.0 	6 	G 	J 	0.0 	17.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	18 	21 	 T1 	 0.0 	10 	G 	R 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	19 	21 	 T1 	 0.0 	6 	W 	G 	0.0 	-5.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	20 	21 	 T1 	 0.0 	14 	K 	T 	0.0 	-3.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	21 	21 	 T1 	 0.0 	14 	K 	U 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	22 	21 	 T1 	 0.0 	18 	X 	L 	0.0 	-2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	23 	21 	 T1 	 0.0 	6 	V 	E 	0.0 	12.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	24 	21 	 T1 	 0.0 	22 	A 	T 	0.0 	-15.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	25 	21 	 T1 	 0.0 	10 	Y 	W 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	26 	21 	 T1 	 0.0 	14 	H 	P 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	27 	21 	 T1 	 0.0 	22 	W 	N 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	28 	21 	 T1 	 0.0 	18 	A 	Q 	0.0 	-3.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	29 	21 	 T1 	 0.0 	14 	U 	B 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	30 	21 	 T1 	 0.0 	10 	C 	U 	0.0 	-3.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	31 	21 	 T1 	 0.0 	22 	R 	A 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	32 	21 	 T1 	 0.0 	22 	C 	X 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	33 	21 	 T1 	 0.0 	6 	M 	U 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	34 	21 	 T1 	 0.0 	10 	W 	L 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	35 	21 	 T1 	 0.0 	18 	R 	R 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	36 	21 	 T1 	 0.0 	10 	H 	Q 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	37 	21 	 T1 	 0.0 	22 	Z 	Z 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	38 	21 	 T1 	 0.0 	10 	R 	W 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	39 	21 	 T1 	 0.0 	18 	K 	J 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	40 	21 	 T1 	 0.0 	10 	I 	T 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	41 	21 	 T1 	 0.0 	6 	E 	U 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	42 	21 	 T1 	 0.0 	6 	L 	Q 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	43 	21 	 T1 	 0.0 	18 	N 	F 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	44 	21 	 T1 	 0.0 	6 	Q 	Y 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	45 	21 	 T1 	 0.0 	22 	J 	U 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	46 	21 	 T1 	 0.0 	6 	U 	X 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	47 	21 	 T1 	 0.0 	6 	E 	J 	0.0 	5.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	48 	21 	 T1 	 0.0 	22 	B 	T 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	49 	21 	 T1 	 0.0 	22 	G 	N 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	50 	21 	 T1 	 0.0 	6 	S 	B 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	51 	21 	 T1 	 0.0 	14 	K 	S 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	52 	21 	 T1 	 0.0 	18 	E 	W 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	53 	21 	 T1 	 0.0 	10 	U 	A 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	54 	21 	 T1 	 0.0 	22 	N 	N 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	55 	21 	 T1 	 0.0 	14 	C 	W 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	56 	21 	 T1 	 0.0 	22 	Y 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	57 	21 	 T1 	 0.0 	14 	B 	G 	0.0 	-2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	58 	21 	 T1 	 0.0 	6 	O 	P 	0.0 	-1.0 	[1, 0] 	2 	0
