experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_extended_letter_duration 	0 	22 	 T1 	 0.0 	22 	J 	W 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	1 	22 	 T1 	 0.0 	10 	G 	S 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	2 	22 	 T1 	 0.0 	6 	B 	W 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	3 	22 	 T1 	 0.0 	6 	H 	G 	0.0 	-4.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	4 	22 	 T1 	 0.0 	10 	C 	T 	0.0 	-9.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	5 	22 	 T1 	 0.0 	22 	C 	V 	0.0 	3.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	6 	22 	 T1 	 0.0 	18 	Y 	Y 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	7 	22 	 T1 	 0.0 	10 	C 	M 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	8 	22 	 T1 	 0.0 	10 	S 	R 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	9 	22 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	10 	22 	 T1 	 0.0 	22 	M 	G 	0.0 	1.0 	[1, 0] 	10 	1
RSVP_spatial_cue_extended_letter_duration 	11 	22 	 T1 	 0.0 	10 	E 	X 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	12 	22 	 T1 	 0.0 	22 	D 	U 	0.0 	-4.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	13 	22 	 T1 	 0.0 	14 	H 	M 	0.0 	10.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	14 	22 	 T1 	 0.0 	22 	E 	R 	0.0 	-4.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	15 	22 	 T1 	 0.0 	10 	M 	D 	0.0 	10.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	16 	22 	 T1 	 0.0 	6 	A 	L 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	17 	22 	 T1 	 0.0 	14 	O 	O 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	18 	22 	 T1 	 0.0 	22 	P 	I 	0.0 	-5.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	19 	22 	 T1 	 0.0 	6 	H 	P 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	20 	22 	 T1 	 0.0 	22 	N 	F 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	21 	22 	 T1 	 0.0 	22 	V 	G 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	22 	22 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	23 	22 	 T1 	 0.0 	10 	B 	B 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	24 	22 	 T1 	 0.0 	14 	O 	Y 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	25 	22 	 T1 	 0.0 	14 	W 	N 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	26 	22 	 T1 	 0.0 	6 	E 	W 	0.0 	3.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	27 	22 	 T1 	 0.0 	10 	P 	U 	0.0 	-5.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	28 	22 	 T1 	 0.0 	18 	S 	U 	0.0 	-15.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	29 	22 	 T1 	 0.0 	10 	D 	C 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	30 	22 	 T1 	 0.0 	6 	Z 	R 	0.0 	2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	31 	22 	 T1 	 0.0 	18 	P 	W 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	32 	22 	 T1 	 0.0 	10 	C 	R 	0.0 	14.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	33 	22 	 T1 	 0.0 	22 	X 	W 	0.0 	1.0 	[1, 0] 	10 	0
