experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_extended_letter_duration 	0 	2 	 T1 	 0.0 	10 	Y 	A 	0.0 	2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	1 	2 	 T1 	 0.0 	14 	V 	V 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	2 	2 	 T1 	 0.0 	22 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	3 	2 	 T1 	 0.0 	14 	W 	S 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	4 	2 	 T1 	 0.0 	22 	F 	W 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	5 	2 	 T1 	 0.0 	22 	L 	F 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	6 	2 	 T1 	 0.0 	14 	U 	C 	0.0 	-1.0 	[1, 0] 	10 	3
RSVP_spatial_cue_extended_letter_duration 	7 	2 	 T1 	 0.0 	6 	K 	K 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	8 	2 	 T1 	 0.0 	6 	T 	F 	0.0 	-6.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	9 	2 	 T1 	 0.0 	22 	I 	P 	0.0 	-1.0 	[-1, 0] 	2 	1
RSVP_spatial_cue_extended_letter_duration 	10 	2 	 T1 	 0.0 	22 	O 	D 	0.0 	-16.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	11 	2 	 T1 	 0.0 	18 	O 	W 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	12 	2 	 T1 	 0.0 	14 	L 	V 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	13 	2 	 T1 	 0.0 	6 	U 	D 	0.0 	3.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	14 	2 	 T1 	 0.0 	6 	A 	S 	0.0 	13.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	15 	2 	 T1 	 0.0 	14 	U 	V 	0.0 	-4.0 	[-1, 0] 	2 	1
RSVP_spatial_cue_extended_letter_duration 	16 	2 	 T1 	 0.0 	14 	G 	S 	0.0 	-5.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	17 	2 	 T1 	 0.0 	10 	M 	M 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	18 	2 	 T1 	 0.0 	18 	K 	S 	0.0 	7.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	19 	2 	 T1 	 0.0 	14 	W 	S 	0.0 	9.0 	[-1, 0] 	10 	1
RSVP_spatial_cue_extended_letter_duration 	20 	2 	 T1 	 0.0 	22 	X 	S 	0.0 	-19.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	21 	2 	 T1 	 0.0 	6 	Q 	K 	0.0 	19.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	22 	2 	 T1 	 0.0 	6 	S 	J 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	23 	2 	 T1 	 0.0 	10 	Y 	Q 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	24 	2 	 T1 	 0.0 	22 	S 	W 	0.0 	-5.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	25 	2 	 T1 	 0.0 	14 	E 	U 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	26 	2 	 T1 	 0.0 	18 	W 	R 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	27 	2 	 T1 	 0.0 	22 	W 	D 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	28 	2 	 T1 	 0.0 	22 	B 	Z 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	29 	2 	 T1 	 0.0 	10 	O 	V 	0.0 	5.0 	[-1, 0] 	10 	2
RSVP_spatial_cue_extended_letter_duration 	30 	2 	 T1 	 0.0 	18 	Q 	I 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	31 	2 	 T1 	 0.0 	6 	C 	X 	0.0 	19.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	32 	2 	 T1 	 0.0 	22 	Z 	Q 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	33 	2 	 T1 	 0.0 	6 	D 	L 	0.0 	8.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	34 	2 	 T1 	 0.0 	6 	K 	F 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	35 	2 	 T1 	 0.0 	14 	V 	I 	0.0 	-2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	36 	2 	 T1 	 0.0 	10 	J 	W 	0.0 	-5.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	37 	2 	 T1 	 0.0 	10 	T 	O 	0.0 	-2.0 	[-1, 0] 	10 	3
