experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_replication 	0 	19 	 T1 	 0.0 	6 	M 	N 	0.0 	2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	1 	19 	 T1 	 0.0 	22 	I 	I 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	2 	19 	 T1 	 0.0 	22 	B 	K 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	3 	19 	 T1 	 0.0 	22 	O 	W 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	4 	19 	 T1 	 0.0 	6 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	5 	19 	 T1 	 0.0 	18 	G 	Z 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	6 	19 	 T1 	 0.0 	6 	Z 	J 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	7 	19 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	8 	19 	 T1 	 0.0 	22 	T 	A 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	9 	19 	 T1 	 0.0 	10 	O 	B 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	10 	19 	 T1 	 0.0 	10 	Y 	Y 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	11 	19 	 T1 	 0.0 	14 	D 	D 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	12 	19 	 T1 	 0.0 	14 	X 	J 	0.0 	-1.0 	[-1, 0] 	2 	1
RSVP_spatial_cue_replication 	13 	19 	 T1 	 0.0 	10 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	14 	19 	 T1 	 0.0 	18 	J 	A 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	15 	19 	 T1 	 0.0 	14 	N 	N 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	16 	19 	 T1 	 0.0 	14 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	17 	19 	 T1 	 0.0 	10 	C 	C 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	18 	19 	 T1 	 0.0 	6 	K 	M 	0.0 	-5.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	19 	19 	 T1 	 0.0 	18 	U 	U 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	20 	19 	 T1 	 0.0 	22 	J 	E 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	21 	19 	 T1 	 0.0 	18 	C 	C 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	22 	19 	 T1 	 0.0 	10 	V 	W 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	23 	19 	 T1 	 0.0 	10 	M 	M 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	24 	19 	 T1 	 0.0 	14 	O 	N 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	25 	19 	 T1 	 0.0 	10 	Z 	H 	0.0 	-3.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	26 	19 	 T1 	 0.0 	10 	H 	H 	1.0 	0.0 	[1, 0] 	2 	1
RSVP_spatial_cue_replication 	27 	19 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	28 	19 	 T1 	 0.0 	10 	E 	R 	0.0 	-1.0 	[-1, 0] 	10 	1
RSVP_spatial_cue_replication 	29 	19 	 T1 	 0.0 	18 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	30 	19 	 T1 	 0.0 	14 	X 	X 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	31 	19 	 T1 	 0.0 	14 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	32 	19 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	33 	19 	 T1 	 0.0 	14 	D 	D 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication 	34 	19 	 T1 	 0.0 	18 	E 	E 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	35 	19 	 T1 	 0.0 	14 	G 	G 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	36 	19 	 T1 	 0.0 	14 	G 	M 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	37 	19 	 T1 	 0.0 	6 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	38 	19 	 T1 	 0.0 	14 	N 	N 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	39 	19 	 T1 	 0.0 	14 	V 	H 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	40 	19 	 T1 	 0.0 	10 	V 	H 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	41 	19 	 T1 	 0.0 	22 	E 	A 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	42 	19 	 T1 	 0.0 	6 	T 	W 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	43 	19 	 T1 	 0.0 	6 	K 	T 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication 	44 	19 	 T1 	 0.0 	18 	H 	Y 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_replication 	45 	19 	 T1 	 0.0 	10 	G 	L 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	46 	19 	 T1 	 0.0 	6 	Y 	Y 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	47 	19 	 T1 	 0.0 	6 	J 	J 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication 	48 	19 	 T1 	 0.0 	14 	L 	V 	0.0 	-1.0 	[-1, 0] 	2 	0
