experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_spatial_cue_replication,0,1,T1,0,10,Q,Q,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,1,1,T1,0,6,F,F,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,2,1,T1,0,22,B,C,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,3,1,T1,0,10,T,M,0,1,"[-1 0]",2,0
RSVP_spatial_cue_replication,4,1,T1,0,6,F,X,0,2,"[-1 0]",10,0
RSVP_spatial_cue_replication,5,1,T1,0,18,F,X,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,6,1,T1,0,18,X,X,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,7,1,T1,0,14,W,W,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,8,1,T1,0,6,Z,Z,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,9,1,T1,0,14,I,M,0,1,"[1 0]",10,0
RSVP_spatial_cue_replication,10,1,T1,0,18,L,Q,0,-9,"[-1 0]",2,0
RSVP_spatial_cue_replication,11,1,T1,0,6,B,B,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,12,1,T1,0,10,X,X,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,13,1,T1,0,18,D,D,1,0,"[-1 0]",10,0
RSVP_spatial_cue_replication,14,1,T1,0,14,X,X,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,15,1,T1,0,18,U,W,0,-1,"[1 0]",2,0
RSVP_spatial_cue_replication,16,1,T1,0,18,Y,O,0,3,"[1 0]",10,0
RSVP_spatial_cue_replication,17,1,T1,0,10,U,U,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,18,1,T1,0,22,Q,E,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,19,1,T1,0,22,F,S,0,-1,"[-1 0]",10,0
RSVP_spatial_cue_replication,20,1,T1,0,6,P,N,0,1,"[-1 0]",2,0
RSVP_spatial_cue_replication,21,1,T1,0,10,I,A,0,-1,"[1 0]",2,0
RSVP_spatial_cue_replication,22,1,T1,0,18,P,W,0,-1,"[-1 0]",10,0
RSVP_spatial_cue_replication,23,1,T1,0,22,Y,A,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,24,1,T1,0,6,J,J,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,25,1,T1,0,14,R,R,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,26,1,T1,0,6,F,F,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,27,1,T1,0,6,F,N,0,1,"[1 0]",2,0
RSVP_spatial_cue_replication,28,1,T1,0,18,C,C,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,29,1,T1,0,18,U,C,0,-1,"[-1 0]",2,0
RSVP_spatial_cue_replication,30,1,T1,0,14,T,X,0,1,"[1 0]",2,0
RSVP_spatial_cue_replication,31,1,T1,0,18,B,B,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,32,1,T1,0,6,D,D,1,0,"[-1 0]",10,0
RSVP_spatial_cue_replication,33,1,T1,0,18,L,L,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,34,1,T1,0,18,V,W,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,35,1,T1,0,6,P,P,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,36,1,T1,0,6,Y,P,0,-1,"[-1 0]",2,1
RSVP_spatial_cue_replication,37,1,T1,0,14,U,U,1,0,"[-1 0]",10,0
RSVP_spatial_cue_replication,38,1,T1,0,14,F,F,1,0,"[-1 0]",2,1
RSVP_spatial_cue_replication,39,1,T1,0,18,J,J,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,40,1,T1,0,22,X,X,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,41,1,T1,0,6,D,D,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,42,1,T1,0,18,G,G,1,0,"[-1 0]",10,0
RSVP_spatial_cue_replication,43,1,T1,0,22,D,K,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,44,1,T1,0,14,A,A,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,45,1,T1,0,14,O,Q,0,-10,"[-1 0]",2,0
RSVP_spatial_cue_replication,46,1,T1,0,10,C,C,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,47,1,T1,0,6,G,G,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,48,1,T1,0,10,M,M,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,49,1,T1,0,18,Q,E,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,50,1,T1,0,14,T,U,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,51,1,T1,0,22,A,A,1,0,"[1 0]",2,0
RSVP_spatial_cue_replication,52,1,T1,0,18,K,K,1,0,"[-1 0]",2,0
RSVP_spatial_cue_replication,53,1,T1,0,22,E,W,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,54,1,T1,0,10,A,A,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,55,1,T1,0,10,U,U,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,56,1,T1,0,10,F,F,1,0,"[-1 0]",10,0
RSVP_spatial_cue_replication,57,1,T1,0,18,G,E,0,-1,"[1 0]",10,0
RSVP_spatial_cue_replication,58,1,T1,0,14,P,W,0,-1,"[-1 0]",2,0
RSVP_spatial_cue_replication,59,1,T1,0,22,I,R,0,-1,"[-1 0]",10,0
RSVP_spatial_cue_replication,60,1,T1,0,22,Z,N,0,-1,"[-1 0]",2,0
RSVP_spatial_cue_replication,61,1,T1,0,10,Z,Z,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,62,1,T1,0,6,Q,Q,1,0,"[1 0]",10,0
RSVP_spatial_cue_replication,63,1,T1,0,6,R,R,1,0,"[1 0]",10,0
