experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_replication_block_design 	0 	12 	 T1 	 0.0 	6 	I 	K 	0.0 	3.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	1 	12 	 T1 	 0.0 	10 	N 	S 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	2 	12 	 T1 	 0.0 	14 	S 	W 	0.0 	-11.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	3 	12 	 T1 	 0.0 	18 	Z 	Z 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	4 	12 	 T1 	 0.0 	22 	M 	M 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	5 	12 	 T1 	 0.0 	6 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	6 	12 	 T1 	 0.0 	10 	Y 	Y 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	7 	12 	 T1 	 0.0 	14 	C 	C 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	8 	12 	 T1 	 0.0 	18 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	9 	12 	 T1 	 0.0 	22 	H 	H 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	10 	12 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	11 	12 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	12 	12 	 T1 	 0.0 	14 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	13 	12 	 T1 	 0.0 	18 	U 	G 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	14 	12 	 T1 	 0.0 	22 	P 	P 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	15 	12 	 T1 	 0.0 	6 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	16 	12 	 T1 	 0.0 	10 	O 	F 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	17 	12 	 T1 	 0.0 	14 	O 	T 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	18 	12 	 T1 	 0.0 	18 	E 	E 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	19 	12 	 T1 	 0.0 	22 	D 	T 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	20 	12 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	21 	12 	 T1 	 0.0 	10 	M 	X 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	22 	12 	 T1 	 0.0 	14 	M 	M 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	23 	12 	 T1 	 0.0 	18 	F 	F 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	24 	12 	 T1 	 0.0 	22 	N 	B 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	25 	12 	 T1 	 0.0 	6 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	26 	12 	 T1 	 0.0 	10 	D 	D 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	27 	12 	 T1 	 0.0 	14 	I 	Y 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	28 	12 	 T1 	 0.0 	18 	C 	C 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	29 	12 	 T1 	 0.0 	22 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	30 	12 	 T1 	 0.0 	6 	L 	L 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	31 	12 	 T1 	 0.0 	10 	Z 	J 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	32 	12 	 T1 	 0.0 	14 	X 	X 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	33 	12 	 T1 	 0.0 	18 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	34 	12 	 T1 	 0.0 	22 	M 	B 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	35 	12 	 T1 	 0.0 	6 	X 	X 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	36 	12 	 T1 	 0.0 	10 	H 	H 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	37 	12 	 T1 	 0.0 	14 	L 	E 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	38 	12 	 T1 	 0.0 	18 	C 	T 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	39 	12 	 T1 	 0.0 	22 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	40 	12 	 T1 	 0.0 	6 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	41 	12 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	42 	12 	 T1 	 0.0 	14 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	43 	12 	 T1 	 0.0 	18 	L 	J 	0.0 	-6.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	44 	12 	 T1 	 0.0 	22 	D 	F 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	45 	12 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	46 	12 	 T1 	 0.0 	10 	Q 	U 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	47 	12 	 T1 	 0.0 	14 	O 	H 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	48 	12 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	49 	12 	 T1 	 0.0 	22 	F 	F 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	50 	12 	 T1 	 0.0 	6 	P 	P 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	51 	12 	 T1 	 0.0 	10 	S 	S 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	52 	12 	 T1 	 0.0 	14 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	53 	12 	 T1 	 0.0 	18 	F 	F 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	54 	12 	 T1 	 0.0 	22 	W 	W 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	55 	12 	 T1 	 0.0 	6 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	56 	12 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	57 	12 	 T1 	 0.0 	14 	L 	L 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	58 	12 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	59 	12 	 T1 	 0.0 	22 	K 	K 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	60 	12 	 T1 	 0.0 	6 	K 	K 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	61 	12 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	62 	12 	 T1 	 0.0 	14 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	63 	12 	 T1 	 0.0 	18 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	64 	12 	 T1 	 0.0 	22 	U 	F 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	65 	12 	 T1 	 0.0 	6 	O 	C 	0.0 	3.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	66 	12 	 T1 	 0.0 	10 	S 	J 	0.0 	-2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	67 	12 	 T1 	 0.0 	14 	F 	Y 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	68 	12 	 T1 	 0.0 	18 	C 	C 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	69 	12 	 T1 	 0.0 	22 	V 	I 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	70 	12 	 T1 	 0.0 	6 	B 	C 	0.0 	18.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	71 	12 	 T1 	 0.0 	10 	D 	D 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	72 	12 	 T1 	 0.0 	14 	I 	G 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	73 	12 	 T1 	 0.0 	18 	N 	P 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	74 	12 	 T1 	 0.0 	22 	M 	M 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	75 	12 	 T1 	 0.0 	6 	L 	D 	0.0 	18.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	76 	12 	 T1 	 0.0 	10 	Y 	W 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	77 	12 	 T1 	 0.0 	14 	F 	W 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	78 	12 	 T1 	 0.0 	18 	I 	U 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	79 	12 	 T1 	 0.0 	22 	S 	R 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	80 	12 	 T1 	 0.0 	6 	E 	F 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	81 	12 	 T1 	 0.0 	10 	R 	R 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	82 	12 	 T1 	 0.0 	14 	Q 	S 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	83 	12 	 T1 	 0.0 	18 	X 	C 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	84 	12 	 T1 	 0.0 	22 	P 	D 	0.0 	-4.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	85 	12 	 T1 	 0.0 	6 	K 	Z 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	86 	12 	 T1 	 0.0 	10 	T 	X 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	87 	12 	 T1 	 0.0 	14 	U 	P 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	88 	12 	 T1 	 0.0 	18 	D 	D 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	89 	12 	 T1 	 0.0 	22 	J 	J 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	90 	12 	 T1 	 0.0 	6 	O 	G 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	91 	12 	 T1 	 0.0 	10 	A 	S 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	92 	12 	 T1 	 0.0 	14 	I 	L 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	93 	12 	 T1 	 0.0 	18 	Y 	Y 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	94 	12 	 T1 	 0.0 	22 	E 	E 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	95 	12 	 T1 	 0.0 	6 	U 	C 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	96 	12 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	97 	12 	 T1 	 0.0 	14 	D 	H 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	98 	12 	 T1 	 0.0 	18 	P 	P 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	99 	12 	 T1 	 0.0 	22 	U 	L 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	100 	12 	 T1 	 0.0 	6 	M 	M 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	101 	12 	 T1 	 0.0 	10 	M 	G 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	102 	12 	 T1 	 0.0 	14 	S 	S 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	103 	12 	 T1 	 0.0 	18 	V 	Q 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	104 	12 	 T1 	 0.0 	22 	Y 	Y 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	105 	12 	 T1 	 0.0 	6 	Y 	G 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	106 	12 	 T1 	 0.0 	10 	G 	W 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	107 	12 	 T1 	 0.0 	14 	E 	W 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	108 	12 	 T1 	 0.0 	18 	G 	G 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	109 	12 	 T1 	 0.0 	22 	T 	T 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	110 	12 	 T1 	 0.0 	6 	S 	F 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	111 	12 	 T1 	 0.0 	10 	E 	X 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	112 	12 	 T1 	 0.0 	14 	A 	G 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	113 	12 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	114 	12 	 T1 	 0.0 	22 	I 	M 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	115 	12 	 T1 	 0.0 	6 	E 	E 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	116 	12 	 T1 	 0.0 	10 	Y 	Y 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	117 	12 	 T1 	 0.0 	14 	Z 	Z 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	118 	12 	 T1 	 0.0 	18 	T 	B 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	119 	12 	 T1 	 0.0 	22 	A 	A 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	120 	12 	 T1 	 0.0 	6 	D 	M 	0.0 	-3.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	121 	12 	 T1 	 0.0 	10 	O 	V 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	122 	12 	 T1 	 0.0 	14 	B 	B 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	123 	12 	 T1 	 0.0 	18 	L 	L 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	124 	12 	 T1 	 0.0 	22 	C 	Q 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	125 	12 	 T1 	 0.0 	6 	T 	T 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	126 	12 	 T1 	 0.0 	10 	R 	R 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	127 	12 	 T1 	 0.0 	14 	W 	W 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	128 	12 	 T1 	 0.0 	18 	V 	D 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	129 	12 	 T1 	 0.0 	22 	X 	S 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	130 	12 	 T1 	 0.0 	6 	U 	K 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	131 	12 	 T1 	 0.0 	10 	U 	U 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	132 	12 	 T1 	 0.0 	14 	Q 	X 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	133 	12 	 T1 	 0.0 	18 	S 	S 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	134 	12 	 T1 	 0.0 	22 	J 	X 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	135 	12 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	136 	12 	 T1 	 0.0 	10 	J 	J 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	137 	12 	 T1 	 0.0 	14 	S 	S 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	138 	12 	 T1 	 0.0 	18 	Y 	Y 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	139 	12 	 T1 	 0.0 	22 	Z 	Z 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_replication_block_design 	140 	12 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	141 	12 	 T1 	 0.0 	10 	Q 	Q 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	142 	12 	 T1 	 0.0 	14 	Q 	Q 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	143 	12 	 T1 	 0.0 	18 	E 	E 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	144 	12 	 T1 	 0.0 	22 	U 	P 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	145 	12 	 T1 	 0.0 	6 	D 	D 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	146 	12 	 T1 	 0.0 	10 	O 	O 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	147 	12 	 T1 	 0.0 	14 	S 	S 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	148 	12 	 T1 	 0.0 	18 	Z 	Z 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	149 	12 	 T1 	 0.0 	22 	Q 	S 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	150 	12 	 T1 	 0.0 	6 	Q 	Q 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	151 	12 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	152 	12 	 T1 	 0.0 	14 	J 	J 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	153 	12 	 T1 	 0.0 	18 	U 	U 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	154 	12 	 T1 	 0.0 	22 	J 	J 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	155 	12 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	156 	12 	 T1 	 0.0 	10 	Y 	Y 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	157 	12 	 T1 	 0.0 	14 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	158 	12 	 T1 	 0.0 	18 	R 	R 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	159 	12 	 T1 	 0.0 	22 	D 	P 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	160 	12 	 T1 	 0.0 	6 	H 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	161 	12 	 T1 	 0.0 	10 	N 	N 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	162 	12 	 T1 	 0.0 	14 	M 	M 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	163 	12 	 T1 	 0.0 	18 	T 	T 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	164 	12 	 T1 	 0.0 	22 	Q 	Q 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	165 	12 	 T1 	 0.0 	6 	B 	G 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	166 	12 	 T1 	 0.0 	10 	F 	F 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	167 	12 	 T1 	 0.0 	14 	D 	W 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	168 	12 	 T1 	 0.0 	18 	S 	S 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	169 	12 	 T1 	 0.0 	22 	A 	A 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	170 	12 	 T1 	 0.0 	6 	M 	M 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	171 	12 	 T1 	 0.0 	10 	H 	H 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	172 	12 	 T1 	 0.0 	14 	P 	P 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	173 	12 	 T1 	 0.0 	18 	D 	N 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	174 	12 	 T1 	 0.0 	22 	D 	D 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	175 	12 	 T1 	 0.0 	6 	T 	T 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	176 	12 	 T1 	 0.0 	10 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_replication_block_design 	177 	12 	 T1 	 0.0 	14 	D 	D 	1.0 	0.0 	[-1, 0] 	2 	0
