experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_two_streams ,0 ,13 , T1 , 0.0 ,14 ,A ,B ,0.0 ,-13.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,1 ,13 , T1 , 0.0 ,14 ,E ,L ,0.0 ,-8.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,2 ,13 , T1 , 0.0 ,6 ,K ,A ,0.0 ,-3.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,3 ,13 , T1 , 0.0 ,18 ,N ,O ,0.0 ,-9.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,4 ,13 , T1 , 0.0 ,22 ,C ,P ,0.0 ,1.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,5 ,13 , T1 , 0.0 ,18 ,O ,J ,0.0 ,-6.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,6 ,13 , T1 , 0.0 ,10 ,C ,J ,0.0 ,-4.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,7 ,13 , T1 , 0.0 ,14 ,Y ,I ,0.0 ,4.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,8 ,13 , T1 , 0.0 ,6 ,U ,M ,0.0 ,9.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,9 ,13 , T1 , 0.0 ,6 ,K ,A ,0.0 ,11.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,10 ,13 , T1 , 0.0 ,14 ,F ,R ,0.0 ,7.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,11 ,13 , T1 , 0.0 ,10 ,T ,M ,0.0 ,4.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,12 ,13 , T1 , 0.0 ,18 ,Z ,Q ,0.0 ,1.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,13 ,13 , T1 , 0.0 ,14 ,F ,S ,0.0 ,-11.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,14 ,13 , T1 , 0.0 ,10 ,L ,G ,0.0 ,6.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,15 ,13 , T1 , 0.0 ,22 ,B ,A ,0.0 ,-10.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,16 ,13 , T1 , 0.0 ,10 ,T ,L ,0.0 ,3.0 ,"[1, 0] ",2.5 ,0
