experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_two_streams 	0 	1 	 T1 	 0.0 	10 	J 	P 	0.0 	15.0 	[1, 0] 	10 	0
RSVP_two_streams 	1 	1 	 T1 	 0.0 	14 	I 	W 	0.0 	-2.0 	[-1, 0] 	2.5 	1
RSVP_two_streams 	2 	1 	 T1 	 0.0 	10 	U 	X 	0.0 	6.0 	[1, 0] 	10 	0
RSVP_two_streams 	3 	1 	 T1 	 0.0 	10 	J 	H 	0.0 	8.0 	[-1, 0] 	10 	0
RSVP_two_streams 	4 	1 	 T1 	 0.0 	10 	O 	J 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	5 	1 	 T1 	 0.0 	22 	P 	P 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	6 	1 	 T1 	 0.0 	10 	Q 	G 	0.0 	-4.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	7 	1 	 T1 	 0.0 	10 	W 	V 	0.0 	5.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	8 	1 	 T1 	 0.0 	10 	W 	G 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	9 	1 	 T1 	 0.0 	10 	C 	G 	0.0 	14.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	10 	1 	 T1 	 0.0 	14 	Y 	T 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	11 	1 	 T1 	 0.0 	10 	Z 	X 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_two_streams 	12 	1 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	13 	1 	 T1 	 0.0 	22 	C 	C 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_two_streams 	14 	1 	 T1 	 0.0 	22 	V 	G 	0.0 	-20.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	15 	1 	 T1 	 0.0 	6 	Q 	Q 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	16 	1 	 T1 	 0.0 	10 	U 	U 	1.0 	0.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	17 	1 	 T1 	 0.0 	14 	W 	Q 	0.0 	1.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	18 	1 	 T1 	 0.0 	14 	H 	T 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	19 	1 	 T1 	 0.0 	14 	L 	B 	0.0 	-11.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	20 	1 	 T1 	 0.0 	18 	Y 	T 	0.0 	-8.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	21 	1 	 T1 	 0.0 	10 	V 	G 	0.0 	5.0 	[-1, 0] 	10 	0
RSVP_two_streams 	22 	1 	 T1 	 0.0 	10 	N 	U 	0.0 	3.0 	[1, 0] 	10 	0
RSVP_two_streams 	23 	1 	 T1 	 0.0 	18 	N 	V 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_two_streams 	24 	1 	 T1 	 0.0 	14 	W 	Y 	0.0 	6.0 	[-1, 0] 	10 	0
RSVP_two_streams 	25 	1 	 T1 	 0.0 	14 	F 	M 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	26 	1 	 T1 	 0.0 	10 	L 	P 	0.0 	-1.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	27 	1 	 T1 	 0.0 	22 	E 	E 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	28 	1 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	29 	1 	 T1 	 0.0 	6 	L 	O 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	30 	1 	 T1 	 0.0 	14 	A 	A 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_two_streams 	31 	1 	 T1 	 0.0 	22 	W 	Y 	0.0 	-1.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	32 	1 	 T1 	 0.0 	10 	S 	M 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	33 	1 	 T1 	 0.0 	14 	Y 	X 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_two_streams 	34 	1 	 T1 	 0.0 	14 	X 	W 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	35 	1 	 T1 	 0.0 	14 	U 	U 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	36 	1 	 T1 	 0.0 	14 	G 	R 	0.0 	-3.0 	[-1, 0] 	10 	0
RSVP_two_streams 	37 	1 	 T1 	 0.0 	14 	V 	V 	1.0 	0.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	38 	1 	 T1 	 0.0 	22 	B 	T 	0.0 	-6.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	39 	1 	 T1 	 0.0 	14 	B 	B 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_two_streams 	40 	1 	 T1 	 0.0 	18 	C 	C 	1.0 	0.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	41 	1 	 T1 	 0.0 	18 	I 	Y 	0.0 	-1.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	42 	1 	 T1 	 0.0 	6 	Y 	X 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_two_streams 	43 	1 	 T1 	 0.0 	18 	B 	S 	0.0 	1.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	44 	1 	 T1 	 0.0 	22 	G 	G 	1.0 	0.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	45 	1 	 T1 	 0.0 	18 	R 	S 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	46 	1 	 T1 	 0.0 	22 	C 	D 	0.0 	1.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	47 	1 	 T1 	 0.0 	22 	L 	J 	0.0 	-3.0 	[1, 0] 	10 	0
RSVP_two_streams 	48 	1 	 T1 	 0.0 	22 	Q 	V 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	49 	1 	 T1 	 0.0 	18 	V 	V 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_two_streams 	50 	1 	 T1 	 0.0 	18 	Z 	P 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_two_streams 	51 	1 	 T1 	 0.0 	10 	D 	D 	1.0 	0.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	52 	1 	 T1 	 0.0 	18 	U 	J 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_two_streams 	53 	1 	 T1 	 0.0 	18 	R 	B 	0.0 	-3.0 	[1, 0] 	10 	0
RSVP_two_streams 	54 	1 	 T1 	 0.0 	22 	F 	M 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	55 	1 	 T1 	 0.0 	6 	C 	C 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	56 	1 	 T1 	 0.0 	10 	D 	D 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	57 	1 	 T1 	 0.0 	18 	U 	Q 	0.0 	-13.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	58 	1 	 T1 	 0.0 	22 	S 	S 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_two_streams 	59 	1 	 T1 	 0.0 	18 	V 	Y 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_two_streams 	60 	1 	 T1 	 0.0 	10 	Y 	W 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_two_streams 	61 	1 	 T1 	 0.0 	6 	D 	B 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_two_streams 	62 	1 	 T1 	 0.0 	6 	F 	H 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_two_streams 	63 	1 	 T1 	 0.0 	18 	V 	P 	0.0 	-17.0 	[-1, 0] 	2.5 	0
RSVP_two_streams 	64 	1 	 T1 	 0.0 	22 	E 	E 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_two_streams 	65 	1 	 T1 	 0.0 	18 	R 	B 	0.0 	-7.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	66 	1 	 T1 	 0.0 	10 	T 	T 	1.0 	0.0 	[1, 0] 	2.5 	1
RSVP_two_streams 	67 	1 	 T1 	 0.0 	14 	Z 	K 	0.0 	-3.0 	[-1, 0] 	10 	0
RSVP_two_streams 	68 	1 	 T1 	 0.0 	14 	Y 	Y 	1.0 	0.0 	[1, 0] 	2.5 	0
RSVP_two_streams 	69 	1 	 T1 	 0.0 	18 	T 	T 	1.0 	0.0 	[1, 0] 	10 	0
