experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_two_streams ,0 ,8 , T1 , 0.0 ,10 ,S ,H ,0.0 ,-2.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,1 ,8 , T1 , 0.0 ,14 ,O ,O ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,2 ,8 , T1 , 0.0 ,14 ,V ,U ,0.0 ,7.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,3 ,8 , T1 , 0.0 ,14 ,N ,R ,0.0 ,-8.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,4 ,8 , T1 , 0.0 ,10 ,Y ,G ,0.0 ,12.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,5 ,8 , T1 , 0.0 ,10 ,M ,R ,0.0 ,5.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,6 ,8 , T1 , 0.0 ,22 ,J ,D ,0.0 ,3.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,7 ,8 , T1 , 0.0 ,10 ,R ,M ,0.0 ,1.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,8 ,8 , T1 , 0.0 ,6 ,R ,X ,0.0 ,-5.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,9 ,8 , T1 , 0.0 ,18 ,H ,V ,0.0 ,-6.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,10 ,8 , T1 , 0.0 ,14 ,N ,Y ,0.0 ,-1.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,11 ,8 , T1 , 0.0 ,18 ,E ,Q ,0.0 ,6.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,12 ,8 , T1 , 0.0 ,14 ,F ,M ,0.0 ,-14.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,13 ,8 , T1 , 0.0 ,22 ,W ,H ,0.0 ,3.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,14 ,8 , T1 , 0.0 ,6 ,Q ,G ,0.0 ,1.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,15 ,8 , T1 , 0.0 ,14 ,F ,K ,0.0 ,1.0 ,"[1, 0] ",10 ,0
RSVP_two_streams ,16 ,8 , T1 , 0.0 ,10 ,P ,D ,0.0 ,1.0 ,"[1, 0] ",2.5 ,0
RSVP_two_streams ,17 ,8 , T1 , 0.0 ,6 ,K ,F ,0.0 ,3.0 ,"[-1, 0] ",10 ,0
RSVP_two_streams ,18 ,8 , T1 , 0.0 ,14 ,U ,C ,0.0 ,8.0 ,"[-1, 0] ",2.5 ,0
RSVP_two_streams ,19 ,8 , T1 , 0.0 ,10 ,U ,W ,0.0 ,13.0 ,"[1, 0] ",2.5 ,0
