experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_two_streams_bigger_cue_size 	0 	5 	 T1 	 0.0 	14 	B 	V 	0.0 	-12.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	1 	5 	 T1 	 0.0 	10 	H 	T 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	2 	5 	 T1 	 0.0 	22 	F 	Z 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	3 	5 	 T1 	 0.0 	14 	T 	B 	0.0 	4.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	4 	5 	 T1 	 0.0 	18 	Y 	X 	0.0 	-7.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	5 	5 	 T1 	 0.0 	22 	L 	L 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	6 	5 	 T1 	 0.0 	14 	F 	Q 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	7 	5 	 T1 	 0.0 	22 	J 	A 	0.0 	-3.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	8 	5 	 T1 	 0.0 	10 	S 	J 	0.0 	6.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	9 	5 	 T1 	 0.0 	22 	M 	M 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	10 	5 	 T1 	 0.0 	22 	W 	Q 	0.0 	-7.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	11 	5 	 T1 	 0.0 	10 	C 	R 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	12 	5 	 T1 	 0.0 	14 	J 	J 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	13 	5 	 T1 	 0.0 	18 	I 	F 	0.0 	-7.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	14 	5 	 T1 	 0.0 	6 	Q 	T 	0.0 	19.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	15 	5 	 T1 	 0.0 	22 	L 	A 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	16 	5 	 T1 	 0.0 	14 	L 	P 	0.0 	-12.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	17 	5 	 T1 	 0.0 	10 	C 	W 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	18 	5 	 T1 	 0.0 	22 	Z 	K 	0.0 	-2.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	19 	5 	 T1 	 0.0 	10 	L 	X 	0.0 	5.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	20 	5 	 T1 	 0.0 	10 	E 	C 	0.0 	5.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	21 	5 	 T1 	 0.0 	14 	N 	L 	0.0 	7.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	22 	5 	 T1 	 0.0 	14 	A 	A 	1.0 	0.0 	[-1, 0] 	3.0 	1
RSVP_two_streams_bigger_cue_size 	23 	5 	 T1 	 0.0 	10 	Q 	U 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	24 	5 	 T1 	 0.0 	6 	Z 	X 	0.0 	11.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	25 	5 	 T1 	 0.0 	22 	H 	L 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	26 	5 	 T1 	 0.0 	14 	C 	A 	0.0 	4.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	27 	5 	 T1 	 0.0 	18 	W 	R 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	28 	5 	 T1 	 0.0 	10 	Q 	W 	0.0 	-3.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	29 	5 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	30 	5 	 T1 	 0.0 	22 	T 	A 	0.0 	-15.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	31 	5 	 T1 	 0.0 	6 	E 	X 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	32 	5 	 T1 	 0.0 	22 	T 	T 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	33 	5 	 T1 	 0.0 	18 	I 	H 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	34 	5 	 T1 	 0.0 	22 	D 	P 	0.0 	-2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	35 	5 	 T1 	 0.0 	14 	Y 	A 	0.0 	1.0 	[-1, 0] 	10.0 	0
