experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_two_streams_bigger_cue_size ,0 ,8 , T1 , 0.0 ,22 ,L ,Y ,0.0 ,-7.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,1 ,8 , T1 , 0.0 ,10 ,B ,T ,0.0 ,6.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,2 ,8 , T1 , 0.0 ,14 ,A ,W ,0.0 ,3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,3 ,8 , T1 , 0.0 ,14 ,P ,X ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,4 ,8 , T1 , 0.0 ,6 ,X ,S ,0.0 ,3.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,5 ,8 , T1 , 0.0 ,6 ,X ,U ,0.0 ,2.0 ,"[1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size ,6 ,8 , T1 , 0.0 ,18 ,O ,T ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,7 ,8 , T1 , 0.0 ,6 ,B ,H ,0.0 ,7.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,8 ,8 , T1 , 0.0 ,18 ,S ,L ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,9 ,8 , T1 , 0.0 ,10 ,V ,T ,0.0 ,4.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,10 ,8 , T1 , 0.0 ,14 ,P ,C ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,11 ,8 , T1 , 0.0 ,14 ,P ,P ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,12 ,8 , T1 , 0.0 ,22 ,V ,W ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,13 ,8 , T1 , 0.0 ,18 ,X ,I ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,14 ,8 , T1 , 0.0 ,10 ,Y ,G ,0.0 ,4.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,15 ,8 , T1 , 0.0 ,6 ,G ,F ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,16 ,8 , T1 , 0.0 ,22 ,L ,E ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,17 ,8 , T1 , 0.0 ,22 ,I ,B ,0.0 ,2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,18 ,8 , T1 , 0.0 ,18 ,E ,C ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,19 ,8 , T1 , 0.0 ,10 ,L ,V ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,20 ,8 , T1 , 0.0 ,18 ,Q ,C ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,21 ,8 , T1 , 0.0 ,22 ,N ,E ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size ,22 ,8 , T1 , 0.0 ,18 ,M ,A ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,23 ,8 , T1 , 0.0 ,6 ,S ,K ,0.0 ,2.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,24 ,8 , T1 , 0.0 ,14 ,C ,C ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,25 ,8 , T1 , 0.0 ,22 ,B ,S ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,26 ,8 , T1 , 0.0 ,18 ,X ,L ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,27 ,8 , T1 , 0.0 ,18 ,J ,J ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size ,28 ,8 , T1 , 0.0 ,22 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,29 ,8 , T1 , 0.0 ,18 ,R ,N ,0.0 ,-14.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size ,30 ,8 , T1 , 0.0 ,10 ,N ,W ,0.0 ,5.0 ,"[-1, 0] ",10.0 ,0
