experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_two_streams_bigger_cue_size 	0 	Adi 	 T1 	 0.0 	6 	V 	S 	0.0 	11.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	1 	Adi 	 T1 	 0.0 	10 	P 	S 	0.0 	7.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	2 	Adi 	 T1 	 0.0 	18 	O 	V 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	3 	Adi 	 T1 	 0.0 	22 	F 	F 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	4 	Adi 	 T1 	 0.0 	18 	W 	V 	0.0 	-18.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	5 	Adi 	 T1 	 0.0 	18 	P 	W 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	6 	Adi 	 T1 	 0.0 	14 	F 	Y 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	7 	Adi 	 T1 	 0.0 	10 	M 	S 	0.0 	7.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	8 	Adi 	 T1 	 0.0 	14 	Y 	Y 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	9 	Adi 	 T1 	 0.0 	22 	L 	K 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	10 	Adi 	 T1 	 0.0 	18 	W 	J 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	11 	Adi 	 T1 	 0.0 	6 	E 	W 	0.0 	6.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	12 	Adi 	 T1 	 0.0 	6 	Z 	P 	0.0 	-2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	13 	Adi 	 T1 	 0.0 	18 	F 	S 	0.0 	-2.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	14 	Adi 	 T1 	 0.0 	18 	P 	B 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	15 	Adi 	 T1 	 0.0 	14 	D 	N 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	16 	Adi 	 T1 	 0.0 	6 	F 	P 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	17 	Adi 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	18 	Adi 	 T1 	 0.0 	22 	Y 	Y 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	19 	Adi 	 T1 	 0.0 	10 	C 	C 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	20 	Adi 	 T1 	 0.0 	22 	M 	B 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	21 	Adi 	 T1 	 0.0 	14 	D 	D 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	22 	Adi 	 T1 	 0.0 	18 	J 	M 	0.0 	-1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	23 	Adi 	 T1 	 0.0 	14 	H 	C 	0.0 	-6.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	24 	Adi 	 T1 	 0.0 	6 	Q 	D 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	25 	Adi 	 T1 	 0.0 	10 	Q 	Z 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size 	26 	Adi 	 T1 	 0.0 	18 	H 	S 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	27 	Adi 	 T1 	 0.0 	6 	K 	P 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	28 	Adi 	 T1 	 0.0 	10 	D 	S 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	29 	Adi 	 T1 	 0.0 	6 	O 	P 	0.0 	6.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	30 	Adi 	 T1 	 0.0 	10 	V 	S 	0.0 	-1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size 	31 	Adi 	 T1 	 0.0 	6 	U 	U 	1.0 	0.0 	[1, 0] 	10.0 	0
