experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_two_streams_bigger_cue_size_different_rates ,0 ,3 , T1 , 0.0 ,7 ,F ,W ,0.0 ,11.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,1 ,3 , T1 , 0.0 ,19 ,R ,D ,0.0 ,-2.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,2 ,3 , T1 , 0.0 ,11 ,I ,U ,0.0 ,2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,3 ,3 , T1 , 0.0 ,11 ,W ,M ,0.0 ,3.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,4 ,3 , T1 , 0.0 ,7 ,A ,F ,0.0 ,4.0 ,"[-1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,5 ,3 , T1 , 0.0 ,23 ,A ,N ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,6 ,3 , T1 , 0.0 ,19 ,Y ,F ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,7 ,3 , T1 , 0.0 ,11 ,J ,F ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,8 ,3 , T1 , 0.0 ,15 ,A ,E ,0.0 ,1.0 ,"[1, 0] ",3.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,9 ,3 , T1 , 0.0 ,23 ,N ,D ,0.0 ,-9.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,10 ,3 , T1 , 0.0 ,15 ,W ,W ,1.0 ,0.0 ,"[1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,11 ,3 , T1 , 0.0 ,23 ,W ,K ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,12 ,3 , T1 , 0.0 ,15 ,P ,H ,0.0 ,-4.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,13 ,3 , T1 , 0.0 ,15 ,F ,V ,0.0 ,-2.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,14 ,3 , T1 , 0.0 ,15 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,15 ,3 , T1 , 0.0 ,11 ,O ,K ,0.0 ,-10.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,16 ,3 , T1 , 0.0 ,11 ,O ,R ,0.0 ,11.0 ,"[1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,17 ,3 , T1 , 0.0 ,23 ,V ,J ,0.0 ,-22.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,18 ,3 , T1 , 0.0 ,11 ,P ,K ,0.0 ,-2.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,19 ,3 , T1 , 0.0 ,19 ,T ,P ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,20 ,3 , T1 , 0.0 ,7 ,S ,M ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,21 ,3 , T1 , 0.0 ,15 ,U ,U ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,22 ,3 , T1 , 0.0 ,15 ,C ,G ,0.0 ,-5.0 ,"[-1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,23 ,3 , T1 , 0.0 ,23 ,D ,D ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,24 ,3 , T1 , 0.0 ,23 ,H ,H ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,25 ,3 , T1 , 0.0 ,7 ,T ,C ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,26 ,3 , T1 , 0.0 ,19 ,T ,B ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,27 ,3 , T1 , 0.0 ,15 ,L ,U ,0.0 ,9.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,28 ,3 , T1 , 0.0 ,23 ,Q ,R ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,29 ,3 , T1 , 0.0 ,23 ,O ,J ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,30 ,3 , T1 , 0.0 ,19 ,T ,T ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,31 ,3 , T1 , 0.0 ,23 ,Q ,Q ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,32 ,3 , T1 , 0.0 ,23 ,Y ,K ,0.0 ,-7.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,33 ,3 , T1 , 0.0 ,11 ,T ,H ,0.0 ,9.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,34 ,3 , T1 , 0.0 ,11 ,B ,B ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,35 ,3 , T1 , 0.0 ,11 ,J ,Y ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,36 ,3 , T1 , 0.0 ,11 ,W ,A ,0.0 ,2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,37 ,3 , T1 , 0.0 ,11 ,B ,B ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,38 ,3 , T1 , 0.0 ,23 ,E ,D ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,39 ,3 , T1 , 0.0 ,7 ,S ,I ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,40 ,3 , T1 , 0.0 ,7 ,L ,Y ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,41 ,3 , T1 , 0.0 ,15 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,42 ,3 , T1 , 0.0 ,11 ,D ,D ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,43 ,3 , T1 , 0.0 ,7 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,44 ,3 , T1 , 0.0 ,23 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,45 ,3 , T1 , 0.0 ,11 ,Y ,U ,0.0 ,9.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,46 ,3 , T1 , 0.0 ,11 ,K ,M ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,47 ,3 , T1 , 0.0 ,7 ,X ,Z ,0.0 ,2.0 ,"[1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,48 ,3 , T1 , 0.0 ,19 ,A ,G ,0.0 ,-14.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,49 ,3 , T1 , 0.0 ,23 ,H ,H ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,50 ,3 , T1 , 0.0 ,11 ,G ,G ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,51 ,3 , T1 , 0.0 ,19 ,N ,D ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,52 ,3 , T1 , 0.0 ,15 ,D ,C ,0.0 ,-3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,53 ,3 , T1 , 0.0 ,19 ,I ,H ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,54 ,3 , T1 , 0.0 ,15 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,55 ,3 , T1 , 0.0 ,15 ,Z ,K ,0.0 ,-4.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,56 ,3 , T1 , 0.0 ,23 ,C ,C ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,57 ,3 , T1 , 0.0 ,23 ,I ,V ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,58 ,3 , T1 , 0.0 ,23 ,J ,A ,0.0 ,-4.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,59 ,3 , T1 , 0.0 ,7 ,I ,G ,0.0 ,-1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,60 ,3 , T1 , 0.0 ,23 ,V ,J ,0.0 ,-2.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,61 ,3 , T1 , 0.0 ,15 ,X ,X ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,62 ,3 , T1 , 0.0 ,19 ,X ,Q ,0.0 ,-5.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,63 ,3 , T1 , 0.0 ,23 ,U ,U ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,64 ,3 , T1 , 0.0 ,19 ,I ,F ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,65 ,3 , T1 , 0.0 ,19 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,66 ,3 , T1 , 0.0 ,19 ,Z ,F ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,67 ,3 , T1 , 0.0 ,7 ,H ,A ,0.0 ,5.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,68 ,3 , T1 , 0.0 ,23 ,L ,T ,0.0 ,-1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,69 ,3 , T1 , 0.0 ,11 ,W ,A ,0.0 ,5.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,70 ,3 , T1 , 0.0 ,19 ,I ,A ,0.0 ,-12.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,71 ,3 , T1 , 0.0 ,19 ,Z ,Z ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,72 ,3 , T1 , 0.0 ,19 ,X ,U ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,73 ,3 , T1 , 0.0 ,19 ,R ,B ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,74 ,3 , T1 , 0.0 ,19 ,C ,E ,0.0 ,-3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,75 ,3 , T1 , 0.0 ,19 ,W ,Q ,0.0 ,-19.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,76 ,3 , T1 , 0.0 ,23 ,T ,Y ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,77 ,3 , T1 , 0.0 ,23 ,I ,V ,0.0 ,1.0 ,"[1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,78 ,3 , T1 , 0.0 ,23 ,X ,W ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,79 ,3 , T1 , 0.0 ,15 ,Y ,J ,0.0 ,8.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,80 ,3 , T1 , 0.0 ,15 ,G ,U ,0.0 ,3.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,81 ,3 , T1 , 0.0 ,7 ,A ,B ,0.0 ,-6.0 ,"[1, 0] ",3.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,82 ,3 , T1 , 0.0 ,19 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,83 ,3 , T1 , 0.0 ,23 ,Y ,E ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,84 ,3 , T1 , 0.0 ,23 ,X ,S ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,85 ,3 , T1 , 0.0 ,11 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,86 ,3 , T1 , 0.0 ,19 ,J ,N ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,87 ,3 , T1 , 0.0 ,15 ,X ,M ,0.0 ,-1.0 ,"[1, 0] ",10.0 ,3
RSVP_two_streams_bigger_cue_size_different_rates ,88 ,3 , T1 , 0.0 ,15 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,89 ,3 , T1 , 0.0 ,7 ,F ,J ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,90 ,3 , T1 , 0.0 ,11 ,A ,A ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,91 ,3 , T1 , 0.0 ,19 ,D ,G ,0.0 ,-1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,92 ,3 , T1 , 0.0 ,7 ,X ,B ,0.0 ,4.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,93 ,3 , T1 , 0.0 ,7 ,F ,F ,1.0 ,0.0 ,"[1, 0] ",10.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,94 ,3 , T1 , 0.0 ,15 ,X ,N ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,95 ,3 , T1 , 0.0 ,11 ,A ,J ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,96 ,3 , T1 , 0.0 ,11 ,G ,G ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,97 ,3 , T1 , 0.0 ,23 ,X ,G ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,98 ,3 , T1 , 0.0 ,7 ,G ,Q ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,99 ,3 , T1 , 0.0 ,7 ,X ,N ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,100 ,3 , T1 , 0.0 ,11 ,G ,D ,0.0 ,4.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,101 ,3 , T1 , 0.0 ,23 ,L ,L ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,2
RSVP_two_streams_bigger_cue_size_different_rates ,102 ,3 , T1 , 0.0 ,7 ,I ,X ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,103 ,3 , T1 , 0.0 ,19 ,Q ,G ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,104 ,3 , T1 , 0.0 ,11 ,U ,E ,0.0 ,8.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,105 ,3 , T1 , 0.0 ,11 ,X ,W ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,106 ,3 , T1 , 0.0 ,7 ,D ,D ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,107 ,3 , T1 , 0.0 ,7 ,Y ,Y ,1.0 ,0.0 ,"[1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,108 ,3 , T1 , 0.0 ,15 ,B ,B ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,109 ,3 , T1 , 0.0 ,11 ,U ,U ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,110 ,3 , T1 , 0.0 ,7 ,S ,L ,0.0 ,-3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,111 ,3 , T1 , 0.0 ,19 ,J ,N ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,112 ,3 , T1 , 0.0 ,7 ,I ,C ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,113 ,3 , T1 , 0.0 ,7 ,G ,M ,0.0 ,-2.0 ,"[1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_different_rates ,114 ,3 , T1 , 0.0 ,11 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,115 ,3 , T1 , 0.0 ,7 ,U ,J ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,116 ,3 , T1 , 0.0 ,11 ,O ,C ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,117 ,3 , T1 , 0.0 ,15 ,C ,G ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,118 ,3 , T1 , 0.0 ,23 ,E ,E ,1.0 ,0.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,119 ,3 , T1 , 0.0 ,11 ,E ,B ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,120 ,3 , T1 , 0.0 ,11 ,Z ,Z ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,121 ,3 , T1 , 0.0 ,23 ,K ,R ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,122 ,3 , T1 , 0.0 ,23 ,V ,M ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,123 ,3 , T1 , 0.0 ,15 ,B ,B ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,124 ,3 , T1 , 0.0 ,15 ,X ,U ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,125 ,3 , T1 , 0.0 ,7 ,U ,D ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,126 ,3 , T1 , 0.0 ,7 ,Q ,B ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,127 ,3 , T1 , 0.0 ,7 ,W ,W ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,128 ,3 , T1 , 0.0 ,19 ,X ,D ,0.0 ,3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,129 ,3 , T1 , 0.0 ,7 ,I ,P ,0.0 ,-1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_different_rates ,130 ,3 , T1 , 0.0 ,19 ,G ,G ,1.0 ,0.0 ,"[-1, 0] ",3.0 ,0
