experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_two_streams_bigger_cue_size_different_rates 	0 	8 	 T1 	 0.0 	15 	F 	J 	0.0 	5.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	1 	8 	 T1 	 0.0 	7 	O 	W 	0.0 	18.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	2 	8 	 T1 	 0.0 	15 	X 	X 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	3 	8 	 T1 	 0.0 	19 	N 	W 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	4 	8 	 T1 	 0.0 	11 	N 	N 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	5 	8 	 T1 	 0.0 	23 	D 	P 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	6 	8 	 T1 	 0.0 	23 	Q 	D 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	7 	8 	 T1 	 0.0 	19 	H 	N 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	8 	8 	 T1 	 0.0 	11 	J 	G 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	9 	8 	 T1 	 0.0 	23 	M 	Q 	0.0 	2.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	10 	8 	 T1 	 0.0 	19 	U 	U 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	11 	8 	 T1 	 0.0 	15 	Y 	B 	0.0 	-15.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	12 	8 	 T1 	 0.0 	11 	G 	E 	0.0 	4.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	13 	8 	 T1 	 0.0 	11 	X 	F 	0.0 	1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	14 	8 	 T1 	 0.0 	15 	J 	J 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	15 	8 	 T1 	 0.0 	23 	D 	V 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	16 	8 	 T1 	 0.0 	11 	U 	N 	0.0 	2.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	17 	8 	 T1 	 0.0 	7 	W 	A 	0.0 	10.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	18 	8 	 T1 	 0.0 	19 	M 	C 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	19 	8 	 T1 	 0.0 	19 	T 	W 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	20 	8 	 T1 	 0.0 	7 	E 	X 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	21 	8 	 T1 	 0.0 	11 	W 	W 	1.0 	0.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	22 	8 	 T1 	 0.0 	15 	P 	P 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	23 	8 	 T1 	 0.0 	23 	L 	L 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	24 	8 	 T1 	 0.0 	15 	L 	A 	0.0 	-1.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	25 	8 	 T1 	 0.0 	11 	D 	O 	0.0 	-4.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	26 	8 	 T1 	 0.0 	7 	P 	Q 	0.0 	-4.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	27 	8 	 T1 	 0.0 	7 	R 	S 	0.0 	3.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	28 	8 	 T1 	 0.0 	19 	G 	D 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	29 	8 	 T1 	 0.0 	15 	C 	C 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	30 	8 	 T1 	 0.0 	19 	N 	N 	1.0 	0.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	31 	8 	 T1 	 0.0 	7 	H 	B 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	32 	8 	 T1 	 0.0 	23 	F 	N 	0.0 	2.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	33 	8 	 T1 	 0.0 	19 	L 	A 	0.0 	2.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	34 	8 	 T1 	 0.0 	19 	W 	W 	1.0 	0.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	35 	8 	 T1 	 0.0 	11 	O 	C 	0.0 	1.0 	[-1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	36 	8 	 T1 	 0.0 	15 	S 	S 	1.0 	0.0 	[1, 0] 	3.0 	2
RSVP_two_streams_bigger_cue_size_different_rates 	37 	8 	 T1 	 0.0 	23 	G 	O 	0.0 	-4.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	38 	8 	 T1 	 0.0 	11 	J 	A 	0.0 	5.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	39 	8 	 T1 	 0.0 	15 	J 	J 	1.0 	0.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	40 	8 	 T1 	 0.0 	15 	N 	M 	0.0 	8.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	41 	8 	 T1 	 0.0 	19 	D 	A 	0.0 	1.0 	[1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	42 	8 	 T1 	 0.0 	15 	V 	N 	0.0 	1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	43 	8 	 T1 	 0.0 	23 	Q 	X 	0.0 	-5.0 	[1, 0] 	10.0 	2
RSVP_two_streams_bigger_cue_size_different_rates 	44 	8 	 T1 	 0.0 	23 	Q 	Y 	0.0 	-1.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	45 	8 	 T1 	 0.0 	19 	J 	P 	0.0 	-18.0 	[-1, 0] 	10.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	46 	8 	 T1 	 0.0 	19 	S 	I 	0.0 	-10.0 	[1, 0] 	3.0 	0
RSVP_two_streams_bigger_cue_size_different_rates 	47 	8 	 T1 	 0.0 	7 	P 	E 	0.0 	2.0 	[1, 0] 	10.0 	2
