experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_two_streams_bigger_cue_size_new ,0 ,12 , T1 , 0.0 ,14 ,I ,H ,0.0 ,1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,1 ,12 , T1 , 0.0 ,18 ,D ,L ,0.0 ,-6.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,2 ,12 , T1 , 0.0 ,18 ,P ,K ,0.0 ,5.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,3 ,12 , T1 , 0.0 ,6 ,L ,A ,0.0 ,13.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,4 ,12 , T1 , 0.0 ,6 ,T ,N ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,5 ,12 , T1 , 0.0 ,22 ,X ,A ,0.0 ,-1.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,6 ,12 , T1 , 0.0 ,22 ,B ,R ,0.0 ,-5.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,7 ,12 , T1 , 0.0 ,10 ,H ,P ,0.0 ,3.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,8 ,12 , T1 , 0.0 ,6 ,M ,D ,0.0 ,10.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,9 ,12 , T1 , 0.0 ,10 ,U ,B ,0.0 ,13.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,10 ,12 , T1 , 0.0 ,6 ,N ,O ,0.0 ,1.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,11 ,12 , T1 , 0.0 ,10 ,O ,N ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,12 ,12 , T1 , 0.0 ,18 ,I ,U ,0.0 ,-1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,13 ,12 , T1 , 0.0 ,6 ,M ,P ,0.0 ,2.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,14 ,12 , T1 , 0.0 ,18 ,F ,Z ,0.0 ,6.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,15 ,12 , T1 , 0.0 ,14 ,B ,O ,0.0 ,-5.0 ,"[-1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,16 ,12 , T1 , 0.0 ,22 ,X ,C ,0.0 ,-10.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,17 ,12 , T1 , 0.0 ,6 ,V ,I ,0.0 ,-2.0 ,"[-1, 0] ",3.0 ,1
RSVP_two_streams_bigger_cue_size_new ,18 ,12 , T1 , 0.0 ,6 ,R ,Q ,0.0 ,2.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,19 ,12 , T1 , 0.0 ,6 ,Z ,M ,0.0 ,1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,20 ,12 , T1 , 0.0 ,18 ,M ,M ,1.0 ,0.0 ,"[1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,21 ,12 , T1 , 0.0 ,18 ,B ,G ,0.0 ,1.0 ,"[-1, 0] ",10.0 ,0
RSVP_two_streams_bigger_cue_size_new ,22 ,12 , T1 , 0.0 ,14 ,Z ,B ,0.0 ,-1.0 ,"[1, 0] ",3.0 ,0
RSVP_two_streams_bigger_cue_size_new ,23 ,12 , T1 , 0.0 ,22 ,N ,N ,1.0 ,0.0 ,"[1, 0] ",3.0 ,0
