experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_extended_letter_duration 	0 	15 	 T1 	 0.0 	10 	E 	O 	0.0 	10.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	1 	15 	 T1 	 0.0 	10 	F 	U 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	2 	15 	 T1 	 0.0 	10 	F 	E 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	3 	15 	 T1 	 0.0 	18 	D 	W 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	4 	15 	 T1 	 0.0 	6 	E 	E 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	5 	15 	 T1 	 0.0 	22 	D 	J 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	6 	15 	 T1 	 0.0 	18 	V 	V 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	7 	15 	 T1 	 0.0 	6 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	8 	15 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	9 	15 	 T1 	 0.0 	22 	H 	O 	0.0 	2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	10 	15 	 T1 	 0.0 	18 	O 	K 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	11 	15 	 T1 	 0.0 	6 	H 	R 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	12 	15 	 T1 	 0.0 	6 	S 	E 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	13 	15 	 T1 	 0.0 	22 	O 	W 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	14 	15 	 T1 	 0.0 	10 	M 	N 	0.0 	11.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	15 	15 	 T1 	 0.0 	22 	U 	A 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	16 	15 	 T1 	 0.0 	10 	F 	E 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	17 	15 	 T1 	 0.0 	6 	V 	Y 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	18 	15 	 T1 	 0.0 	14 	J 	D 	0.0 	-4.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	19 	15 	 T1 	 0.0 	14 	M 	Y 	0.0 	8.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	20 	15 	 T1 	 0.0 	6 	B 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	21 	15 	 T1 	 0.0 	22 	L 	G 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	22 	15 	 T1 	 0.0 	10 	C 	D 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	23 	15 	 T1 	 0.0 	10 	Q 	O 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	24 	15 	 T1 	 0.0 	18 	H 	V 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	25 	15 	 T1 	 0.0 	6 	I 	R 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	26 	15 	 T1 	 0.0 	14 	R 	D 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	27 	15 	 T1 	 0.0 	18 	J 	T 	0.0 	-1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	28 	15 	 T1 	 0.0 	10 	V 	R 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	29 	15 	 T1 	 0.0 	14 	N 	N 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	30 	15 	 T1 	 0.0 	14 	J 	E 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	31 	15 	 T1 	 0.0 	18 	X 	X 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	32 	15 	 T1 	 0.0 	22 	M 	O 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	33 	15 	 T1 	 0.0 	18 	V 	D 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	34 	15 	 T1 	 0.0 	14 	Q 	Y 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	35 	15 	 T1 	 0.0 	6 	M 	R 	0.0 	-2.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	36 	15 	 T1 	 0.0 	14 	L 	A 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	37 	15 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	38 	15 	 T1 	 0.0 	6 	T 	Y 	0.0 	-2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	39 	15 	 T1 	 0.0 	22 	V 	E 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	40 	15 	 T1 	 0.0 	6 	T 	P 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	41 	15 	 T1 	 0.0 	6 	G 	G 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	42 	15 	 T1 	 0.0 	22 	K 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	43 	15 	 T1 	 0.0 	18 	I 	T 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	44 	15 	 T1 	 0.0 	10 	Z 	Z 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	45 	15 	 T1 	 0.0 	18 	K 	B 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	46 	15 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	47 	15 	 T1 	 0.0 	22 	O 	M 	0.0 	-1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	48 	15 	 T1 	 0.0 	10 	C 	Z 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	49 	15 	 T1 	 0.0 	14 	D 	A 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	50 	15 	 T1 	 0.0 	22 	A 	A 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	51 	15 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_extended_letter_duration 	52 	15 	 T1 	 0.0 	6 	D 	M 	0.0 	5.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	53 	15 	 T1 	 0.0 	14 	F 	Y 	0.0 	-6.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	54 	15 	 T1 	 0.0 	14 	Z 	M 	0.0 	-2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_extended_letter_duration 	55 	15 	 T1 	 0.0 	14 	H 	M 	0.0 	-1.0 	[-1, 0] 	10 	0
