experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
RSVP_spatial_cue_ISI_presentation 	0 	19 	 T1 	 0.0 	14 	Z 	A 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	1 	19 	 T1 	 0.0 	10 	K 	K 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	2 	19 	 T1 	 0.0 	14 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	3 	19 	 T1 	 0.0 	18 	Q 	Q 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	4 	19 	 T1 	 0.0 	10 	I 	N 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	5 	19 	 T1 	 0.0 	22 	C 	L 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	6 	19 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	7 	19 	 T1 	 0.0 	10 	W 	W 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	8 	19 	 T1 	 0.0 	22 	T 	T 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	9 	19 	 T1 	 0.0 	14 	F 	F 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	10 	19 	 T1 	 0.0 	14 	T 	L 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	11 	19 	 T1 	 0.0 	10 	I 	R 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	12 	19 	 T1 	 0.0 	18 	G 	G 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	13 	19 	 T1 	 0.0 	18 	L 	L 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	14 	19 	 T1 	 0.0 	6 	E 	E 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	15 	19 	 T1 	 0.0 	10 	T 	D 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	16 	19 	 T1 	 0.0 	22 	F 	Z 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	17 	19 	 T1 	 0.0 	6 	V 	H 	0.0 	2.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	18 	19 	 T1 	 0.0 	6 	Q 	G 	0.0 	-2.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	19 	19 	 T1 	 0.0 	22 	G 	N 	0.0 	-1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	20 	19 	 T1 	 0.0 	18 	J 	K 	0.0 	-4.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	21 	19 	 T1 	 0.0 	6 	R 	R 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	22 	19 	 T1 	 0.0 	6 	H 	H 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	23 	19 	 T1 	 0.0 	10 	U 	S 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	24 	19 	 T1 	 0.0 	14 	T 	H 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	25 	19 	 T1 	 0.0 	6 	N 	P 	0.0 	2.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	26 	19 	 T1 	 0.0 	14 	M 	K 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	27 	19 	 T1 	 0.0 	18 	Q 	Q 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	28 	19 	 T1 	 0.0 	18 	A 	A 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	29 	19 	 T1 	 0.0 	22 	R 	R 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	30 	19 	 T1 	 0.0 	14 	L 	G 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	31 	19 	 T1 	 0.0 	18 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	32 	19 	 T1 	 0.0 	14 	K 	A 	0.0 	4.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	33 	19 	 T1 	 0.0 	22 	O 	F 	0.0 	-1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	34 	19 	 T1 	 0.0 	6 	E 	E 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	35 	19 	 T1 	 0.0 	10 	R 	R 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	36 	19 	 T1 	 0.0 	18 	P 	P 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	37 	19 	 T1 	 0.0 	10 	Y 	J 	0.0 	-5.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	38 	19 	 T1 	 0.0 	18 	B 	B 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	39 	19 	 T1 	 0.0 	6 	H 	T 	0.0 	6.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	40 	19 	 T1 	 0.0 	10 	I 	K 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	41 	19 	 T1 	 0.0 	18 	U 	H 	0.0 	1.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	42 	19 	 T1 	 0.0 	10 	A 	A 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	43 	19 	 T1 	 0.0 	18 	N 	Q 	0.0 	7.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	44 	19 	 T1 	 0.0 	10 	L 	L 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	45 	19 	 T1 	 0.0 	22 	A 	A 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	46 	19 	 T1 	 0.0 	14 	V 	E 	0.0 	1.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	47 	19 	 T1 	 0.0 	22 	B 	B 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	48 	19 	 T1 	 0.0 	6 	C 	C 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	49 	19 	 T1 	 0.0 	10 	S 	H 	0.0 	11.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	50 	19 	 T1 	 0.0 	6 	M 	M 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	51 	19 	 T1 	 0.0 	14 	R 	R 	1.0 	0.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	52 	19 	 T1 	 0.0 	22 	L 	L 	1.0 	0.0 	[1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	53 	19 	 T1 	 0.0 	10 	S 	S 	1.0 	0.0 	[-1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	54 	19 	 T1 	 0.0 	10 	B 	G 	0.0 	-10.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	55 	19 	 T1 	 0.0 	18 	U 	K 	0.0 	1.0 	[-1, 0] 	2 	0
RSVP_spatial_cue_ISI_presentation 	56 	19 	 T1 	 0.0 	6 	J 	T 	0.0 	1.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	57 	19 	 T1 	 0.0 	10 	F 	F 	1.0 	0.0 	[1, 0] 	10 	0
RSVP_spatial_cue_ISI_presentation 	58 	19 	 T1 	 0.0 	22 	Q 	Q 	1.0 	0.0 	[1, 0] 	2 	0
