experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
RSVP_spatial_cue_extended_letter_duration ,0 ,6 , T1 , 0.0 ,14 ,X ,K ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,1 ,6 , T1 , 0.0 ,6 ,W ,W ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,2 ,6 , T1 , 0.0 ,22 ,T ,H ,0.0 ,-2.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,3 ,6 , T1 , 0.0 ,6 ,E ,C ,0.0 ,-5.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,4 ,6 , T1 , 0.0 ,6 ,Q ,G ,0.0 ,1.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,5 ,6 , T1 , 0.0 ,22 ,X ,V ,0.0 ,-1.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,6 ,6 , T1 , 0.0 ,6 ,N ,A ,0.0 ,1.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,7 ,6 , T1 , 0.0 ,22 ,G ,P ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,8 ,6 , T1 , 0.0 ,22 ,W ,U ,0.0 ,-1.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,9 ,6 , T1 , 0.0 ,18 ,B ,T ,0.0 ,-2.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,10 ,6 , T1 , 0.0 ,14 ,Z ,H ,0.0 ,1.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,11 ,6 , T1 , 0.0 ,22 ,E ,Q ,0.0 ,-17.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,12 ,6 , T1 , 0.0 ,18 ,C ,V ,0.0 ,-5.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,13 ,6 , T1 , 0.0 ,22 ,C ,C ,1.0 ,0.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,14 ,6 , T1 , 0.0 ,10 ,G ,G ,1.0 ,0.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,15 ,6 , T1 , 0.0 ,22 ,S ,S ,1.0 ,0.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,16 ,6 , T1 , 0.0 ,14 ,M ,W ,0.0 ,1.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,17 ,6 , T1 , 0.0 ,6 ,S ,S ,1.0 ,0.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,18 ,6 , T1 , 0.0 ,18 ,Z ,Z ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,19 ,6 , T1 , 0.0 ,10 ,U ,U ,1.0 ,0.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,20 ,6 , T1 , 0.0 ,18 ,L ,M ,0.0 ,1.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,21 ,6 , T1 , 0.0 ,14 ,H ,A ,0.0 ,11.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,22 ,6 , T1 , 0.0 ,22 ,E ,G ,0.0 ,-1.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,23 ,6 , T1 , 0.0 ,6 ,I ,F ,0.0 ,-1.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,24 ,6 , T1 , 0.0 ,18 ,K ,K ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,25 ,6 , T1 , 0.0 ,14 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,26 ,6 , T1 , 0.0 ,22 ,O ,E ,0.0 ,1.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,27 ,6 , T1 , 0.0 ,18 ,X ,X ,1.0 ,0.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,28 ,6 , T1 , 0.0 ,18 ,E ,D ,0.0 ,1.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,29 ,6 , T1 , 0.0 ,6 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,30 ,6 , T1 , 0.0 ,10 ,O ,S ,0.0 ,4.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,31 ,6 , T1 , 0.0 ,14 ,V ,X ,0.0 ,-1.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,32 ,6 , T1 , 0.0 ,6 ,K ,T ,0.0 ,1.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,33 ,6 , T1 , 0.0 ,14 ,J ,I ,0.0 ,-9.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,34 ,6 , T1 , 0.0 ,14 ,I ,D ,0.0 ,-13.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,35 ,6 , T1 , 0.0 ,6 ,G ,C ,0.0 ,-4.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,36 ,6 , T1 , 0.0 ,22 ,B ,W ,0.0 ,-12.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,37 ,6 , T1 , 0.0 ,14 ,G ,O ,0.0 ,-7.0 ,"[-1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,38 ,6 , T1 , 0.0 ,22 ,R ,R ,1.0 ,0.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,39 ,6 , T1 , 0.0 ,10 ,O ,C ,0.0 ,15.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,40 ,6 , T1 , 0.0 ,10 ,T ,V ,0.0 ,1.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,41 ,6 , T1 , 0.0 ,18 ,G ,J ,0.0 ,-7.0 ,"[1, 0] ",10 ,0
RSVP_spatial_cue_extended_letter_duration ,42 ,6 , T1 , 0.0 ,18 ,K ,K ,1.0 ,0.0 ,"[1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,43 ,6 , T1 , 0.0 ,18 ,M ,M ,1.0 ,0.0 ,"[-1, 0] ",2 ,0
RSVP_spatial_cue_extended_letter_duration ,44 ,6 , T1 , 0.0 ,18 ,N ,G ,0.0 ,1.0 ,"[-1, 0] ",2 ,0
