experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	cueSpatialPos1	cueEccentricity1	timingBlips
main	0 	Alex 	 T1 	 0.0 	12 	P 	O 	0.0 	-4.0 	[-1, 0] 	4 	0
main	1 	Alex 	 T1 	 0.0 	12 	L 	L 	1.0 	0.0 	[-1, 0] 	8 	2
main	2 	Alex 	 T1 	 0.0 	6 	V 	V 	1.0 	0.0 	[-1, 0] 	8 	0
main	3 	Alex 	 T1 	 0.0 	10 	M 	M 	1.0 	0.0 	[-1, 0] 	4 	0
main	4 	Alex 	 T1 	 0.0 	14 	A 	Q 	0.0 	-1.0 	[-1, 0] 	8 	0
main	5 	Alex 	 T1 	 0.0 	8 	L 	L 	1.0 	0.0 	[-1, 0] 	4 	0
main	6 	Alex 	 T1 	 0.0 	6 	K 	N 	0.0 	2.0 	[1, 0] 	8 	0
main	7 	Alex 	 T1 	 0.0 	10 	E 	S 	0.0 	-1.0 	[1, 0] 	8 	0
main	8 	Alex 	 T1 	 0.0 	14 	M 	W 	0.0 	1.0 	[1, 0] 	8 	0
main	9 	Alex 	 T1 	 0.0 	8 	L 	C 	0.0 	-1.0 	[1, 0] 	8 	0
main	10 	Alex 	 T1 	 0.0 	12 	N 	M 	0.0 	-1.0 	[1, 0] 	4 	0
main	11 	Alex 	 T1 	 0.0 	6 	N 	Z 	0.0 	2.0 	[1, 0] 	4 	0
main	12 	Alex 	 T1 	 0.0 	6 	P 	P 	1.0 	0.0 	[-1, 0] 	4 	0
main	13 	Alex 	 T1 	 0.0 	10 	V 	K 	0.0 	1.0 	[-1, 0] 	8 	3
main	14 	Alex 	 T1 	 0.0 	14 	V 	V 	1.0 	0.0 	[1, 0] 	4 	5
main	15 	Alex 	 T1 	 0.0 	12 	V 	Z 	0.0 	1.0 	[1, 0] 	8 	0
main	16 	Alex 	 T1 	 0.0 	14 	Q 	Q 	1.0 	0.0 	[-1, 0] 	4 	0
main	17 	Alex 	 T1 	 0.0 	8 	R 	R 	1.0 	0.0 	[-1, 0] 	8 	0
main	18 	Alex 	 T1 	 0.0 	8 	Z 	Z 	1.0 	0.0 	[1, 0] 	4 	0
main	19 	Alex 	 T1 	 0.0 	10 	P 	P 	1.0 	0.0 	[1, 0] 	4 	0
main	20 	Alex 	 T1 	 0.0 	10 	D 	D 	1.0 	0.0 	[1, 0] 	4 	0
main	21 	Alex 	 T1 	 0.0 	10 	E 	W 	0.0 	-1.0 	[-1, 0] 	4 	0
main	22 	Alex 	 T1 	 0.0 	10 	F 	P 	0.0 	-1.0 	[1, 0] 	8 	0
main	23 	Alex 	 T1 	 0.0 	14 	Z 	N 	0.0 	10.0 	[-1, 0] 	8 	0
main	24 	Alex 	 T1 	 0.0 	8 	V 	I 	0.0 	-1.0 	[-1, 0] 	4 	0
main	25 	Alex 	 T1 	 0.0 	6 	B 	F 	0.0 	7.0 	[1, 0] 	8 	0
main	26 	Alex 	 T1 	 0.0 	10 	C 	N 	0.0 	-1.0 	[-1, 0] 	8 	0
main	27 	Alex 	 T1 	 0.0 	12 	U 	U 	1.0 	0.0 	[-1, 0] 	8 	1
main	28 	Alex 	 T1 	 0.0 	6 	W 	W 	1.0 	0.0 	[-1, 0] 	8 	0
main	29 	Alex 	 T1 	 0.0 	14 	P 	P 	1.0 	0.0 	[1, 0] 	4 	0
main	30 	Alex 	 T1 	 0.0 	8 	I 	D 	0.0 	-1.0 	[1, 0] 	4 	0
main	31 	Alex 	 T1 	 0.0 	8 	C 	C 	1.0 	0.0 	[-1, 0] 	8 	1
main	32 	Alex 	 T1 	 0.0 	14 	A 	A 	1.0 	0.0 	[1, 0] 	8 	0
main	33 	Alex 	 T1 	 0.0 	12 	F 	F 	1.0 	0.0 	[-1, 0] 	4 	0
main	34 	Alex 	 T1 	 0.0 	12 	G 	Y 	0.0 	-1.0 	[1, 0] 	8 	0
main	35 	Alex 	 T1 	 0.0 	6 	S 	S 	1.0 	0.0 	[1, 0] 	4 	0
main	36 	Alex 	 T1 	 0.0 	6 	F 	F 	1.0 	0.0 	[-1, 0] 	4 	0
main	37 	Alex 	 T1 	 0.0 	14 	R 	R 	1.0 	0.0 	[-1, 0] 	4 	0
main	38 	Alex 	 T1 	 0.0 	12 	Y 	Y 	1.0 	0.0 	[1, 0] 	4 	0
main	39 	Alex 	 T1 	 0.0 	8 	L 	L 	1.0 	0.0 	[1, 0] 	8 	0
main	40 	Alex 	 T1 	 0.0 	10 	G 	G 	1.0 	0.0 	[-1, 0] 	8 	0
main	41 	Alex 	 T1 	 0.0 	12 	N 	U 	0.0 	-2.0 	[1, 0] 	8 	0
main	42 	Alex 	 T1 	 0.0 	6 	E 	D 	0.0 	-1.0 	[1, 0] 	8 	0
