trialnum,subject,answerPos0,answer0,response0,correct0,answerPos1,answer1,response1,correct1,cueSpatialPos,cueEccentricity,timingBlips
0,pilot ,20,2,1,0,19,1,2,0,"[-1, 0] ",9,2
1,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",6,2
2,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",3,0
3,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",6,0
4,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",3,0
5,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",3,0
6,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",6,0
7,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",6,0
8,pilot ,10,1,1,1,10,2,2,1,"[-1, 0] ",3,0
9,pilot ,20,1,2,0,20,2,1,0,"[-1, 0] ",3,0
10,pilot ,10,1,1,1,10,2,2,1,"[-1, 0] ",9,0
11,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",9,0
12,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",6,0
13,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",3,0
14,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",9,0
15,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",6,0
16,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",3,0
17,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",3,0
18,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",3,0
19,pilot ,20,1,1,1,20,2,2,1,"[-1, 0] ",9,0
20,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",9,0
21,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",6,0
22,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",9,0
23,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",6,0
24,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",3,0
25,pilot ,10,1,1,1,13,2,2,1,"[1, 0] ",3,0
26,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",9,0
27,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",6,0
28,pilot ,20,1,2,0,22,2,1,0,"[-1, 0] ",9,0
29,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",3,0
30,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",6,0
31,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",3,0
32,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",6,0
33,pilot ,10,1,2,0,12,2,1,0,"[-1, 0] ",9,0
34,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",6,0
35,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",6,0
36,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",3,0
37,pilot ,20,1,2,0,22,2,1,0,"[-1, 0] ",6,0
38,pilot ,10,1,1,1,11,2,2,1,"[1, 0] ",3,0
39,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",6,0
40,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",3,0
41,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",3,0
42,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",9,0
43,pilot ,20,1,2,0,23,2,1,0,"[1, 0] ",9,0
44,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",3,0
45,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",3,0
46,pilot ,20,1,1,1,22,2,2,1,"[-1, 0] ",3,0
47,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",3,0
48,pilot ,10,1,1,1,11,2,2,1,"[-1, 0] ",3,0
49,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",9,0
50,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",9,0
51,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",3,0
52,pilot ,20,1,1,1,20,2,2,1,"[-1, 0] ",6,1
53,pilot ,10,1,1,1,10,2,2,1,"[-1, 0] ",6,0
54,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",9,0
55,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",9,0
56,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",6,0
57,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",6,0
58,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",9,0
59,pilot ,20,1,2,0,22,2,1,0,"[1, 0] ",9,0
60,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",6,0
61,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",9,0
62,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",3,0
63,pilot ,20,2,1,0,18,1,2,0,"[-1, 0] ",9,0
64,pilot ,10,1,2,0,13,2,1,0,"[1, 0] ",9,0
65,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",6,0
66,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",9,0
67,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",6,0
68,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",9,0
69,pilot ,10,2,1,0,8,1,2,0,"[-1, 0] ",6,0
70,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",6,0
71,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",3,0
72,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",9,0
73,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",6,0
74,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",3,0
75,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",6,0
76,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",9,0
77,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",9,0
78,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",9,0
79,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",3,0
80,pilot ,10,1,2,0,11,2,1,0,"[1, 0] ",6,0
81,pilot ,10,2,2,1,8,1,1,1,"[-1, 0] ",9,0
82,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",6,0
83,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",3,0
84,pilot ,10,2,2,1,7,1,1,1,"[1, 0] ",6,0
85,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",3,0
86,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",3,0
87,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",6,0
88,pilot ,20,2,2,1,18,1,1,1,"[1, 0] ",9,0
89,pilot ,20,1,2,0,20,2,1,0,"[1, 0] ",6,0
90,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",3,0
91,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",6,0
92,pilot ,10,1,1,1,12,2,2,1,"[1, 0] ",3,0
93,pilot ,10,1,2,0,10,2,1,0,"[1, 0] ",3,0
94,pilot ,20,1,2,0,21,2,1,0,"[1, 0] ",3,0
95,pilot ,20,2,2,1,19,1,1,1,"[1, 0] ",3,0
96,pilot ,10,1,2,0,12,2,1,0,"[1, 0] ",9,0
97,pilot ,10,1,1,1,13,2,2,1,"[-1, 0] ",9,0
98,pilot ,20,1,1,1,23,2,2,1,"[1, 0] ",9,0
99,pilot ,20,2,2,1,18,1,1,1,"[-1, 0] ",6,0
100,pilot ,10,1,2,0,11,2,1,0,"[-1, 0] ",9,0
101,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",9,0
102,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",9,0
103,pilot ,20,1,1,1,21,2,2,1,"[-1, 0] ",3,0
104,pilot ,10,2,2,1,9,1,1,1,"[1, 0] ",9,0
105,pilot ,20,2,2,1,17,1,1,1,"[1, 0] ",6,0
106,pilot ,10,2,2,1,7,1,1,1,"[-1, 0] ",6,0
107,pilot ,20,1,1,1,22,2,2,1,"[1, 0] ",3,0
108,pilot ,20,2,2,1,17,1,1,1,"[-1, 0] ",6,0
109,pilot ,20,2,2,1,19,1,1,1,"[-1, 0] ",9,0
110,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",3,0
111,pilot ,20,1,1,1,23,2,2,1,"[-1, 0] ",6,0
112,pilot ,10,2,2,1,8,1,1,1,"[1, 0] ",6,0
113,pilot ,10,1,1,1,13,2,2,1,"[1, 0] ",3,0
114,pilot ,10,1,1,1,12,2,2,1,"[-1, 0] ",9,0
115,pilot ,10,1,2,0,10,2,1,0,"[-1, 0] ",6,0
116,pilot ,10,2,2,1,9,1,1,1,"[-1, 0] ",9,0
