experimentPhase,trialnum,subject,task,noisePercent,answerPos0,answer0,response0,correct0,responsePosRelative0,cueSpatialPos1,cueEccentricity1,timingBlips
main,0,15,T1,0,18,C,S,0,2,[-1 0],2,0
main,1,15,T1,0,18,N,N,1,0,[-1 0],6,0
main,2,15,T1,0,18,I,E,0,-1,[-1 0],10,0
main,3,15,T1,0,6,P,R,0,1,[1 0],6,0
main,4,15,T1,0,10,T,T,1,0,[-1 0],10,0
main,5,15,T1,0,10,W,W,1,0,[-1 0],2,0
main,6,15,T1,0,6,H,H,1,0,[-1 0],6,0
main,7,15,T1,0,10,O,G,0,1,[1 0],6,0
main,8,15,T1,0,14,U,R,0,1,[1 0],6,0
main,9,15,T1,0,22,C,J,0,1,[-1 0],2,0
main,10,15,T1,0,14,F,K,0,2,[1 0],10,0
main,11,15,T1,0,18,G,G,1,0,[1 0],6,0
main,12,15,T1,0,10,F,U,0,1,[1 0],10,0
main,13,15,T1,0,6,N,M,0,1,[-1 0],2,0
main,14,15,T1,0,22,X,X,1,0,[-1 0],6,0
main,15,15,T1,0,14,N,N,1,0,[-1 0],2,0
main,16,15,T1,0,6,A,P,0,1,[-1 0],10,0
main,17,15,T1,0,18,Z,T,0,7,[1 0],10,0
main,18,15,T1,0,22,C,C,1,0,[1 0],2,0
main,19,15,T1,0,18,D,D,1,0,[1 0],2,0
main,20,15,T1,0,14,X,X,1,0,[1 0],2,0
main,21,15,T1,0,10,Z,M,0,1,[1 0],2,0
main,22,15,T1,0,22,K,K,1,0,[1 0],6,0
main,23,15,T1,0,6,J,Y,0,17,[1 0],10,0
main,24,15,T1,0,10,J,J,1,0,[-1 0],6,0
main,25,15,T1,0,14,Q,Q,1,0,[-1 0],6,0
main,26,15,T1,0,14,E,T,0,-8,[-1 0],10,0
main,27,15,T1,0,6,I,Y,0,-1,[1 0],2,0
main,28,15,T1,0,22,I,V,0,-2,[-1 0],10,0
main,29,15,T1,0,22,J,J,1,0,[1 0],10,0
main,30,15,T1,0,6,Z,K,0,15,[1 0],10,0
main,31,15,T1,0,10,P,P,1,0,[1 0],6,0
main,32,15,T1,0,14,W,W,1,0,[-1 0],6,0
main,33,15,T1,0,6,G,S,0,1,[-1 0],10,0
main,34,15,T1,0,14,T,E,0,1,[1 0],2,0
main,35,15,T1,0,10,O,T,0,15,[1 0],10,0
main,36,15,T1,0,18,L,S,0,1,[-1 0],6,0
