148.0224 	WARNING 	Could not load the desired click sound file, instead using manually created inferior click
148.4281 	EXP 	Created sequence: random, trialTypes=280, nReps=14, seed=None
148.6529 	INFO 	total SOA (ISI + letterDur)=100.0 or 6 frames, comprising
ISIframes =3 or 50.0 ms and letterDurFrames =3 or 50.0ms
cueDurFrames =3.0 or 50.0 ms

148.6530 	INFO 	numtrials=280 and each trialDurFrames=156 or 2600.0 ms  task=T1
149.7035 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text='', units='deg', win=Window(...), wrapWidth=30)
150.6058 	EXP 	text: text = "Welcome! Thank you for agreeing to participate in this study.\n\nYou will be presented with a Rapid Stream of letters. Your task is to identify one of the letters.\n\nThe stream of letters can appear anywhere on the horizontal axis of the screen, and their position varies from trial to trial.\n\nThe letter you're supposed to identify is accompanied by a probe that appears on the fixation point.\n\nThe probe is a circular disk that will be flashed for a very brief time.\n\nYour task is identify the letter that was present when the probe appeared.\n\nOnce you've identified the letter after the trial ends, type it out on the keyboard.\n\nOh! And one more thing! You will perform this task while fixating in the center, and identifying the letters with your peripheral vision.\n\nIf you're feeling uncomfortable, you can press ESC key any time to stop the experiment.\n\nPress any key when you are ready to begin the experiment.\n\n"
150.6058 	EXP 	text: autoDraw = True
272.8702 	DATA 	Keypress: space
272.8714 	EXP 	text: autoDraw = False
272.8717 	INFO 	Experiment will have 280 trials. Letters will be drawn with superposed noise of0.00%
272.8717 	INFO 	Starting main (non-staircase) part of experiment
276.5550 	EXP 	window1: recordFrameIntervals = False
276.6337 	ERROR 	trialnum=0 ERROR,14 frames were longer than 20.8 ms apparently screen refreshes skipped, interframe durs were:[ 21.1  22.5  21.5  22.2  22.4  21.5  22.1  21.7  22.   22.4  21.8  21.8
  22.   22.9] and was these frames: [ 23  29  47  65  71  77  83  89 101 107 113 131 137 149]
276.6354 	INFO 	flankers also=[ 16.9  21.1  11.9  16.7  22.5  10.8  16.9  21.5  11.9  16.6  22.2  11.9
  16.6  22.4  10.7  16.8  21.5  11.6  16.7  22.1  11.3  16.7  21.7  11.7
  16.6  22.   11.4  16.8  22.4  11.   16.8  21.8  11.5  16.7  21.8  11.7
  16.8  22.   11.4  16.7  22.9  19. ]
277.8013 	DATA 	Keypress: i
282.0308 	EXP 	window1: recordFrameIntervals = False
282.0322 	ERROR 	trialnum=1 ERROR,24 frames were longer than 20.8 ms apparently screen refreshes skipped, interframe durs were:[ 21.4  21.2  21.1  22.1  20.9  22.2  22.   21.6  21.7  21.   21.6  21.5
  21.3  21.3  21.6  21.6  21.6  21.3  21.7  21.1  21.6  21.2  21.7  21.9] and was these frames: [  5  11  17  23  29  35  41  47  53  59  65  71  77  83  89  95 101 107
 113 119 125 131 137 143]
282.0356 	INFO 	flankers also=[ 15.7  21.4  13.   17.1  21.2  12.1  16.7  21.1  11.5  15.7  22.1  12.
  17.2  20.9  12.   16.7  22.2  10.9  16.9  22.   12.   16.2  21.6  12.
  16.7  21.7  11.7  16.8  21.   12.4  16.7  21.6  11.9  16.6  21.5  12.1
  16.6  21.3  12.1  16.7  21.3  12.2  16.7  21.6  12.   16.7  21.6  11.9
  16.7  21.6  11.9  16.6  21.3  12.1  16.7  21.7  11.7  16.7  21.1  12.4
  16.8  21.6  11.8  16.7  21.2  20.1  16.7  21.7  11.9  15.7  21.9  12.2]
284.3658 	DATA 	Keypress: o
288.6908 	EXP 	window1: recordFrameIntervals = False
289.8306 	DATA 	Keypress: w
294.0026 	EXP 	window1: recordFrameIntervals = False
295.2403 	DATA 	Keypress: g
299.1642 	EXP 	window1: recordFrameIntervals = False
301.1537 	DATA 	Keypress: z
305.1617 	EXP 	window1: recordFrameIntervals = False
306.1817 	DATA 	Keypress: k
310.5063 	EXP 	window1: recordFrameIntervals = False
311.4600 	DATA 	Keypress: w
315.3174 	EXP 	window1: recordFrameIntervals = False
316.4882 	DATA 	Keypress: k
320.8130 	EXP 	window1: recordFrameIntervals = False
321.4159 	DATA 	Keypress: s
325.7240 	EXP 	window1: recordFrameIntervals = False
326.6946 	DATA 	Keypress: v
330.9861 	EXP 	window1: recordFrameIntervals = False
331.6723 	DATA 	Keypress: g
335.7967 	EXP 	window1: recordFrameIntervals = False
336.5498 	DATA 	Keypress: r
340.5240 	EXP 	window1: recordFrameIntervals = False
341.7794 	DATA 	Keypress: h
346.0030 	EXP 	window1: recordFrameIntervals = False
346.3387 	DATA 	Keypress: b
350.6298 	EXP 	window1: recordFrameIntervals = False
351.3162 	DATA 	Keypress: t
355.6077 	EXP 	window1: recordFrameIntervals = False
355.6082 	ERROR 	trialnum=15 ERROR,2 frames were longer than 20.8 ms apparently screen refreshes skipped, interframe durs were:[  22.3  114.3] and was these frames: [  1 125]
355.6086 	INFO 	flankers also=[  16.7   22.3   11.1   16.7  114.3   19.2]
356.1938 	DATA 	Keypress: u
360.1706 	EXP 	window1: recordFrameIntervals = False
360.9713 	DATA 	Keypress: y
364.7483 	DATA 	Keypress: w
364.8283 	EXP 	window1: recordFrameIntervals = False
365.8154 	DATA 	Keypress: w
369.7394 	EXP 	window1: recordFrameIntervals = False
370.7943 	DATA 	Keypress: a
374.7172 	EXP 	window1: recordFrameIntervals = False
375.6708 	DATA 	Keypress: p
379.8287 	EXP 	window1: recordFrameIntervals = False
380.1494 	DATA 	Keypress: w
384.2220 	EXP 	window1: recordFrameIntervals = False
384.6747 	DATA 	Keypress: a
388.8157 	EXP 	window1: recordFrameIntervals = False
389.5532 	DATA 	Keypress: b
393.7101 	EXP 	window1: recordFrameIntervals = False
394.5470 	DATA 	Keypress: z
398.8216 	EXP 	window1: recordFrameIntervals = False
399.6249 	DATA 	Keypress: t
403.6490 	EXP 	window1: recordFrameIntervals = False
404.5359 	DATA 	Keypress: m
408.7607 	EXP 	window1: recordFrameIntervals = False
409.1129 	DATA 	Keypress: p
412.9867 	EXP 	window1: recordFrameIntervals = False
413.8233 	DATA 	Keypress: w
417.8478 	EXP 	window1: recordFrameIntervals = False
418.7511 	DATA 	Keypress: w
423.1092 	EXP 	window1: recordFrameIntervals = False
423.8623 	DATA 	Keypress: e
427.7203 	EXP 	window1: recordFrameIntervals = False
429.0909 	DATA 	Keypress: k
433.2820 	EXP 	window1: recordFrameIntervals = False
434.0351 	DATA 	Keypress: e
438.1763 	EXP 	window1: recordFrameIntervals = False
439.2803 	DATA 	Keypress: r
443.2042 	EXP 	window1: recordFrameIntervals = False
443.6568 	DATA 	Keypress: t
447.6311 	EXP 	window1: recordFrameIntervals = False
448.4511 	DATA 	Keypress: s
452.6090 	EXP 	window1: recordFrameIntervals = False
453.2283 	DATA 	Keypress: z
457.4195 	EXP 	window1: recordFrameIntervals = False
458.4401 	DATA 	Keypress: m
462.7166 	EXP 	window1: recordFrameIntervals = False
464.8714 	DATA 	Keypress: z
468.8622 	EXP 	window1: recordFrameIntervals = False
469.9672 	DATA 	Keypress: p
474.2575 	EXP 	window1: recordFrameIntervals = False
475.1803 	DATA 	Keypress: h
479.2521 	EXP 	window1: recordFrameIntervals = False
480.0221 	DATA 	Keypress: r
484.0129 	EXP 	window1: recordFrameIntervals = False
484.4822 	DATA 	Keypress: v
488.6399 	EXP 	window1: recordFrameIntervals = False
489.7439 	DATA 	Keypress: g
493.9349 	EXP 	window1: recordFrameIntervals = False
494.8218 	DATA 	Keypress: f
498.7625 	EXP 	window1: recordFrameIntervals = False
499.7161 	DATA 	Keypress: a
503.9406 	EXP 	window1: recordFrameIntervals = False
504.2931 	DATA 	Keypress: t
508.5678 	EXP 	window1: recordFrameIntervals = False
509.7219 	DATA 	Keypress: z
513.6457 	EXP 	window1: recordFrameIntervals = False
514.0315 	DATA 	Keypress: c
518.0723 	EXP 	window1: recordFrameIntervals = False
518.6930 	DATA 	Keypress: h
522.6162 	EXP 	window1: recordFrameIntervals = False
523.0363 	DATA 	Keypress: m
527.3265 	EXP 	window1: recordFrameIntervals = False
528.2469 	DATA 	Keypress: p
532.4382 	EXP 	window1: recordFrameIntervals = False
533.2080 	DATA 	Keypress: b
537.5163 	EXP 	window1: recordFrameIntervals = False
538.3195 	DATA 	Keypress: u
542.3437 	EXP 	window1: recordFrameIntervals = False
542.9141 	DATA 	Keypress: z
546.9708 	EXP 	window1: recordFrameIntervals = False
547.4400 	DATA 	Keypress: a
551.5978 	EXP 	window1: recordFrameIntervals = False
552.0169 	DATA 	Keypress: w
556.1080 	EXP 	window1: recordFrameIntervals = False
557.0950 	DATA 	Keypress: e
561.0691 	EXP 	window1: recordFrameIntervals = False
561.8224 	DATA 	Keypress: c
565.7804 	EXP 	window1: recordFrameIntervals = False
566.2320 	DATA 	Keypress: a
570.3731 	EXP 	window1: recordFrameIntervals = False
570.7095 	DATA 	Keypress: e
574.5826 	EXP 	window1: recordFrameIntervals = False
575.2692 	DATA 	Keypress: z
579.4768 	EXP 	window1: recordFrameIntervals = False
580.2469 	DATA 	Keypress: r
584.4881 	EXP 	window1: recordFrameIntervals = False
585.0077 	DATA 	Keypress: j
588.8980 	EXP 	window1: recordFrameIntervals = False
589.6512 	DATA 	Keypress: h
593.5586 	EXP 	window1: recordFrameIntervals = False
593.9610 	DATA 	Keypress: c
598.3529 	EXP 	window1: recordFrameIntervals = False
600.0082 	DATA 	Keypress: e
604.2828 	EXP 	window1: recordFrameIntervals = False
604.3846 	DATA 	Keypress: z
608.4254 	EXP 	window1: recordFrameIntervals = False
608.7622 	DATA 	Keypress: b
612.9522 	EXP 	window1: recordFrameIntervals = False
613.3380 	DATA 	Keypress: f
617.5960 	EXP 	window1: recordFrameIntervals = False
618.4828 	DATA 	Keypress: h
620.3050 	DATA 	Keypress: space
624.3945 	EXP 	window1: recordFrameIntervals = False
625.0975 	DATA 	Keypress: g
629.3388 	EXP 	window1: recordFrameIntervals = False
630.0420 	DATA 	Keypress: s
633.9158 	EXP 	window1: recordFrameIntervals = False
634.0343 	DATA 	Keypress: j
638.0417 	EXP 	window1: recordFrameIntervals = False
638.5945 	DATA 	Keypress: b
642.5852 	EXP 	window1: recordFrameIntervals = False
643.2397 	DATA 	Keypress: l
647.3325 	DATA 	Keypress: x
647.3626 	EXP 	window1: recordFrameIntervals = False
648.4334 	DATA 	Keypress: x
652.4240 	EXP 	window1: recordFrameIntervals = False
653.1104 	DATA 	Keypress: r
657.4186 	EXP 	window1: recordFrameIntervals = False
658.8231 	DATA 	Keypress: l
662.8977 	EXP 	window1: recordFrameIntervals = False
663.4173 	DATA 	Keypress: i
667.5415 	EXP 	window1: recordFrameIntervals = False
670.1823 	DATA 	Keypress: j
674.2900 	EXP 	window1: recordFrameIntervals = False
674.8094 	DATA 	Keypress: y
678.7666 	EXP 	window1: recordFrameIntervals = False
680.0711 	DATA 	Keypress: g
684.3626 	EXP 	window1: recordFrameIntervals = False
685.7197 	DATA 	Keypress: i
689.9585 	EXP 	window1: recordFrameIntervals = False
691.2294 	DATA 	Keypress: g
695.1367 	EXP 	window1: recordFrameIntervals = False
696.0908 	DATA 	Keypress: j
700.0643 	EXP 	window1: recordFrameIntervals = False
700.3834 	DATA 	Keypress: b
704.4275 	DATA 	Keypress: v
704.5745 	EXP 	window1: recordFrameIntervals = False
705.2609 	DATA 	Keypress: v
709.3686 	EXP 	window1: recordFrameIntervals = False
709.7210 	DATA 	Keypress: y
713.9955 	EXP 	window1: recordFrameIntervals = False
715.5507 	DATA 	Keypress: q
719.6584 	EXP 	window1: recordFrameIntervals = False
720.1778 	DATA 	Keypress: k
724.0515 	EXP 	window1: recordFrameIntervals = False
724.2369 	DATA 	Keypress: f
727.9133 	DATA 	Keypress: e
728.2276 	EXP 	window1: recordFrameIntervals = False
729.3482 	DATA 	Keypress: e
733.4601 	DATA 	Keypress: e
733.5896 	EXP 	window1: recordFrameIntervals = False
734.0922 	DATA 	Keypress: e
737.7023 	DATA 	Keypress: j
738.4179 	EXP 	window1: recordFrameIntervals = False
738.9700 	DATA 	Keypress: j
743.0945 	EXP 	window1: recordFrameIntervals = False
743.8979 	DATA 	Keypress: c
747.8217 	EXP 	window1: recordFrameIntervals = False
748.9092 	DATA 	Keypress: v
753.1003 	EXP 	window1: recordFrameIntervals = False
754.4550 	DATA 	Keypress: x
758.5961 	EXP 	window1: recordFrameIntervals = False
758.9816 	DATA 	Keypress: b
762.8555 	EXP 	window1: recordFrameIntervals = False
763.2746 	DATA 	Keypress: t
767.3490 	EXP 	window1: recordFrameIntervals = False
768.2201 	DATA 	Keypress: t
772.1597 	EXP 	window1: recordFrameIntervals = False
772.5120 	DATA 	Keypress: d
776.8534 	EXP 	window1: recordFrameIntervals = False
777.2892 	DATA 	Keypress: a
781.2644 	EXP 	window1: recordFrameIntervals = False
782.1002 	DATA 	Keypress: z
