experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	3 	 T1 	6 	[1, 0] 	3.0 	J 	E 	L 	C 	V 	Z 	Q 	T 	X 	G 	Y 	F 	O 	U 	B 	S 	P 	M 	W 	A 	H 	K 	I 	D 	N 	R 	G 	S 	Z 	U 	Y 	  	A 	M 	T 	Q 	O 	F 	I 	H 	N 	V 	X 	R 	J 	B 	C 	E 	D 	L 	K 	W 	0
RSVP_central_cue_between_letter_presentation 	1 	3 	 T1 	22 	[-1, 0] 	3.0 	U 	S 	T 	B 	I 	J 	M 	Z 	P 	D 	L 	O 	K 	C 	N 	F 	G 	Y 	V 	R 	Q 	E 	W 	A 	X 	H 	C 	R 	I 	Q 	W 	L 	X 	A 	B 	K 	Y 	H 	S 	O 	N 	F 	U 	E 	J 	M 	D 	  	V 	Z 	T 	G 	0
RSVP_central_cue_between_letter_presentation 	2 	3 	 T1 	10 	[1, 0] 	3.0 	H 	I 	S 	J 	C 	E 	R 	G 	U 	Q 	A 	D 	N 	X 	M 	P 	Z 	W 	B 	Y 	F 	V 	O 	K 	T 	L 	H 	E 	T 	M 	N 	W 	L 	X 	V 	  	Z 	I 	O 	Q 	A 	F 	D 	U 	B 	S 	C 	J 	Y 	P 	K 	G 	0
RSVP_central_cue_between_letter_presentation 	3 	3 	 T1 	10 	[-1, 0] 	10.0 	N 	S 	H 	I 	X 	R 	T 	Z 	Q 	G 	P 	Y 	V 	E 	W 	O 	J 	A 	B 	C 	D 	L 	K 	M 	U 	F 	M 	Z 	H 	G 	K 	S 	Q 	B 	X 	  	T 	E 	C 	J 	O 	A 	W 	D 	P 	L 	I 	V 	N 	R 	F 	U 	0
RSVP_central_cue_between_letter_presentation 	4 	3 	 T1 	10 	[1, 0] 	10.0 	O 	L 	D 	T 	U 	I 	F 	E 	X 	G 	B 	V 	W 	C 	H 	Y 	N 	Q 	J 	Z 	A 	M 	K 	S 	R 	P 	J 	P 	B 	Z 	Q 	S 	H 	I 	G 	  	E 	U 	T 	Y 	W 	O 	V 	K 	X 	R 	C 	M 	N 	D 	A 	F 	0
RSVP_central_cue_between_letter_presentation 	5 	3 	 T1 	14 	[-1, 0] 	3.0 	M 	P 	C 	J 	B 	G 	Z 	D 	W 	O 	V 	Y 	E 	H 	Q 	R 	L 	F 	S 	K 	X 	T 	I 	A 	N 	U 	U 	Q 	S 	B 	F 	Z 	P 	J 	H 	V 	W 	T 	K 	  	Y 	E 	I 	A 	X 	N 	M 	C 	R 	L 	D 	G 	0
RSVP_central_cue_between_letter_presentation 	6 	3 	 T1 	14 	[1, 0] 	10.0 	X 	R 	A 	W 	V 	J 	F 	T 	S 	M 	L 	N 	B 	H 	U 	O 	Z 	Q 	K 	P 	D 	Y 	C 	G 	E 	I 	F 	J 	N 	V 	P 	G 	T 	I 	X 	A 	C 	D 	K 	  	E 	R 	H 	U 	S 	L 	Z 	W 	O 	B 	Y 	Q 	0
RSVP_central_cue_between_letter_presentation 	7 	3 	 T1 	6 	[-1, 0] 	3.0 	S 	T 	V 	F 	X 	R 	H 	P 	Z 	B 	U 	Y 	K 	I 	W 	M 	L 	J 	N 	E 	D 	A 	G 	O 	C 	Q 	H 	G 	U 	B 	Q 	  	F 	N 	C 	R 	I 	K 	D 	T 	A 	Z 	V 	E 	X 	M 	J 	S 	L 	O 	P 	W 	0
RSVP_central_cue_between_letter_presentation 	8 	3 	 T1 	22 	[-1, 0] 	10.0 	J 	D 	I 	V 	B 	N 	E 	T 	F 	R 	O 	Q 	S 	C 	P 	K 	G 	U 	Z 	X 	L 	W 	Y 	H 	A 	M 	V 	T 	C 	L 	S 	F 	E 	M 	D 	W 	B 	R 	P 	I 	Q 	G 	H 	O 	A 	Z 	J 	  	U 	K 	N 	Y 	0
RSVP_central_cue_between_letter_presentation 	9 	3 	 T1 	6 	[-1, 0] 	10.0 	U 	W 	V 	F 	E 	K 	T 	C 	D 	L 	Q 	H 	X 	J 	S 	O 	Z 	G 	A 	P 	N 	I 	Y 	B 	M 	R 	L 	I 	A 	B 	V 	  	H 	E 	U 	R 	K 	Q 	O 	P 	F 	Y 	D 	Z 	X 	S 	T 	M 	G 	C 	W 	N 	0
RSVP_central_cue_between_letter_presentation 	10 	3 	 T1 	22 	[1, 0] 	3.0 	I 	V 	R 	S 	T 	Q 	E 	F 	C 	B 	J 	X 	M 	D 	A 	Y 	W 	K 	H 	U 	O 	G 	L 	P 	Z 	N 	U 	T 	F 	Q 	R 	A 	J 	C 	N 	Y 	B 	Z 	W 	I 	P 	G 	D 	E 	L 	M 	V 	  	X 	K 	H 	O 	0
RSVP_central_cue_between_letter_presentation 	11 	3 	 T1 	6 	[1, 0] 	3.0 	C 	H 	B 	O 	P 	K 	W 	F 	G 	M 	E 	Q 	T 	R 	U 	N 	Z 	V 	I 	Y 	A 	L 	S 	D 	X 	J 	O 	Y 	B 	Q 	U 	  	Z 	M 	G 	X 	F 	C 	J 	W 	D 	S 	R 	I 	E 	A 	P 	K 	T 	N 	V 	L 	0
RSVP_central_cue_between_letter_presentation 	12 	3 	 T1 	14 	[-1, 0] 	10.0 	C 	R 	A 	Y 	F 	N 	D 	J 	T 	U 	Z 	P 	W 	I 	M 	Q 	K 	V 	E 	B 	H 	O 	X 	S 	G 	L 	K 	I 	S 	H 	Q 	D 	V 	M 	J 	U 	C 	E 	O 	  	B 	Z 	X 	A 	T 	L 	R 	Y 	G 	P 	F 	W 	0
RSVP_central_cue_between_letter_presentation 	13 	3 	 T1 	14 	[-1, 0] 	3.0 	G 	W 	X 	I 	M 	P 	U 	H 	Q 	B 	A 	L 	T 	J 	E 	O 	C 	V 	S 	K 	F 	N 	D 	Z 	R 	Y 	F 	P 	Z 	O 	N 	M 	B 	Y 	X 	C 	L 	T 	R 	  	W 	A 	Q 	H 	V 	U 	E 	G 	K 	S 	I 	D 	0
RSVP_central_cue_between_letter_presentation 	14 	3 	 T1 	22 	[1, 0] 	10.0 	M 	L 	A 	V 	Y 	T 	B 	X 	G 	S 	E 	Z 	I 	H 	J 	R 	D 	U 	O 	C 	K 	W 	F 	Q 	N 	P 	T 	S 	Z 	P 	X 	W 	R 	G 	O 	J 	B 	K 	L 	U 	C 	M 	N 	A 	H 	I 	Y 	  	D 	V 	E 	F 	0
RSVP_central_cue_between_letter_presentation 	15 	3 	 T1 	14 	[-1, 0] 	3.0 	I 	R 	S 	K 	N 	A 	X 	U 	G 	Y 	T 	W 	O 	E 	B 	Q 	V 	D 	M 	H 	J 	L 	P 	C 	F 	Z 	N 	V 	G 	P 	H 	S 	Z 	R 	J 	C 	Q 	U 	L 	  	W 	O 	B 	X 	Y 	E 	D 	F 	I 	M 	T 	A 	1
RSVP_central_cue_between_letter_presentation 	16 	3 	 T1 	22 	[1, 0] 	10.0 	Q 	H 	O 	V 	W 	S 	B 	Z 	X 	P 	C 	L 	I 	E 	J 	U 	K 	F 	Y 	T 	N 	A 	R 	M 	G 	D 	M 	G 	D 	P 	W 	R 	L 	Y 	Q 	I 	T 	S 	E 	V 	H 	Z 	N 	X 	J 	O 	B 	  	U 	F 	C 	K 	0
