experimentPhase,trialnum,subject,task,answerPos0,ltrSpatialPos1,ltrEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_central_cue_between_letter_presentation ,0 ,6 , T1 ,6 ,"[1, 0] ",10.0 ,P ,K ,B ,D ,C ,R ,Q ,Y ,Z ,A ,N ,X ,T ,G ,M ,I ,U ,S ,J ,E ,O ,H ,L ,W ,F ,V ,Z ,S ,G ,Q ,W ,  ,O ,I ,R ,K ,P ,L ,N ,U ,H ,D ,T ,C ,A ,V ,E ,J ,Y ,X ,F ,M ,0
RSVP_central_cue_between_letter_presentation ,1 ,6 , T1 ,22 ,"[1, 0] ",3.0 ,D ,V ,K ,B ,E ,Y ,F ,J ,X ,U ,I ,Z ,P ,G ,A ,O ,M ,C ,R ,S ,W ,Q ,L ,N ,T ,H ,Z ,A ,S ,F ,D ,X ,H ,Y ,N ,P ,O ,L ,V ,E ,B ,M ,I ,K ,C ,T ,G ,  ,Q ,R ,J ,W ,0
RSVP_central_cue_between_letter_presentation ,2 ,6 , T1 ,14 ,"[1, 0] ",10.0 ,V ,W ,C ,N ,Q ,P ,R ,X ,A ,Y ,I ,Z ,H ,G ,L ,J ,D ,M ,K ,F ,O ,T ,S ,B ,U ,E ,Z ,G ,C ,S ,O ,H ,F ,N ,X ,W ,L ,I ,D ,  ,Y ,A ,B ,K ,J ,E ,V ,P ,U ,T ,M ,R ,0
RSVP_central_cue_between_letter_presentation ,3 ,6 , T1 ,6 ,"[-1, 0] ",3.0 ,A ,Z ,L ,R ,M ,E ,F ,C ,P ,T ,H ,K ,W ,V ,I ,Y ,B ,J ,X ,N ,S ,Q ,D ,U ,O ,G ,D ,V ,P ,T ,Y ,  ,O ,H ,N ,I ,G ,J ,M ,F ,U ,Z ,Q ,L ,E ,K ,W ,S ,X ,A ,B ,R ,0
RSVP_central_cue_between_letter_presentation ,4 ,6 , T1 ,22 ,"[1, 0] ",10.0 ,Y ,H ,S ,M ,P ,F ,C ,N ,R ,B ,I ,Q ,U ,G ,A ,K ,E ,D ,V ,Z ,X ,T ,J ,W ,L ,O ,T ,J ,X ,U ,K ,Z ,Y ,I ,V ,N ,S ,L ,Q ,D ,A ,W ,M ,P ,C ,G ,R ,  ,B ,O ,E ,H ,0
RSVP_central_cue_between_letter_presentation ,5 ,6 , T1 ,14 ,"[-1, 0] ",10.0 ,U ,Y ,F ,P ,S ,R ,I ,W ,V ,H ,A ,G ,T ,K ,L ,D ,B ,O ,M ,C ,Z ,E ,X ,N ,J ,Q ,K ,S ,T ,W ,U ,E ,J ,F ,D ,C ,I ,H ,B ,  ,O ,N ,X ,V ,L ,Z ,Q ,M ,P ,Y ,G ,R ,0
RSVP_central_cue_between_letter_presentation ,6 ,6 , T1 ,6 ,"[-1, 0] ",10.0 ,L ,F ,J ,Q ,S ,Z ,X ,N ,G ,V ,A ,K ,D ,P ,M ,U ,E ,T ,C ,H ,B ,R ,Y ,I ,W ,O ,X ,I ,Y ,B ,T ,  ,U ,R ,N ,F ,W ,P ,J ,E ,L ,M ,Q ,Z ,C ,A ,G ,V ,D ,K ,S ,O ,0
RSVP_central_cue_between_letter_presentation ,7 ,6 , T1 ,10 ,"[-1, 0] ",10.0 ,F ,T ,B ,I ,Z ,L ,D ,N ,M ,J ,S ,V ,Q ,C ,X ,H ,Y ,A ,W ,O ,P ,G ,R ,K ,U ,E ,G ,W ,R ,F ,D ,J ,N ,O ,I ,  ,K ,L ,C ,S ,U ,Y ,H ,E ,Q ,P ,A ,V ,T ,B ,Z ,X ,0
RSVP_central_cue_between_letter_presentation ,8 ,6 , T1 ,18 ,"[-1, 0] ",3.0 ,C ,W ,J ,D ,L ,T ,K ,F ,M ,U ,X ,Z ,R ,E ,H ,G ,V ,Q ,B ,Y ,A ,I ,N ,P ,S ,O ,M ,K ,L ,D ,P ,I ,S ,Q ,C ,N ,R ,O ,H ,F ,E ,W ,G ,  ,B ,A ,Z ,T ,V ,J ,X ,Y ,0
RSVP_central_cue_between_letter_presentation ,9 ,6 , T1 ,10 ,"[1, 0] ",3.0 ,I ,K ,C ,W ,F ,Q ,H ,D ,U ,E ,X ,Z ,V ,Y ,G ,B ,L ,J ,M ,R ,O ,T ,P ,N ,A ,S ,M ,L ,X ,C ,E ,G ,D ,S ,T ,  ,W ,P ,O ,H ,K ,Y ,B ,A ,U ,Q ,V ,F ,I ,N ,J ,R ,0
