experimentPhase	trialnum	subject	task	answerPos0	ltrSpatialPos1	ltrEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_central_cue_between_letter_presentation 	0 	Adi 	 T1 	10 	[1, 0] 	3.0 	K 	J 	I 	L 	N 	E 	H 	X 	Y 	R 	S 	T 	F 	P 	Z 	Q 	W 	B 	U 	G 	V 	C 	D 	M 	A 	O 	T 	N 	I 	S 	X 	J 	W 	M 	V 	  	Y 	R 	H 	P 	Q 	K 	O 	E 	A 	F 	B 	D 	Z 	U 	C 	L 	0
RSVP_central_cue_between_letter_presentation 	1 	Adi 	 T1 	6 	[1, 0] 	3.0 	F 	B 	D 	L 	W 	U 	Z 	T 	E 	Y 	C 	X 	O 	R 	A 	V 	S 	H 	P 	Q 	N 	G 	I 	M 	J 	K 	H 	B 	W 	I 	U 	  	K 	Q 	D 	P 	E 	Y 	R 	J 	L 	Z 	A 	X 	V 	M 	C 	T 	S 	G 	F 	O 	0
RSVP_central_cue_between_letter_presentation 	2 	Adi 	 T1 	18 	[-1, 0] 	3.0 	T 	L 	U 	C 	P 	I 	M 	B 	X 	Y 	Q 	V 	N 	F 	G 	R 	K 	Z 	E 	S 	H 	W 	O 	J 	A 	D 	G 	I 	S 	Z 	M 	J 	C 	Q 	X 	H 	W 	U 	A 	N 	V 	Y 	B 	  	F 	E 	P 	O 	R 	T 	L 	D 	0
RSVP_central_cue_between_letter_presentation 	3 	Adi 	 T1 	14 	[-1, 0] 	3.0 	Y 	Z 	F 	H 	K 	R 	J 	Q 	V 	N 	M 	X 	B 	W 	U 	C 	T 	D 	G 	P 	S 	A 	L 	O 	E 	I 	X 	E 	R 	J 	I 	C 	K 	S 	T 	B 	W 	D 	V 	  	L 	G 	O 	P 	Q 	Y 	N 	F 	M 	A 	Z 	U 	0
RSVP_central_cue_between_letter_presentation 	4 	Adi 	 T1 	6 	[-1, 0] 	3.0 	E 	V 	G 	A 	T 	P 	J 	R 	N 	M 	S 	U 	H 	W 	D 	F 	O 	X 	Z 	I 	C 	K 	L 	Y 	Q 	B 	Y 	C 	P 	J 	X 	  	U 	E 	R 	H 	T 	B 	V 	F 	K 	A 	L 	I 	M 	Z 	S 	G 	O 	Q 	N 	W 	0
RSVP_central_cue_between_letter_presentation 	5 	Adi 	 T1 	10 	[-1, 0] 	3.0 	M 	D 	C 	V 	B 	J 	S 	L 	P 	H 	F 	I 	U 	R 	X 	Q 	K 	T 	A 	E 	G 	W 	Z 	N 	O 	Y 	V 	Q 	Y 	C 	A 	L 	O 	P 	G 	  	B 	M 	S 	I 	J 	U 	D 	E 	Z 	T 	W 	X 	N 	R 	F 	H 	0
RSVP_central_cue_between_letter_presentation 	6 	Adi 	 T1 	6 	[-1, 0] 	3.0 	C 	L 	J 	G 	Y 	F 	Q 	A 	U 	X 	D 	S 	T 	P 	R 	O 	Z 	E 	B 	H 	I 	M 	K 	N 	W 	V 	O 	J 	V 	M 	D 	  	H 	W 	C 	I 	T 	L 	E 	Z 	S 	Q 	X 	Y 	A 	U 	G 	B 	F 	R 	K 	N 	0
RSVP_central_cue_between_letter_presentation 	7 	Adi 	 T1 	22 	[-1, 0] 	10.0 	X 	H 	E 	Y 	W 	S 	V 	B 	J 	N 	D 	R 	P 	M 	Z 	C 	O 	A 	L 	I 	U 	Q 	F 	T 	G 	K 	M 	D 	A 	U 	G 	L 	W 	Q 	O 	T 	N 	Y 	S 	Z 	I 	R 	P 	X 	E 	V 	F 	  	K 	H 	B 	J 	0
RSVP_central_cue_between_letter_presentation 	8 	Adi 	 T1 	10 	[-1, 0] 	10.0 	Y 	Q 	S 	P 	A 	Z 	H 	O 	R 	E 	X 	D 	L 	U 	I 	K 	J 	F 	M 	B 	N 	V 	G 	W 	C 	T 	P 	L 	O 	J 	B 	X 	T 	R 	C 	  	Q 	N 	G 	Z 	K 	H 	A 	Y 	V 	E 	S 	U 	F 	D 	I 	W 	0
RSVP_central_cue_between_letter_presentation 	9 	Adi 	 T1 	18 	[1, 0] 	10.0 	J 	H 	A 	P 	V 	X 	C 	Z 	E 	O 	Y 	D 	F 	M 	W 	Q 	R 	N 	S 	I 	K 	B 	G 	L 	U 	T 	Q 	R 	J 	D 	H 	V 	K 	Y 	M 	N 	O 	C 	E 	S 	I 	Z 	G 	  	L 	U 	A 	P 	T 	W 	X 	F 	0
RSVP_central_cue_between_letter_presentation 	10 	Adi 	 T1 	14 	[-1, 0] 	10.0 	B 	F 	M 	Y 	T 	C 	L 	V 	H 	W 	U 	X 	D 	J 	P 	E 	Z 	G 	S 	Q 	O 	N 	K 	A 	I 	R 	V 	A 	U 	D 	X 	S 	J 	O 	E 	H 	R 	G 	Z 	  	K 	T 	B 	N 	M 	F 	L 	W 	Y 	C 	P 	I 	0
RSVP_central_cue_between_letter_presentation 	11 	Adi 	 T1 	6 	[1, 0] 	10.0 	O 	V 	S 	E 	Y 	X 	D 	T 	M 	I 	Z 	P 	N 	H 	C 	G 	Q 	R 	F 	U 	A 	W 	L 	J 	K 	B 	M 	L 	R 	Q 	K 	  	U 	X 	H 	I 	E 	A 	F 	J 	Y 	D 	T 	O 	S 	P 	N 	C 	V 	G 	Z 	B 	0
RSVP_central_cue_between_letter_presentation 	12 	Adi 	 T1 	22 	[1, 0] 	10.0 	Z 	N 	W 	O 	T 	J 	A 	G 	Y 	Q 	S 	K 	C 	U 	B 	M 	V 	F 	H 	I 	P 	L 	D 	E 	R 	X 	N 	F 	U 	I 	D 	X 	M 	A 	S 	V 	L 	Y 	K 	T 	O 	H 	E 	W 	C 	G 	R 	  	Z 	J 	P 	B 	0
RSVP_central_cue_between_letter_presentation 	13 	Adi 	 T1 	14 	[1, 0] 	10.0 	G 	Y 	P 	R 	N 	U 	J 	M 	T 	I 	E 	S 	W 	A 	C 	O 	D 	B 	Q 	L 	F 	X 	K 	V 	Z 	H 	M 	K 	Y 	B 	R 	O 	C 	L 	A 	D 	S 	Z 	I 	  	X 	W 	N 	V 	H 	T 	E 	G 	J 	Q 	F 	U 	0
RSVP_central_cue_between_letter_presentation 	14 	Adi 	 T1 	22 	[1, 0] 	3.0 	K 	U 	I 	H 	X 	Y 	Z 	N 	M 	D 	L 	S 	V 	T 	E 	W 	F 	G 	R 	B 	Q 	J 	P 	O 	A 	C 	Q 	F 	P 	L 	B 	K 	X 	S 	A 	Z 	O 	H 	N 	W 	C 	G 	J 	Y 	D 	I 	T 	  	E 	M 	R 	V 	0
RSVP_central_cue_between_letter_presentation 	15 	Adi 	 T1 	6 	[1, 0] 	10.0 	C 	X 	I 	U 	L 	O 	H 	Q 	S 	B 	D 	J 	Y 	E 	A 	F 	N 	P 	Z 	K 	W 	T 	R 	G 	V 	M 	V 	T 	C 	Z 	H 	  	Q 	W 	L 	J 	E 	X 	B 	N 	F 	R 	Y 	A 	I 	U 	P 	S 	D 	K 	O 	M 	1
RSVP_central_cue_between_letter_presentation 	16 	Adi 	 T1 	10 	[1, 0] 	10.0 	Q 	C 	I 	P 	W 	V 	M 	O 	A 	J 	H 	X 	D 	U 	R 	N 	F 	T 	K 	B 	S 	Y 	E 	Z 	G 	L 	Q 	C 	I 	Z 	B 	V 	T 	A 	D 	  	K 	H 	G 	P 	R 	S 	X 	F 	W 	N 	L 	J 	Y 	E 	O 	M 	0
