experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size 	0 	13 	 T1 	10 	[1, 0] 	3.0 	F 	M 	J 	Y 	E 	N 	U 	X 	Z 	P 	A 	W 	L 	O 	V 	T 	H 	D 	I 	K 	R 	S 	Q 	B 	C 	G 	Y 	K 	H 	V 	O 	L 	X 	I 	B 	  	U 	C 	G 	Q 	R 	A 	S 	P 	F 	T 	Z 	M 	N 	W 	E 	J 	0
RSVP_two_streams_bigger_cue_size 	1 	13 	 T1 	6 	[-1, 0] 	10.0 	X 	M 	T 	R 	V 	D 	N 	L 	E 	A 	G 	W 	F 	K 	O 	J 	I 	P 	H 	U 	Y 	C 	S 	Z 	Q 	B 	U 	M 	X 	Q 	C 	  	B 	O 	R 	Z 	F 	J 	K 	H 	V 	P 	D 	E 	Y 	L 	A 	G 	T 	I 	N 	S 	0
RSVP_two_streams_bigger_cue_size 	2 	13 	 T1 	22 	[-1, 0] 	10.0 	O 	R 	A 	Q 	S 	W 	L 	U 	T 	J 	G 	K 	X 	H 	I 	Y 	C 	P 	E 	D 	Z 	F 	M 	B 	V 	N 	J 	F 	V 	T 	O 	L 	A 	G 	B 	Z 	Q 	I 	H 	S 	E 	R 	K 	W 	U 	Y 	C 	  	N 	D 	M 	X 	0
RSVP_two_streams_bigger_cue_size 	3 	13 	 T1 	14 	[1, 0] 	3.0 	D 	C 	F 	N 	X 	Q 	Z 	S 	V 	I 	W 	U 	G 	B 	P 	E 	O 	Y 	M 	J 	K 	H 	R 	L 	A 	T 	L 	P 	W 	C 	X 	H 	Q 	D 	T 	I 	M 	N 	A 	  	B 	J 	V 	R 	Y 	G 	O 	K 	F 	U 	S 	Z 	0
RSVP_two_streams_bigger_cue_size 	4 	13 	 T1 	22 	[-1, 0] 	3.0 	L 	C 	P 	K 	O 	M 	R 	D 	U 	G 	J 	F 	X 	V 	A 	H 	Y 	N 	S 	I 	T 	E 	W 	B 	Z 	Q 	Q 	K 	F 	G 	M 	H 	S 	J 	O 	Z 	W 	I 	V 	E 	U 	D 	B 	C 	A 	X 	Y 	  	T 	P 	N 	L 	0
RSVP_two_streams_bigger_cue_size 	5 	13 	 T1 	6 	[1, 0] 	3.0 	A 	Z 	D 	O 	T 	F 	H 	L 	U 	I 	B 	K 	Q 	E 	Y 	G 	J 	P 	M 	X 	V 	N 	C 	S 	W 	R 	Y 	O 	D 	U 	V 	  	T 	L 	M 	Q 	N 	P 	W 	R 	E 	I 	J 	A 	G 	S 	H 	C 	Z 	K 	B 	F 	0
RSVP_two_streams_bigger_cue_size 	6 	13 	 T1 	18 	[1, 0] 	10.0 	B 	L 	D 	I 	U 	C 	M 	H 	W 	S 	Q 	O 	T 	V 	J 	A 	N 	R 	K 	G 	P 	Z 	E 	X 	F 	Y 	S 	C 	I 	U 	L 	X 	Y 	W 	O 	D 	E 	Z 	A 	J 	T 	V 	P 	  	R 	M 	H 	K 	Q 	F 	N 	B 	0
RSVP_two_streams_bigger_cue_size 	7 	13 	 T1 	22 	[1, 0] 	10.0 	D 	Z 	L 	H 	F 	P 	N 	U 	V 	B 	G 	Q 	Y 	C 	T 	E 	X 	J 	S 	W 	I 	R 	M 	O 	A 	K 	C 	I 	F 	R 	N 	T 	V 	X 	Y 	W 	H 	B 	G 	P 	U 	J 	K 	M 	E 	A 	Q 	  	Z 	O 	D 	L 	0
RSVP_two_streams_bigger_cue_size 	8 	13 	 T1 	6 	[-1, 0] 	10.0 	S 	Q 	D 	P 	A 	T 	V 	Y 	Z 	C 	G 	X 	J 	M 	K 	E 	W 	U 	L 	B 	R 	I 	H 	F 	N 	O 	Q 	Z 	B 	J 	H 	  	U 	Y 	E 	S 	W 	F 	V 	K 	A 	G 	T 	C 	L 	I 	M 	P 	N 	D 	X 	R 	0
RSVP_two_streams_bigger_cue_size 	9 	13 	 T1 	6 	[1, 0] 	10.0 	S 	U 	I 	D 	J 	R 	Z 	E 	B 	G 	K 	V 	Q 	L 	W 	T 	P 	X 	H 	N 	A 	M 	O 	C 	Y 	F 	H 	W 	U 	V 	R 	  	G 	J 	I 	M 	S 	F 	O 	Y 	Q 	A 	C 	T 	L 	E 	N 	Z 	D 	X 	B 	P 	0
RSVP_two_streams_bigger_cue_size 	10 	13 	 T1 	18 	[-1, 0] 	10.0 	X 	E 	W 	J 	A 	O 	N 	L 	U 	G 	M 	C 	Z 	D 	K 	F 	B 	S 	Q 	I 	Y 	R 	H 	V 	T 	P 	D 	B 	M 	H 	K 	A 	R 	U 	Y 	N 	S 	E 	X 	I 	Q 	G 	P 	  	T 	J 	W 	Z 	O 	F 	C 	V 	0
RSVP_two_streams_bigger_cue_size 	11 	13 	 T1 	18 	[1, 0] 	10.0 	K 	X 	T 	U 	W 	J 	N 	Q 	P 	F 	L 	I 	Z 	Y 	C 	S 	B 	O 	H 	E 	G 	V 	A 	R 	D 	M 	Z 	T 	O 	Y 	D 	C 	N 	R 	A 	G 	B 	M 	X 	L 	S 	I 	J 	  	E 	P 	F 	Q 	U 	V 	K 	W 	0
RSVP_two_streams_bigger_cue_size 	12 	13 	 T1 	22 	[-1, 0] 	3.0 	M 	N 	O 	D 	W 	I 	Q 	P 	R 	C 	T 	S 	B 	G 	H 	E 	F 	A 	K 	V 	L 	X 	U 	Y 	Z 	J 	V 	X 	Y 	H 	T 	O 	D 	C 	L 	N 	W 	A 	M 	Z 	U 	J 	E 	P 	B 	Q 	G 	  	S 	R 	F 	K 	0
