experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size ,0 ,5 , T1 ,14 ,"[-1, 0] ",10.0 ,P ,D ,V ,N ,Z ,H ,G ,C ,O ,K ,X ,M ,Q ,L ,B ,J ,E ,T ,W ,I ,U ,R ,S ,F ,Y ,A ,L ,X ,Y ,H ,T ,Q ,C ,K ,W ,D ,I ,Z ,U ,  ,O ,F ,E ,G ,J ,R ,S ,A ,N ,V ,B ,M ,0
RSVP_two_streams_bigger_cue_size ,1 ,5 , T1 ,10 ,"[1, 0] ",3.0 ,J ,S ,P ,L ,F ,B ,Q ,C ,I ,T ,H ,K ,U ,D ,A ,O ,Y ,R ,G ,X ,M ,Z ,E ,W ,V ,N ,V ,B ,Z ,Q ,S ,I ,G ,R ,E ,  ,L ,U ,T ,J ,H ,D ,W ,A ,Y ,M ,C ,P ,F ,O ,N ,X ,0
RSVP_two_streams_bigger_cue_size ,2 ,5 , T1 ,22 ,"[1, 0] ",10.0 ,S ,O ,E ,K ,W ,P ,M ,V ,C ,R ,L ,U ,D ,A ,B ,X ,J ,N ,G ,I ,H ,Z ,F ,Q ,Y ,T ,V ,Z ,J ,D ,W ,H ,Y ,X ,B ,E ,O ,C ,A ,T ,U ,L ,K ,M ,G ,P ,N ,  ,R ,Q ,I ,S ,0
RSVP_two_streams_bigger_cue_size ,3 ,5 , T1 ,14 ,"[1, 0] ",10.0 ,H ,I ,D ,G ,K ,X ,O ,P ,Y ,W ,Q ,V ,S ,A ,T ,R ,C ,M ,B ,U ,L ,E ,Z ,N ,J ,F ,M ,D ,Y ,N ,R ,U ,X ,Q ,W ,O ,I ,K ,A ,  ,B ,S ,Z ,F ,J ,T ,V ,C ,P ,L ,H ,G ,0
RSVP_two_streams_bigger_cue_size ,4 ,5 , T1 ,18 ,"[1, 0] ",10.0 ,B ,L ,G ,K ,N ,I ,S ,C ,P ,V ,H ,X ,M ,D ,A ,W ,U ,Z ,Y ,E ,R ,Q ,F ,J ,T ,O ,Q ,P ,U ,T ,Z ,S ,W ,A ,C ,V ,F ,O ,H ,Y ,K ,J ,M ,  ,B ,G ,L ,I ,R ,E ,N ,D ,0
RSVP_two_streams_bigger_cue_size ,5 ,5 , T1 ,22 ,"[1, 0] ",3.0 ,O ,S ,U ,Y ,J ,M ,I ,A ,P ,V ,Q ,T ,F ,D ,E ,R ,G ,N ,K ,B ,Z ,C ,L ,H ,X ,W ,S ,C ,M ,B ,X ,N ,R ,K ,O ,H ,L ,D ,W ,I ,T ,E ,Q ,U ,Y ,Z ,F ,  ,P ,J ,A ,V ,0
RSVP_two_streams_bigger_cue_size ,6 ,5 , T1 ,14 ,"[1, 0] ",3.0 ,O ,A ,R ,J ,D ,N ,V ,S ,T ,P ,X ,Z ,C ,Q ,F ,B ,G ,E ,K ,L ,U ,W ,I ,M ,H ,Y ,I ,O ,C ,N ,L ,K ,R ,G ,W ,A ,Q ,M ,X ,  ,F ,E ,Z ,Y ,J ,U ,D ,T ,H ,B ,P ,S ,0
RSVP_two_streams_bigger_cue_size ,7 ,5 , T1 ,22 ,"[1, 0] ",3.0 ,D ,L ,C ,Q ,N ,F ,M ,O ,T ,H ,G ,E ,B ,X ,V ,Y ,W ,U ,K ,A ,I ,S ,J ,R ,Z ,P ,Q ,U ,G ,M ,F ,E ,W ,H ,Y ,R ,Z ,P ,A ,J ,I ,V ,S ,X ,D ,B ,O ,  ,C ,N ,T ,L ,0
RSVP_two_streams_bigger_cue_size ,8 ,5 , T1 ,10 ,"[1, 0] ",10.0 ,M ,B ,T ,U ,V ,H ,F ,D ,Q ,X ,S ,K ,A ,W ,O ,Y ,J ,N ,R ,C ,E ,G ,L ,Z ,I ,P ,B ,P ,Z ,M ,E ,F ,T ,U ,V ,  ,X ,N ,K ,J ,R ,L ,G ,W ,Y ,I ,S ,D ,O ,C ,A ,Q ,0
RSVP_two_streams_bigger_cue_size ,9 ,5 , T1 ,22 ,"[-1, 0] ",10.0 ,N ,U ,X ,J ,H ,E ,Z ,A ,R ,G ,I ,F ,W ,P ,C ,O ,B ,Y ,D ,S ,T ,Q ,M ,L ,V ,K ,K ,G ,S ,O ,L ,A ,I ,F ,U ,N ,T ,M ,R ,P ,C ,Q ,B ,J ,D ,Y ,E ,  ,V ,Z ,W ,X ,0
