experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size ,0 ,Adi , T1 ,6 ,"[-1, 0] ",10.0 ,R ,W ,L ,U ,Z ,A ,V ,E ,J ,X ,M ,N ,H ,O ,F ,T ,Y ,S ,P ,C ,B ,K ,D ,G ,Q ,I ,R ,D ,N ,U ,W ,  ,Y ,O ,M ,T ,B ,A ,X ,K ,C ,G ,J ,V ,L ,F ,Z ,I ,S ,Q ,P ,E ,0
RSVP_two_streams_bigger_cue_size ,1 ,Adi , T1 ,10 ,"[1, 0] ",10.0 ,T ,V ,Z ,R ,J ,N ,H ,U ,C ,X ,P ,D ,E ,B ,Q ,L ,K ,S ,F ,M ,I ,O ,W ,A ,Y ,G ,P ,N ,Z ,Y ,G ,S ,B ,W ,X ,  ,D ,E ,V ,K ,U ,A ,I ,H ,Q ,F ,C ,R ,L ,O ,T ,J ,0
RSVP_two_streams_bigger_cue_size ,2 ,Adi , T1 ,18 ,"[-1, 0] ",3.0 ,K ,T ,A ,N ,U ,W ,X ,G ,S ,B ,F ,I ,Q ,H ,J ,D ,Z ,R ,O ,Y ,V ,E ,C ,M ,L ,P ,C ,U ,F ,R ,A ,K ,S ,J ,Y ,T ,Q ,B ,W ,N ,X ,Z ,E ,  ,D ,P ,V ,O ,G ,I ,L ,M ,0
RSVP_two_streams_bigger_cue_size ,3 ,Adi , T1 ,22 ,"[-1, 0] ",3.0 ,X ,D ,Q ,P ,E ,H ,U ,B ,K ,A ,V ,L ,S ,W ,O ,M ,J ,G ,Y ,T ,Z ,N ,F ,C ,R ,I ,B ,S ,M ,X ,N ,Y ,R ,G ,E ,Q ,L ,Z ,V ,K ,T ,A ,O ,U ,F ,W ,J ,  ,P ,I ,C ,D ,0
RSVP_two_streams_bigger_cue_size ,4 ,Adi , T1 ,18 ,"[1, 0] ",10.0 ,V ,U ,P ,G ,C ,X ,Q ,K ,M ,N ,E ,Z ,S ,T ,Y ,F ,A ,I ,W ,O ,L ,J ,B ,R ,H ,D ,F ,X ,Y ,G ,K ,B ,V ,W ,T ,J ,C ,O ,I ,D ,A ,L ,E ,  ,Z ,S ,R ,U ,H ,N ,Q ,P ,0
RSVP_two_streams_bigger_cue_size ,5 ,Adi , T1 ,18 ,"[1, 0] ",3.0 ,B ,U ,I ,Y ,Q ,M ,D ,V ,Z ,C ,F ,S ,T ,J ,R ,N ,H ,W ,P ,E ,G ,O ,X ,A ,L ,K ,P ,K ,S ,H ,W ,R ,Y ,Z ,C ,B ,J ,T ,X ,A ,O ,V ,F ,  ,I ,G ,Q ,M ,E ,D ,L ,U ,0
RSVP_two_streams_bigger_cue_size ,6 ,Adi , T1 ,14 ,"[-1, 0] ",10.0 ,B ,K ,G ,X ,U ,S ,D ,I ,J ,N ,A ,M ,P ,H ,F ,R ,Y ,T ,E ,O ,L ,V ,W ,C ,Z ,Q ,W ,R ,F ,Y ,S ,I ,A ,U ,M ,H ,Q ,L ,D ,  ,Z ,T ,X ,P ,K ,E ,O ,B ,G ,N ,J ,V ,0
RSVP_two_streams_bigger_cue_size ,7 ,Adi , T1 ,10 ,"[-1, 0] ",10.0 ,R ,I ,V ,F ,K ,U ,N ,W ,Q ,G ,M ,T ,O ,E ,Y ,B ,H ,S ,L ,D ,J ,X ,C ,A ,P ,Z ,G ,X ,C ,J ,S ,A ,R ,I ,Y ,  ,D ,Q ,V ,M ,U ,B ,W ,F ,K ,E ,P ,T ,N ,L ,H ,Z ,0
RSVP_two_streams_bigger_cue_size ,8 ,Adi , T1 ,14 ,"[-1, 0] ",3.0 ,L ,W ,K ,O ,N ,T ,A ,Q ,D ,B ,G ,E ,H ,X ,Y ,J ,F ,M ,R ,P ,Z ,C ,I ,U ,S ,V ,M ,D ,B ,P ,L ,S ,T ,I ,Z ,O ,Q ,J ,H ,  ,V ,Y ,W ,F ,N ,C ,K ,E ,X ,U ,A ,R ,0
RSVP_two_streams_bigger_cue_size ,9 ,Adi , T1 ,22 ,"[1, 0] ",3.0 ,G ,S ,C ,D ,N ,U ,T ,H ,O ,W ,X ,I ,F ,B ,A ,P ,Q ,E ,Y ,V ,M ,K ,L ,Z ,R ,J ,Y ,S ,X ,U ,D ,V ,K ,L ,I ,N ,Z ,T ,C ,Q ,B ,R ,H ,E ,G ,F ,M ,  ,O ,W ,J ,P ,0
