experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size_different_rates ,0 ,1 , T1 ,11 ,"[1, 0] ",10.0 ,D ,U ,K ,B ,V ,Q ,J ,T ,X ,N ,F ,L ,A ,P ,H ,R ,I ,O ,G ,C ,W ,Y ,Z ,S ,M ,E ,C ,  ,Q ,  ,I ,  ,P ,  ,X ,  ,cue ,  ,U ,  ,G ,  ,D ,  ,J ,  ,R ,  ,T ,  ,L ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,1 ,1 , T1 ,15 ,"[1, 0] ",3.0 ,E ,U ,N ,Z ,R ,K ,D ,O ,F ,C ,A ,W ,I ,T ,V ,X ,S ,G ,J ,L ,B ,H ,Y ,M ,Q ,P ,W ,  ,O ,  ,D ,  ,H ,  ,R ,  ,T ,  ,K ,  ,cue ,  ,I ,  ,M ,  ,P ,  ,E ,  ,A ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,2 ,1 , T1 ,15 ,"[-1, 0] ",3.0 ,J ,E ,S ,L ,H ,M ,V ,R ,N ,U ,F ,C ,P ,G ,K ,B ,Q ,T ,W ,Y ,A ,O ,D ,X ,Z ,I ,T ,  ,C ,  ,J ,  ,F ,  ,E ,  ,Y ,  ,A ,  ,cue ,  ,R ,  ,H ,  ,I ,  ,U ,  ,M ,  ,1
RSVP_two_streams_bigger_cue_size_different_rates ,3 ,1 , T1 ,15 ,"[1, 0] ",10.0 ,U ,R ,O ,L ,Q ,S ,W ,A ,P ,N ,B ,D ,C ,T ,X ,G ,Y ,V ,J ,H ,K ,I ,Z ,E ,F ,M ,C ,  ,D ,  ,B ,  ,G ,  ,T ,  ,I ,  ,O ,  ,cue ,  ,L ,  ,J ,  ,M ,  ,S ,  ,R ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,4 ,1 , T1 ,11 ,"[-1, 0] ",10.0 ,V ,E ,D ,J ,A ,W ,G ,L ,H ,Z ,P ,O ,T ,B ,N ,M ,F ,U ,R ,Y ,X ,S ,K ,C ,I ,Q ,X ,  ,D ,  ,Z ,  ,N ,  ,L ,  ,cue ,  ,C ,  ,P ,  ,W ,  ,S ,  ,K ,  ,B ,  ,O ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,5 ,1 , T1 ,7 ,"[1, 0] ",3.0 ,X ,J ,L ,N ,V ,R ,H ,Q ,C ,E ,O ,M ,G ,Y ,B ,T ,P ,Z ,I ,F ,S ,W ,K ,D ,A ,U ,U ,  ,Q ,  ,X ,  ,cue ,  ,O ,  ,Z ,  ,Y ,  ,H ,  ,E ,  ,N ,  ,G ,  ,P ,  ,V ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,6 ,1 , T1 ,7 ,"[1, 0] ",10.0 ,I ,G ,V ,Q ,T ,B ,Y ,R ,S ,X ,A ,W ,K ,N ,H ,J ,D ,P ,O ,Z ,U ,E ,L ,F ,C ,M ,S ,  ,D ,  ,L ,  ,cue ,  ,Y ,  ,C ,  ,R ,  ,E ,  ,H ,  ,K ,  ,T ,  ,O ,  ,P ,  ,2
RSVP_two_streams_bigger_cue_size_different_rates ,7 ,1 , T1 ,11 ,"[1, 0] ",3.0 ,T ,O ,I ,S ,Q ,B ,U ,R ,A ,H ,Z ,F ,P ,D ,W ,C ,L ,N ,G ,M ,X ,K ,J ,V ,E ,Y ,K ,  ,D ,  ,P ,  ,Z ,  ,U ,  ,cue ,  ,H ,  ,Q ,  ,M ,  ,Y ,  ,T ,  ,L ,  ,B ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,8 ,1 , T1 ,19 ,"[1, 0] ",10.0 ,R ,D ,Q ,C ,G ,M ,V ,B ,K ,P ,O ,J ,X ,I ,U ,L ,A ,N ,H ,Z ,W ,E ,T ,F ,Y ,S ,U ,  ,R ,  ,D ,  ,C ,  ,W ,  ,V ,  ,Z ,  ,F ,  ,N ,  ,cue ,  ,S ,  ,M ,  ,I ,  ,0
RSVP_two_streams_bigger_cue_size_different_rates ,9 ,1 , T1 ,23 ,"[-1, 0] ",10.0 ,J ,A ,F ,D ,Y ,P ,X ,E ,Q ,M ,G ,I ,N ,S ,T ,K ,L ,C ,O ,V ,U ,W ,Z ,R ,B ,H ,H ,  ,K ,  ,C ,  ,W ,  ,G ,  ,T ,  ,N ,  ,S ,  ,D ,  ,F ,  ,L ,  ,cue ,  ,X ,  ,0
