experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size_different_rates 	0 	8 	 T1 	15 	[1, 0] 	3.0 	D 	G 	Q 	W 	O 	I 	R 	Y 	P 	V 	M 	A 	U 	Z 	L 	F 	E 	H 	K 	B 	J 	C 	X 	N 	T 	S 	G 	  	Z 	  	N 	  	R 	  	A 	  	U 	  	Y 	  	cue 	  	T 	  	P 	  	O 	  	H 	  	W 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	1 	8 	 T1 	7 	[-1, 0] 	3.0 	Y 	M 	V 	F 	S 	K 	J 	O 	C 	T 	Q 	L 	E 	R 	G 	B 	H 	N 	Z 	A 	U 	X 	D 	P 	I 	W 	J 	  	M 	  	P 	  	cue 	  	W 	  	Z 	  	U 	  	Y 	  	V 	  	N 	  	Q 	  	K 	  	X 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	2 	8 	 T1 	15 	[-1, 0] 	3.0 	S 	W 	R 	Q 	F 	G 	A 	U 	T 	C 	O 	D 	K 	M 	E 	X 	I 	H 	Y 	V 	P 	J 	B 	Z 	N 	L 	H 	  	P 	  	F 	  	M 	  	E 	  	N 	  	I 	  	cue 	  	X 	  	B 	  	Q 	  	C 	  	A 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	3 	8 	 T1 	19 	[-1, 0] 	10.0 	C 	D 	E 	S 	M 	O 	R 	A 	Z 	F 	K 	L 	Q 	X 	V 	Y 	P 	B 	U 	N 	W 	I 	T 	H 	J 	G 	I 	  	A 	  	Z 	  	L 	  	C 	  	J 	  	K 	  	M 	  	Q 	  	cue 	  	N 	  	F 	  	U 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	4 	8 	 T1 	11 	[1, 0] 	10.0 	X 	I 	B 	C 	L 	O 	U 	P 	F 	D 	G 	N 	T 	V 	E 	A 	R 	K 	M 	Q 	W 	Y 	Z 	S 	H 	J 	A 	  	T 	  	M 	  	P 	  	K 	  	cue 	  	W 	  	I 	  	H 	  	S 	  	X 	  	C 	  	U 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	5 	8 	 T1 	23 	[-1, 0] 	10.0 	S 	V 	Y 	Z 	H 	F 	G 	W 	J 	I 	A 	N 	O 	K 	Q 	B 	E 	X 	U 	R 	T 	L 	M 	D 	C 	P 	F 	  	H 	  	Z 	  	R 	  	S 	  	I 	  	C 	  	K 	  	W 	  	X 	  	G 	  	cue 	  	B 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	6 	8 	 T1 	23 	[1, 0] 	10.0 	V 	H 	U 	S 	L 	G 	T 	R 	K 	P 	O 	Z 	B 	A 	F 	J 	E 	Y 	M 	C 	I 	N 	X 	Q 	D 	W 	Y 	  	P 	  	K 	  	H 	  	J 	  	F 	  	A 	  	M 	  	G 	  	W 	  	O 	  	cue 	  	D 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	7 	8 	 T1 	19 	[1, 0] 	3.0 	J 	K 	C 	D 	X 	W 	I 	P 	G 	F 	B 	Z 	E 	M 	Y 	Q 	R 	V 	O 	H 	T 	N 	S 	L 	A 	U 	G 	  	R 	  	V 	  	Z 	  	J 	  	D 	  	B 	  	O 	  	M 	  	cue 	  	P 	  	N 	  	C 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	8 	8 	 T1 	11 	[-1, 0] 	10.0 	L 	Q 	W 	N 	H 	D 	I 	R 	Y 	M 	G 	J 	K 	V 	O 	A 	T 	F 	X 	S 	B 	P 	C 	Z 	E 	U 	Y 	  	D 	  	O 	  	S 	  	P 	  	cue 	  	G 	  	U 	  	R 	  	W 	  	N 	  	A 	  	K 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	9 	8 	 T1 	23 	[1, 0] 	3.0 	V 	W 	K 	C 	D 	O 	A 	R 	H 	E 	J 	P 	U 	X 	L 	S 	I 	Z 	B 	N 	T 	Y 	F 	M 	G 	Q 	P 	  	E 	  	H 	  	L 	  	R 	  	N 	  	K 	  	G 	  	S 	  	Q 	  	V 	  	cue 	  	M 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	10 	8 	 T1 	19 	[1, 0] 	3.0 	T 	D 	Q 	K 	J 	I 	S 	O 	Y 	C 	F 	V 	P 	G 	B 	E 	Z 	R 	W 	U 	M 	A 	L 	H 	X 	N 	V 	  	H 	  	I 	  	Q 	  	T 	  	L 	  	A 	  	K 	  	S 	  	cue 	  	B 	  	G 	  	Z 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	11 	8 	 T1 	15 	[1, 0] 	3.0 	B 	N 	M 	L 	X 	R 	V 	W 	J 	D 	H 	Q 	E 	U 	I 	Y 	C 	T 	P 	A 	K 	O 	G 	Z 	F 	S 	M 	  	L 	  	N 	  	H 	  	A 	  	Z 	  	O 	  	cue 	  	B 	  	D 	  	C 	  	T 	  	K 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	12 	8 	 T1 	11 	[1, 0] 	10.0 	Q 	F 	Z 	V 	R 	A 	J 	M 	N 	T 	D 	G 	K 	W 	B 	E 	X 	U 	H 	O 	P 	C 	Y 	L 	S 	I 	Z 	  	J 	  	H 	  	Q 	  	I 	  	cue 	  	N 	  	K 	  	F 	  	O 	  	W 	  	V 	  	E 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	13 	8 	 T1 	11 	[-1, 0] 	10.0 	N 	Z 	C 	U 	O 	A 	Y 	Q 	G 	M 	E 	X 	F 	I 	T 	L 	V 	P 	H 	K 	R 	B 	S 	J 	D 	W 	I 	  	C 	  	U 	  	F 	  	V 	  	cue 	  	Z 	  	Q 	  	H 	  	E 	  	D 	  	T 	  	S 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	14 	8 	 T1 	15 	[-1, 0] 	10.0 	X 	O 	R 	V 	A 	T 	Y 	F 	S 	L 	P 	E 	C 	G 	W 	J 	H 	K 	N 	Z 	Q 	B 	I 	U 	D 	M 	P 	  	E 	  	C 	  	Y 	  	K 	  	S 	  	Z 	  	cue 	  	Q 	  	V 	  	J 	  	A 	  	M 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	15 	8 	 T1 	23 	[1, 0] 	10.0 	J 	A 	H 	X 	C 	L 	M 	E 	G 	T 	B 	Q 	P 	N 	S 	Y 	R 	K 	F 	W 	O 	I 	Z 	D 	V 	U 	F 	  	C 	  	A 	  	R 	  	L 	  	B 	  	U 	  	Z 	  	D 	  	S 	  	P 	  	cue 	  	Q 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	16 	8 	 T1 	11 	[1, 0] 	10.0 	J 	F 	K 	R 	X 	T 	M 	S 	L 	B 	Z 	U 	W 	N 	H 	Q 	Y 	V 	G 	O 	P 	C 	D 	I 	E 	A 	X 	  	J 	  	G 	  	W 	  	M 	  	cue 	  	Z 	  	P 	  	O 	  	T 	  	S 	  	V 	  	U 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	17 	8 	 T1 	7 	[-1, 0] 	10.0 	K 	V 	G 	E 	L 	T 	C 	W 	R 	Q 	Y 	J 	I 	Z 	N 	F 	O 	A 	H 	U 	D 	B 	X 	P 	M 	S 	W 	  	Q 	  	C 	  	cue 	  	T 	  	K 	  	P 	  	B 	  	Z 	  	R 	  	D 	  	J 	  	H 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	18 	8 	 T1 	19 	[1, 0] 	3.0 	U 	J 	I 	D 	A 	K 	B 	Q 	L 	W 	G 	E 	P 	V 	O 	S 	T 	N 	R 	M 	C 	Y 	F 	X 	Z 	H 	S 	  	E 	  	D 	  	I 	  	V 	  	Z 	  	L 	  	T 	  	Q 	  	cue 	  	R 	  	P 	  	N 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	19 	8 	 T1 	19 	[1, 0] 	3.0 	L 	G 	H 	D 	Z 	M 	X 	Y 	I 	J 	N 	R 	V 	S 	O 	P 	K 	E 	W 	T 	Q 	B 	F 	U 	A 	C 	T 	  	U 	  	M 	  	V 	  	K 	  	P 	  	D 	  	G 	  	J 	  	cue 	  	I 	  	Q 	  	X 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	20 	8 	 T1 	7 	[-1, 0] 	3.0 	Q 	K 	U 	Z 	Y 	G 	D 	E 	A 	X 	F 	M 	V 	R 	J 	T 	C 	N 	P 	B 	O 	L 	W 	H 	I 	S 	V 	  	I 	  	D 	  	cue 	  	E 	  	H 	  	L 	  	P 	  	C 	  	R 	  	W 	  	J 	  	O 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	21 	8 	 T1 	11 	[1, 0] 	3.0 	S 	I 	T 	Y 	O 	J 	M 	E 	A 	P 	X 	W 	L 	U 	N 	C 	H 	R 	D 	B 	Z 	Q 	K 	F 	G 	V 	M 	  	R 	  	Z 	  	C 	  	B 	  	cue 	  	D 	  	X 	  	N 	  	H 	  	F 	  	U 	  	K 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	22 	8 	 T1 	15 	[-1, 0] 	10.0 	O 	Y 	V 	W 	K 	N 	E 	B 	I 	C 	Q 	J 	D 	R 	U 	P 	F 	L 	H 	S 	Z 	M 	X 	G 	T 	A 	U 	  	P 	  	O 	  	W 	  	A 	  	D 	  	M 	  	cue 	  	F 	  	B 	  	Z 	  	L 	  	H 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	23 	8 	 T1 	23 	[-1, 0] 	10.0 	X 	N 	J 	Y 	H 	A 	Q 	D 	K 	T 	C 	M 	Z 	W 	I 	E 	G 	B 	U 	S 	R 	O 	P 	L 	V 	F 	U 	  	P 	  	E 	  	C 	  	N 	  	O 	  	S 	  	J 	  	T 	  	X 	  	Y 	  	cue 	  	W 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	24 	8 	 T1 	15 	[-1, 0] 	10.0 	O 	E 	J 	H 	X 	Z 	R 	G 	C 	N 	K 	W 	Y 	P 	A 	L 	I 	S 	Q 	B 	F 	V 	U 	T 	M 	D 	X 	  	W 	  	L 	  	F 	  	C 	  	N 	  	V 	  	cue 	  	I 	  	O 	  	K 	  	G 	  	D 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	25 	8 	 T1 	11 	[-1, 0] 	3.0 	J 	X 	Z 	E 	P 	K 	G 	O 	U 	R 	I 	D 	N 	L 	S 	B 	Q 	H 	C 	A 	M 	F 	Y 	W 	T 	V 	O 	  	A 	  	V 	  	I 	  	N 	  	cue 	  	Z 	  	Q 	  	G 	  	K 	  	S 	  	P 	  	D 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	26 	8 	 T1 	7 	[-1, 0] 	3.0 	R 	D 	N 	Q 	O 	H 	C 	P 	F 	E 	K 	A 	S 	Y 	T 	M 	G 	W 	J 	U 	V 	Z 	B 	L 	I 	X 	Z 	  	N 	  	U 	  	cue 	  	Q 	  	A 	  	F 	  	P 	  	V 	  	W 	  	L 	  	H 	  	T 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	27 	8 	 T1 	7 	[1, 0] 	3.0 	T 	U 	W 	N 	J 	Z 	H 	R 	E 	O 	S 	L 	X 	G 	V 	Q 	B 	A 	Y 	F 	P 	I 	K 	M 	C 	D 	G 	  	I 	  	L 	  	cue 	  	B 	  	V 	  	U 	  	Y 	  	R 	  	E 	  	N 	  	W 	  	K 	  	0
RSVP_two_streams_bigger_cue_size_different_rates 	28 	8 	 T1 	19 	[-1, 0] 	3.0 	I 	H 	K 	Y 	M 	R 	T 	J 	V 	C 	A 	Z 	S 	F 	N 	W 	Q 	X 	P 	G 	D 	L 	O 	U 	B 	E 	B 	  	O 	  	E 	  	X 	  	V 	  	D 	  	I 	  	Q 	  	G 	  	cue 	  	F 	  	L 	  	Z 	  	0
