experimentPhase,trialnum,subject,task,answerPos0,cueSpatialPos1,cueEccentricity1,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,timingBlips
RSVP_two_streams_bigger_cue_size_new ,0 ,10 , T1 ,14 ,"[-1, 0] ",3.0 ,F ,T ,U ,Z ,E ,L ,Y ,S ,Q ,K ,A ,I ,P ,M ,V ,G ,B ,W ,X ,N ,D ,R ,H ,J ,O ,C ,B ,H ,W ,X ,Z ,K ,N ,Y ,S ,U ,E ,F ,R ,  ,I ,Q ,L ,O ,C ,P ,M ,G ,A ,J ,V ,T ,0
RSVP_two_streams_bigger_cue_size_new ,1 ,10 , T1 ,18 ,"[1, 0] ",3.0 ,C ,W ,T ,E ,S ,F ,G ,Y ,U ,L ,H ,I ,D ,A ,J ,O ,K ,N ,M ,X ,R ,Z ,P ,V ,Q ,B ,R ,K ,P ,E ,O ,Q ,U ,M ,B ,T ,C ,G ,J ,A ,V ,D ,L ,  ,S ,X ,Y ,N ,W ,I ,F ,Z ,0
RSVP_two_streams_bigger_cue_size_new ,2 ,10 , T1 ,6 ,"[1, 0] ",3.0 ,T ,E ,W ,G ,A ,D ,O ,F ,X ,K ,Q ,R ,S ,I ,M ,P ,U ,Y ,V ,H ,Z ,L ,B ,J ,N ,C ,G ,I ,J ,V ,U ,  ,L ,C ,Q ,P ,W ,T ,N ,R ,M ,Y ,E ,O ,K ,F ,X ,Z ,H ,D ,B ,A ,0
RSVP_two_streams_bigger_cue_size_new ,3 ,10 , T1 ,6 ,"[-1, 0] ",3.0 ,K ,P ,I ,O ,A ,M ,V ,R ,E ,G ,B ,T ,D ,S ,X ,Z ,F ,H ,W ,U ,L ,N ,Y ,Q ,C ,J ,M ,N ,I ,B ,F ,  ,D ,T ,A ,W ,O ,G ,Q ,Z ,E ,C ,X ,R ,V ,S ,H ,P ,L ,Y ,U ,J ,0
RSVP_two_streams_bigger_cue_size_new ,4 ,10 , T1 ,14 ,"[-1, 0] ",10.0 ,S ,V ,O ,D ,X ,Z ,M ,P ,K ,J ,E ,I ,A ,Q ,R ,H ,F ,W ,G ,U ,N ,T ,C ,B ,Y ,L ,G ,S ,Y ,D ,U ,J ,F ,A ,E ,X ,T ,L ,N ,  ,P ,H ,R ,Q ,K ,Z ,V ,O ,I ,C ,W ,M ,0
RSVP_two_streams_bigger_cue_size_new ,5 ,10 , T1 ,22 ,"[1, 0] ",3.0 ,Y ,Z ,N ,T ,M ,U ,Q ,W ,B ,L ,C ,R ,X ,J ,K ,H ,A ,O ,P ,V ,F ,G ,D ,S ,E ,I ,Z ,I ,C ,K ,L ,J ,Q ,P ,T ,A ,M ,S ,G ,D ,U ,O ,Y ,H ,E ,X ,N ,  ,V ,W ,B ,F ,0
RSVP_two_streams_bigger_cue_size_new ,6 ,10 , T1 ,6 ,"[1, 0] ",10.0 ,X ,D ,U ,L ,Y ,Q ,T ,E ,I ,B ,S ,G ,R ,A ,N ,J ,P ,W ,H ,V ,C ,O ,K ,F ,Z ,M ,M ,I ,X ,V ,Q ,  ,H ,B ,D ,U ,R ,T ,K ,L ,A ,F ,P ,C ,S ,E ,G ,O ,N ,Y ,W ,Z ,0
RSVP_two_streams_bigger_cue_size_new ,7 ,10 , T1 ,14 ,"[-1, 0] ",3.0 ,O ,R ,N ,U ,Q ,W ,G ,P ,K ,T ,X ,B ,A ,Y ,S ,Z ,F ,E ,L ,I ,H ,C ,J ,D ,M ,V ,O ,J ,W ,X ,L ,T ,S ,D ,H ,G ,Y ,E ,C ,  ,M ,R ,Q ,A ,F ,P ,B ,I ,K ,Z ,V ,U ,0
RSVP_two_streams_bigger_cue_size_new ,8 ,10 , T1 ,14 ,"[-1, 0] ",10.0 ,G ,E ,O ,X ,W ,I ,R ,S ,C ,F ,D ,H ,J ,K ,V ,P ,T ,Y ,Q ,A ,N ,Z ,L ,B ,M ,U ,N ,X ,U ,O ,E ,F ,K ,J ,Z ,Q ,S ,P ,R ,  ,V ,D ,B ,H ,T ,I ,Y ,M ,G ,W ,C ,L ,0
RSVP_two_streams_bigger_cue_size_new ,9 ,10 , T1 ,22 ,"[1, 0] ",10.0 ,D ,Q ,U ,K ,A ,X ,C ,S ,B ,O ,L ,H ,V ,T ,I ,Z ,G ,N ,J ,E ,P ,F ,Y ,M ,R ,W ,K ,J ,V ,D ,N ,L ,S ,C ,X ,U ,F ,R ,I ,G ,B ,P ,E ,T ,M ,Y ,Q ,  ,Z ,W ,H ,O ,0
