experimentPhase	trialnum	subject	task	answerPos0	cueSpatialPos1	cueEccentricity1	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20	m21	m22	m23	m24	m25	m26	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	timingBlips
RSVP_two_streams_bigger_cue_size_new 	0 	2 	 T1 	10 	[1, 0] 	3.0 	F 	J 	U 	V 	H 	R 	S 	L 	B 	A 	O 	P 	I 	T 	D 	W 	Q 	X 	Z 	C 	Y 	K 	N 	G 	E 	M 	X 	E 	B 	O 	R 	A 	N 	W 	K 	  	J 	T 	Q 	H 	Y 	F 	U 	C 	P 	S 	V 	M 	Z 	D 	L 	G 	0
RSVP_two_streams_bigger_cue_size_new 	1 	2 	 T1 	22 	[-1, 0] 	3.0 	R 	O 	P 	N 	U 	Z 	E 	C 	Y 	M 	X 	V 	F 	H 	W 	D 	S 	I 	Q 	T 	G 	A 	L 	J 	K 	B 	K 	G 	M 	S 	B 	P 	V 	C 	A 	I 	R 	N 	J 	T 	F 	W 	L 	O 	Y 	D 	E 	  	H 	Z 	U 	Q 	1
RSVP_two_streams_bigger_cue_size_new 	2 	2 	 T1 	6 	[-1, 0] 	3.0 	X 	V 	H 	C 	L 	O 	F 	Z 	I 	K 	N 	P 	R 	M 	A 	T 	Q 	Y 	W 	U 	E 	J 	B 	S 	G 	D 	H 	L 	S 	J 	B 	  	F 	Z 	G 	E 	X 	T 	C 	R 	U 	A 	M 	Q 	N 	W 	K 	V 	I 	O 	Y 	D 	0
RSVP_two_streams_bigger_cue_size_new 	3 	2 	 T1 	10 	[-1, 0] 	10.0 	K 	S 	D 	R 	I 	N 	H 	O 	Z 	J 	X 	B 	E 	V 	G 	L 	P 	Q 	F 	W 	T 	Y 	U 	M 	C 	A 	X 	J 	E 	L 	R 	Z 	F 	Y 	H 	  	V 	A 	M 	B 	K 	Q 	S 	I 	T 	N 	D 	W 	P 	O 	G 	U 	0
RSVP_two_streams_bigger_cue_size_new 	4 	2 	 T1 	18 	[1, 0] 	3.0 	F 	S 	R 	K 	V 	Y 	T 	M 	N 	B 	X 	C 	Q 	U 	Z 	D 	L 	A 	H 	G 	E 	O 	P 	W 	J 	I 	Y 	B 	P 	S 	G 	O 	J 	L 	N 	K 	D 	M 	V 	Z 	H 	C 	W 	  	R 	T 	I 	Q 	A 	X 	F 	E 	0
RSVP_two_streams_bigger_cue_size_new 	5 	2 	 T1 	10 	[-1, 0] 	3.0 	G 	V 	X 	N 	F 	U 	Y 	P 	Q 	H 	A 	E 	T 	O 	Z 	K 	R 	S 	D 	J 	L 	M 	W 	C 	B 	I 	U 	W 	G 	K 	O 	M 	R 	S 	P 	  	I 	N 	E 	L 	Y 	V 	Z 	C 	T 	A 	Q 	B 	H 	D 	F 	X 	0
RSVP_two_streams_bigger_cue_size_new 	6 	2 	 T1 	10 	[1, 0] 	3.0 	E 	M 	I 	F 	S 	L 	Z 	K 	Q 	G 	J 	P 	Y 	B 	C 	D 	A 	R 	W 	H 	V 	N 	O 	X 	U 	T 	M 	R 	L 	A 	E 	Q 	T 	N 	K 	  	H 	F 	D 	X 	V 	B 	C 	J 	G 	Y 	Z 	I 	O 	U 	W 	S 	0
RSVP_two_streams_bigger_cue_size_new 	7 	2 	 T1 	14 	[1, 0] 	10.0 	W 	L 	R 	M 	Y 	K 	J 	Q 	O 	I 	P 	N 	V 	C 	T 	H 	X 	D 	G 	B 	F 	Z 	A 	U 	S 	E 	I 	E 	U 	K 	Q 	X 	J 	T 	Y 	C 	L 	N 	M 	  	O 	S 	P 	R 	B 	A 	V 	D 	W 	H 	G 	F 	0
RSVP_two_streams_bigger_cue_size_new 	8 	2 	 T1 	10 	[1, 0] 	3.0 	I 	E 	S 	Y 	P 	U 	N 	L 	B 	G 	R 	X 	O 	W 	M 	H 	Z 	V 	D 	A 	K 	F 	C 	J 	T 	Q 	C 	I 	T 	Q 	Y 	X 	N 	A 	D 	  	B 	W 	K 	J 	M 	V 	P 	L 	H 	O 	E 	F 	R 	Z 	S 	U 	0
RSVP_two_streams_bigger_cue_size_new 	9 	2 	 T1 	10 	[-1, 0] 	3.0 	T 	W 	Q 	B 	C 	R 	A 	X 	K 	V 	N 	O 	F 	G 	D 	E 	I 	S 	L 	M 	P 	H 	Z 	J 	Y 	U 	Q 	Z 	G 	X 	V 	D 	M 	C 	L 	  	P 	Y 	B 	H 	J 	I 	E 	A 	U 	F 	O 	N 	K 	W 	R 	T 	0
RSVP_two_streams_bigger_cue_size_new 	10 	2 	 T1 	10 	[1, 0] 	3.0 	Z 	S 	F 	E 	W 	P 	G 	I 	D 	Q 	H 	J 	R 	B 	O 	L 	M 	T 	V 	N 	C 	U 	A 	Y 	K 	X 	L 	K 	R 	M 	S 	Z 	V 	A 	C 	  	W 	U 	N 	H 	G 	Y 	D 	X 	B 	F 	Q 	P 	T 	I 	O 	E 	0
RSVP_two_streams_bigger_cue_size_new 	11 	2 	 T1 	18 	[1, 0] 	3.0 	X 	J 	D 	Z 	S 	L 	O 	T 	V 	U 	Q 	G 	A 	F 	B 	P 	W 	Y 	K 	C 	M 	R 	I 	H 	N 	E 	L 	G 	E 	D 	H 	W 	U 	T 	S 	Z 	P 	R 	K 	N 	O 	I 	M 	  	B 	C 	F 	J 	V 	A 	Q 	X 	0
RSVP_two_streams_bigger_cue_size_new 	12 	2 	 T1 	14 	[1, 0] 	10.0 	G 	C 	S 	K 	W 	U 	Q 	X 	H 	E 	A 	J 	B 	I 	O 	D 	N 	R 	F 	L 	Y 	P 	M 	Z 	V 	T 	P 	U 	B 	L 	V 	M 	D 	X 	C 	K 	E 	H 	J 	  	I 	W 	R 	Q 	G 	Y 	O 	F 	A 	T 	Z 	S 	0
RSVP_two_streams_bigger_cue_size_new 	13 	2 	 T1 	10 	[-1, 0] 	3.0 	L 	A 	T 	O 	N 	X 	H 	Q 	F 	D 	J 	U 	I 	R 	K 	Y 	C 	G 	W 	M 	Z 	S 	E 	B 	P 	V 	A 	P 	V 	F 	W 	E 	L 	B 	M 	  	Y 	J 	U 	O 	S 	N 	R 	H 	I 	D 	X 	K 	G 	T 	Q 	C 	0
RSVP_two_streams_bigger_cue_size_new 	14 	2 	 T1 	18 	[-1, 0] 	3.0 	R 	O 	X 	P 	M 	J 	A 	Q 	F 	I 	N 	Z 	U 	C 	B 	S 	Y 	D 	G 	L 	H 	K 	T 	W 	V 	E 	O 	M 	N 	L 	V 	U 	P 	S 	X 	Y 	B 	G 	C 	W 	Q 	J 	D 	  	F 	K 	E 	R 	A 	Z 	T 	I 	0
RSVP_two_streams_bigger_cue_size_new 	15 	2 	 T1 	22 	[1, 0] 	10.0 	B 	U 	H 	Q 	V 	E 	N 	T 	L 	A 	M 	I 	F 	P 	W 	G 	J 	Z 	C 	S 	Y 	R 	O 	K 	X 	D 	X 	F 	P 	O 	A 	K 	D 	U 	N 	R 	J 	V 	W 	M 	E 	B 	S 	Z 	C 	L 	Y 	  	H 	G 	T 	I 	0
RSVP_two_streams_bigger_cue_size_new 	16 	2 	 T1 	14 	[-1, 0] 	10.0 	C 	L 	U 	T 	W 	G 	M 	R 	H 	X 	V 	Z 	O 	D 	B 	Y 	I 	Q 	K 	A 	F 	E 	J 	P 	N 	S 	W 	I 	J 	A 	Y 	S 	V 	N 	L 	P 	G 	T 	R 	  	B 	C 	U 	K 	H 	M 	Q 	Z 	E 	X 	F 	O 	0
