cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
18,2,"[-1, 0]",1,275
6,2,"[1, 0]",1,141
18,2,"[-1, 0]",5,116
22,2,"[-1, 0]",5,180
6,2,"[-1, 0]",1,183
22,2,"[-1, 0]",5,80
10,2,"[1, 0]",1,85
6,2,"[-1, 0]",5,264
6,2,"[1, 0]",5,22
6,2,"[1, 0]",5,162
14,2,"[1, 0]",1,249
6,2,"[-1, 0]",1,3
22,2,"[1, 0]",1,97
22,2,"[-1, 0]",1,159
22,2,"[-1, 0]",5,220
10,2,"[-1, 0]",5,128
6,2,"[1, 0]",5,262
14,2,"[1, 0]",1,89
18,2,"[1, 0]",1,133
6,2,"[1, 0]",5,2
18,2,"[-1, 0]",5,256
14,2,"[1, 0]",1,49
22,2,"[1, 0]",1,277
18,2,"[-1, 0]",5,156
14,2,"[1, 0]",1,189
10,2,"[-1, 0]",1,107
14,2,"[-1, 0]",5,212
18,2,"[-1, 0]",5,36
6,2,"[-1, 0]",1,43
18,2,"[-1, 0]",5,56
18,2,"[1, 0]",5,134
6,2,"[1, 0]",1,21
22,2,"[1, 0]",1,157
10,2,"[-1, 0]",1,27
22,2,"[-1, 0]",5,240
14,2,"[1, 0]",5,270
22,2,"[-1, 0]",1,239
22,2,"[-1, 0]",5,100
6,2,"[1, 0]",1,121
22,2,"[1, 0]",5,218
14,2,"[1, 0]",1,9
14,2,"[1, 0]",5,90
18,2,"[1, 0]",5,154
18,2,"[1, 0]",1,273
18,2,"[-1, 0]",1,35
6,2,"[-1, 0]",1,143
6,2,"[1, 0]",1,241
6,2,"[-1, 0]",1,123
18,2,"[1, 0]",5,74
18,2,"[1, 0]",1,73
10,2,"[1, 0]",1,225
14,2,"[1, 0]",1,169
22,2,"[1, 0]",1,197
6,2,"[-1, 0]",1,223
10,2,"[1, 0]",1,205
18,2,"[-1, 0]",5,176
14,2,"[1, 0]",5,50
22,2,"[1, 0]",5,38
6,2,"[1, 0]",1,201
22,2,"[-1, 0]",1,79
14,2,"[-1, 0]",1,51
22,2,"[1, 0]",5,198
18,2,"[-1, 0]",1,175
10,2,"[1, 0]",5,266
10,2,"[1, 0]",1,45
18,2,"[-1, 0]",5,216
22,2,"[1, 0]",5,98
10,2,"[-1, 0]",5,208
18,2,"[1, 0]",5,54
22,2,"[-1, 0]",5,280
18,2,"[1, 0]",5,14
22,2,"[-1, 0]",5,160
14,2,"[1, 0]",1,129
22,2,"[1, 0]",5,258
14,2,"[1, 0]",1,69
10,2,"[-1, 0]",1,147
22,2,"[1, 0]",1,37
14,2,"[1, 0]",5,130
18,2,"[1, 0]",5,94
22,2,"[-1, 0]",1,39
10,2,"[1, 0]",1,265
6,2,"[1, 0]",5,62
22,2,"[-1, 0]",5,120
22,2,"[1, 0]",5,238
14,2,"[-1, 0]",5,252
14,2,"[-1, 0]",5,32
18,2,"[-1, 0]",1,255
22,2,"[-1, 0]",5,260
6,2,"[-1, 0]",5,204
14,2,"[1, 0]",5,230
22,2,"[-1, 0]",1,139
10,2,"[-1, 0]",5,168
18,2,"[1, 0]",5,234
6,2,"[1, 0]",1,81
14,2,"[-1, 0]",1,251
6,2,"[1, 0]",5,102
14,2,"[1, 0]",1,229
14,2,"[1, 0]",5,10
10,2,"[1, 0]",1,245
22,2,"[-1, 0]",1,259
22,2,"[-1, 0]",1,19
10,2,"[1, 0]",5,186
6,2,"[1, 0]",1,221
14,2,"[-1, 0]",1,151
10,2,"[1, 0]",1,105
14,2,"[-1, 0]",5,132
18,2,"[1, 0]",5,274
18,2,"[1, 0]",1,93
6,2,"[1, 0]",5,202
14,2,"[1, 0]",1,29
14,2,"[-1, 0]",5,172
10,2,"[-1, 0]",5,68
6,2,"[-1, 0]",5,24
10,2,"[-1, 0]",1,207
6,2,"[-1, 0]",5,184
6,2,"[-1, 0]",5,64
14,2,"[-1, 0]",1,271
10,2,"[-1, 0]",1,127
14,2,"[-1, 0]",5,232
6,2,"[-1, 0]",1,83
18,2,"[-1, 0]",1,135
14,2,"[-1, 0]",5,92
14,2,"[1, 0]",5,150
10,2,"[-1, 0]",5,148
10,2,"[-1, 0]",5,28
6,2,"[1, 0]",5,42
10,2,"[-1, 0]",1,87
18,2,"[-1, 0]",5,96
14,2,"[-1, 0]",1,211
10,2,"[1, 0]",1,165
22,2,"[1, 0]",5,118
10,2,"[1, 0]",5,46
6,2,"[-1, 0]",1,203
14,2,"[1, 0]",5,170
6,2,"[1, 0]",1,41
18,2,"[1, 0]",5,254
10,2,"[-1, 0]",5,8
14,2,"[-1, 0]",5,192
6,2,"[1, 0]",5,222
6,2,"[-1, 0]",5,104
10,2,"[1, 0]",1,65
10,2,"[-1, 0]",1,187
14,2,"[-1, 0]",5,152
22,2,"[1, 0]",5,278
18,2,"[-1, 0]",1,155
14,2,"[1, 0]",5,250
14,2,"[-1, 0]",1,71
22,2,"[1, 0]",1,77
10,2,"[1, 0]",5,166
22,2,"[1, 0]",1,237
22,2,"[1, 0]",5,138
14,2,"[-1, 0]",5,12
18,2,"[1, 0]",5,114
6,2,"[-1, 0]",5,144
14,2,"[1, 0]",5,110
14,2,"[-1, 0]",1,191
6,2,"[-1, 0]",1,163
10,2,"[-1, 0]",1,167
10,2,"[1, 0]",5,26
22,2,"[1, 0]",1,17
18,2,"[1, 0]",1,153
10,2,"[-1, 0]",5,88
10,2,"[-1, 0]",5,108
22,2,"[-1, 0]",1,119
6,2,"[1, 0]",5,142
14,2,"[-1, 0]",5,272
6,2,"[-1, 0]",5,4
14,2,"[-1, 0]",1,91
10,2,"[-1, 0]",5,188
22,2,"[1, 0]",5,178
14,2,"[1, 0]",1,209
10,2,"[-1, 0]",5,268
18,2,"[1, 0]",1,113
6,2,"[1, 0]",1,261
18,2,"[-1, 0]",1,115
22,2,"[-1, 0]",1,219
18,2,"[1, 0]",1,233
14,2,"[1, 0]",1,109
22,2,"[1, 0]",5,158
6,2,"[1, 0]",1,101
18,2,"[1, 0]",1,253
6,2,"[1, 0]",1,61
10,2,"[1, 0]",5,106
14,2,"[-1, 0]",1,11
10,2,"[1, 0]",1,185
18,2,"[-1, 0]",1,195
18,2,"[1, 0]",1,173
10,2,"[1, 0]",5,6
18,2,"[-1, 0]",1,235
18,2,"[-1, 0]",5,236
18,2,"[1, 0]",1,33
14,2,"[1, 0]",5,190
10,2,"[-1, 0]",1,267
18,2,"[1, 0]",5,214
14,2,"[1, 0]",5,210
10,2,"[-1, 0]",1,47
22,2,"[-1, 0]",5,140
18,2,"[-1, 0]",5,136
6,2,"[-1, 0]",5,244
10,2,"[-1, 0]",5,228
10,2,"[-1, 0]",1,7
6,2,"[-1, 0]",1,63
18,2,"[-1, 0]",1,95
18,2,"[1, 0]",1,213
22,2,"[1, 0]",5,78
18,2,"[-1, 0]",5,276
6,2,"[1, 0]",5,122
18,2,"[1, 0]",5,194
22,2,"[-1, 0]",5,20
6,2,"[-1, 0]",5,124
14,2,"[-1, 0]",1,31
6,2,"[-1, 0]",5,164
22,2,"[-1, 0]",1,199
6,2,"[1, 0]",1,181
10,2,"[-1, 0]",1,67
14,2,"[-1, 0]",5,112
10,2,"[1, 0]",5,246
18,2,"[-1, 0]",5,76
6,2,"[-1, 0]",1,263
22,2,"[-1, 0]",1,279
18,2,"[-1, 0]",1,55
22,2,"[-1, 0]",5,200
10,2,"[1, 0]",5,226
10,2,"[-1, 0]",5,248
10,2,"[1, 0]",5,146
10,2,"[1, 0]",1,25
14,2,"[-1, 0]",1,111
6,2,"[1, 0]",5,242
6,2,"[1, 0]",1,1
18,2,"[-1, 0]",1,215
22,2,"[1, 0]",5,58
10,2,"[1, 0]",5,206
22,2,"[1, 0]",1,257
14,2,"[-1, 0]",1,231
10,2,"[-1, 0]",1,247
10,2,"[1, 0]",5,126
14,2,"[1, 0]",5,70
10,2,"[1, 0]",5,86
10,2,"[-1, 0]",1,227
6,2,"[-1, 0]",1,103
22,2,"[1, 0]",1,57
6,2,"[-1, 0]",5,44
6,2,"[1, 0]",5,82
22,2,"[-1, 0]",1,179
22,2,"[1, 0]",1,217
6,2,"[1, 0]",5,182
18,2,"[-1, 0]",5,16
18,2,"[-1, 0]",1,15
6,2,"[-1, 0]",1,243
22,2,"[-1, 0]",1,59
14,2,"[-1, 0]",5,52
14,2,"[1, 0]",5,30
22,2,"[1, 0]",1,117
6,2,"[-1, 0]",5,224
18,2,"[1, 0]",1,13
14,2,"[-1, 0]",1,171
18,2,"[1, 0]",1,193
18,2,"[-1, 0]",5,196
10,2,"[1, 0]",5,66
14,2,"[-1, 0]",1,131
10,2,"[1, 0]",1,5
14,2,"[-1, 0]",5,72
22,2,"[-1, 0]",1,99
18,2,"[1, 0]",5,174
14,2,"[1, 0]",1,149
6,2,"[-1, 0]",5,84
6,2,"[1, 0]",1,161
22,2,"[-1, 0]",5,60
22,2,"[1, 0]",5,18
10,2,"[1, 0]",1,125
22,2,"[1, 0]",1,137
22,2,"[1, 0]",1,177
10,2,"[-1, 0]",5,48
6,2,"[-1, 0]",1,23
18,2,"[1, 0]",5,34
18,2,"[-1, 0]",1,75
14,2,"[1, 0]",1,269
22,2,"[-1, 0]",5,40
10,2,"[1, 0]",1,145
18,2,"[1, 0]",1,53
