cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
10,2,"[-1, 0]",1,87
18,2,"[1, 0]",1,113
10,2,"[-1, 0]",1,7
22,2,"[1, 0]",1,177
22,2,"[-1, 0]",1,19
14,2,"[1, 0]",1,9
14,2,"[1, 0]",1,109
14,2,"[-1, 0]",5,212
14,2,"[1, 0]",1,229
22,2,"[1, 0]",5,278
14,2,"[1, 0]",1,169
22,2,"[1, 0]",1,37
18,2,"[1, 0]",1,13
10,2,"[1, 0]",1,65
14,2,"[-1, 0]",1,111
14,2,"[1, 0]",1,69
22,2,"[-1, 0]",5,280
10,2,"[-1, 0]",1,67
6,2,"[-1, 0]",1,63
14,2,"[1, 0]",5,190
18,2,"[1, 0]",1,93
14,2,"[-1, 0]",1,251
18,2,"[-1, 0]",1,115
10,2,"[1, 0]",5,146
18,2,"[-1, 0]",1,15
14,2,"[1, 0]",5,170
18,2,"[1, 0]",5,94
6,2,"[-1, 0]",1,103
10,2,"[1, 0]",5,26
14,2,"[1, 0]",5,70
14,2,"[1, 0]",5,210
14,2,"[1, 0]",5,30
18,2,"[-1, 0]",5,116
18,2,"[-1, 0]",5,36
14,2,"[1, 0]",1,149
18,2,"[1, 0]",5,74
6,2,"[-1, 0]",5,164
18,2,"[-1, 0]",5,276
14,2,"[1, 0]",1,129
18,2,"[1, 0]",1,53
18,2,"[-1, 0]",1,135
18,2,"[-1, 0]",5,256
10,2,"[-1, 0]",5,108
10,2,"[-1, 0]",5,248
6,2,"[-1, 0]",5,184
18,2,"[1, 0]",1,153
10,2,"[-1, 0]",5,8
6,2,"[1, 0]",1,221
22,2,"[1, 0]",5,158
18,2,"[1, 0]",5,234
6,2,"[1, 0]",1,201
18,2,"[1, 0]",5,174
14,2,"[-1, 0]",5,92
14,2,"[-1, 0]",1,31
6,2,"[1, 0]",5,222
10,2,"[-1, 0]",1,247
6,2,"[1, 0]",5,102
22,2,"[-1, 0]",1,79
6,2,"[1, 0]",1,1
10,2,"[1, 0]",5,126
10,2,"[-1, 0]",1,187
10,2,"[-1, 0]",1,147
14,2,"[-1, 0]",1,91
6,2,"[1, 0]",5,122
22,2,"[1, 0]",1,117
10,2,"[-1, 0]",5,208
18,2,"[1, 0]",1,233
22,2,"[-1, 0]",5,180
10,2,"[1, 0]",5,66
22,2,"[-1, 0]",5,220
10,2,"[-1, 0]",1,227
22,2,"[1, 0]",5,218
14,2,"[-1, 0]",1,271
10,2,"[1, 0]",1,45
14,2,"[1, 0]",5,90
10,2,"[1, 0]",1,185
14,2,"[-1, 0]",5,32
18,2,"[-1, 0]",5,156
18,2,"[-1, 0]",1,175
6,2,"[1, 0]",5,162
18,2,"[1, 0]",1,133
14,2,"[1, 0]",1,269
18,2,"[1, 0]",5,54
6,2,"[-1, 0]",1,263
22,2,"[-1, 0]",1,39
22,2,"[1, 0]",1,157
14,2,"[1, 0]",5,230
14,2,"[-1, 0]",1,191
10,2,"[-1, 0]",1,167
10,2,"[1, 0]",5,246
10,2,"[-1, 0]",5,88
18,2,"[-1, 0]",5,56
10,2,"[1, 0]",1,85
10,2,"[-1, 0]",5,28
22,2,"[1, 0]",1,197
22,2,"[-1, 0]",5,200
14,2,"[1, 0]",5,110
6,2,"[-1, 0]",5,264
14,2,"[-1, 0]",1,11
22,2,"[-1, 0]",1,239
14,2,"[1, 0]",5,150
6,2,"[1, 0]",5,242
22,2,"[1, 0]",1,137
6,2,"[-1, 0]",1,243
6,2,"[1, 0]",1,41
10,2,"[1, 0]",5,186
10,2,"[-1, 0]",1,47
14,2,"[-1, 0]",1,171
14,2,"[-1, 0]",5,72
18,2,"[-1, 0]",1,155
6,2,"[-1, 0]",1,23
6,2,"[-1, 0]",5,4
18,2,"[1, 0]",5,214
18,2,"[-1, 0]",1,275
6,2,"[1, 0]",5,42
6,2,"[-1, 0]",5,124
6,2,"[-1, 0]",5,144
18,2,"[-1, 0]",1,75
18,2,"[-1, 0]",5,136
14,2,"[1, 0]",1,189
18,2,"[1, 0]",1,193
22,2,"[-1, 0]",1,139
22,2,"[1, 0]",5,238
6,2,"[-1, 0]",1,203
18,2,"[-1, 0]",1,195
6,2,"[1, 0]",5,142
14,2,"[-1, 0]",5,252
18,2,"[-1, 0]",5,76
18,2,"[1, 0]",1,73
6,2,"[1, 0]",5,2
6,2,"[-1, 0]",5,64
6,2,"[1, 0]",1,21
6,2,"[1, 0]",1,81
10,2,"[-1, 0]",5,168
14,2,"[-1, 0]",1,71
10,2,"[-1, 0]",5,128
10,2,"[-1, 0]",5,68
6,2,"[1, 0]",1,101
18,2,"[-1, 0]",5,16
22,2,"[1, 0]",1,77
22,2,"[-1, 0]",1,179
10,2,"[-1, 0]",1,107
22,2,"[-1, 0]",1,219
18,2,"[-1, 0]",1,35
6,2,"[1, 0]",5,182
6,2,"[1, 0]",5,22
10,2,"[1, 0]",1,145
10,2,"[1, 0]",5,46
18,2,"[-1, 0]",5,236
22,2,"[1, 0]",5,58
14,2,"[-1, 0]",5,192
22,2,"[1, 0]",1,97
14,2,"[1, 0]",1,49
22,2,"[-1, 0]",1,279
14,2,"[-1, 0]",1,51
18,2,"[1, 0]",5,254
10,2,"[1, 0]",5,6
22,2,"[-1, 0]",1,119
14,2,"[-1, 0]",1,231
22,2,"[-1, 0]",1,59
10,2,"[1, 0]",1,25
22,2,"[1, 0]",5,178
18,2,"[1, 0]",1,173
6,2,"[1, 0]",5,62
6,2,"[1, 0]",1,141
6,2,"[-1, 0]",1,163
14,2,"[-1, 0]",1,151
6,2,"[-1, 0]",1,3
22,2,"[-1, 0]",5,20
18,2,"[1, 0]",5,154
6,2,"[-1, 0]",1,223
22,2,"[-1, 0]",5,60
14,2,"[-1, 0]",5,172
18,2,"[-1, 0]",5,96
22,2,"[-1, 0]",5,160
22,2,"[-1, 0]",5,240
6,2,"[-1, 0]",5,204
18,2,"[1, 0]",5,114
10,2,"[1, 0]",1,105
6,2,"[1, 0]",1,261
14,2,"[1, 0]",5,270
10,2,"[1, 0]",1,165
10,2,"[1, 0]",1,265
22,2,"[1, 0]",5,198
10,2,"[-1, 0]",5,228
22,2,"[1, 0]",1,237
6,2,"[1, 0]",1,121
6,2,"[-1, 0]",1,183
10,2,"[1, 0]",1,125
14,2,"[1, 0]",5,250
22,2,"[1, 0]",5,38
14,2,"[1, 0]",1,209
6,2,"[-1, 0]",5,224
22,2,"[1, 0]",1,257
18,2,"[1, 0]",5,14
18,2,"[-1, 0]",5,176
22,2,"[1, 0]",5,258
18,2,"[-1, 0]",1,235
18,2,"[1, 0]",5,34
10,2,"[-1, 0]",1,267
14,2,"[-1, 0]",1,211
6,2,"[-1, 0]",1,123
18,2,"[-1, 0]",1,95
18,2,"[1, 0]",1,213
6,2,"[1, 0]",1,181
22,2,"[-1, 0]",1,159
22,2,"[-1, 0]",1,259
10,2,"[-1, 0]",5,188
14,2,"[-1, 0]",5,152
22,2,"[-1, 0]",5,40
14,2,"[-1, 0]",5,12
6,2,"[1, 0]",1,161
14,2,"[-1, 0]",5,52
6,2,"[-1, 0]",5,84
14,2,"[1, 0]",1,29
18,2,"[-1, 0]",5,196
14,2,"[-1, 0]",5,112
6,2,"[1, 0]",1,61
22,2,"[1, 0]",1,217
10,2,"[1, 0]",5,86
22,2,"[-1, 0]",1,99
14,2,"[1, 0]",5,130
10,2,"[-1, 0]",1,27
6,2,"[-1, 0]",5,24
22,2,"[-1, 0]",5,260
22,2,"[1, 0]",5,18
10,2,"[1, 0]",1,225
22,2,"[1, 0]",5,98
6,2,"[-1, 0]",5,44
6,2,"[1, 0]",5,202
22,2,"[1, 0]",5,118
10,2,"[-1, 0]",5,268
10,2,"[-1, 0]",5,48
6,2,"[-1, 0]",5,244
14,2,"[-1, 0]",5,132
14,2,"[1, 0]",1,249
14,2,"[-1, 0]",5,272
18,2,"[1, 0]",5,194
22,2,"[-1, 0]",1,199
10,2,"[1, 0]",1,245
22,2,"[1, 0]",1,17
18,2,"[-1, 0]",1,255
6,2,"[-1, 0]",1,83
22,2,"[-1, 0]",5,140
22,2,"[1, 0]",1,57
22,2,"[1, 0]",5,78
18,2,"[1, 0]",5,274
18,2,"[1, 0]",1,253
22,2,"[-1, 0]",5,80
22,2,"[1, 0]",1,277
14,2,"[1, 0]",1,89
22,2,"[-1, 0]",5,100
10,2,"[1, 0]",5,266
10,2,"[1, 0]",5,106
14,2,"[-1, 0]",5,232
10,2,"[-1, 0]",1,127
6,2,"[1, 0]",1,241
22,2,"[1, 0]",5,138
22,2,"[-1, 0]",5,120
18,2,"[1, 0]",5,134
18,2,"[1, 0]",1,33
10,2,"[-1, 0]",5,148
10,2,"[1, 0]",1,205
18,2,"[1, 0]",1,273
6,2,"[-1, 0]",1,43
10,2,"[1, 0]",5,226
14,2,"[1, 0]",5,10
18,2,"[-1, 0]",5,216
6,2,"[1, 0]",5,262
10,2,"[1, 0]",1,5
6,2,"[-1, 0]",1,143
10,2,"[1, 0]",5,166
6,2,"[-1, 0]",5,104
10,2,"[-1, 0]",1,207
14,2,"[-1, 0]",1,131
6,2,"[1, 0]",5,82
10,2,"[1, 0]",5,206
14,2,"[1, 0]",5,50
18,2,"[-1, 0]",1,55
18,2,"[-1, 0]",1,215
