cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
6,2,"[-1, 0]",3.0,151
6,2,"[-1, 0]",3.0,181
6,2,"[-1, 0]",10.0,241
6,2,"[-1, 0]",3.0,201
18,2,"[1, 0]",10.0,89
22,2,"[1, 0]",3.0,25
18,2,"[-1, 0]",10.0,279
14,2,"[1, 0]",3.0,68
22,2,"[1, 0]",3.0,20
6,2,"[-1, 0]",10.0,276
10,2,"[-1, 0]",3.0,167
6,2,"[1, 0]",3.0,26
10,2,"[1, 0]",3.0,27
6,2,"[1, 0]",3.0,6
6,2,"[-1, 0]",3.0,146
10,2,"[-1, 0]",3.0,182
10,2,"[1, 0]",10.0,107
18,2,"[-1, 0]",10.0,259
18,2,"[1, 0]",3.0,44
22,2,"[-1, 0]",10.0,235
6,2,"[1, 0]",3.0,31
6,2,"[-1, 0]",3.0,166
14,2,"[-1, 0]",10.0,213
18,2,"[1, 0]",10.0,134
22,2,"[-1, 0]",10.0,280
18,2,"[1, 0]",10.0,114
6,2,"[1, 0]",3.0,1
10,2,"[-1, 0]",10.0,227
22,2,"[1, 0]",10.0,130
14,2,"[-1, 0]",3.0,173
22,2,"[-1, 0]",10.0,275
14,2,"[1, 0]",3.0,38
18,2,"[-1, 0]",3.0,204
10,2,"[1, 0]",10.0,82
22,2,"[1, 0]",10.0,140
18,2,"[-1, 0]",10.0,219
22,2,"[-1, 0]",10.0,255
22,2,"[-1, 0]",10.0,225
14,2,"[1, 0]",3.0,33
10,2,"[-1, 0]",10.0,217
6,2,"[1, 0]",10.0,116
18,2,"[1, 0]",10.0,124
14,2,"[1, 0]",10.0,78
14,2,"[1, 0]",3.0,3
14,2,"[-1, 0]",10.0,243
22,2,"[1, 0]",10.0,115
18,2,"[1, 0]",10.0,99
6,2,"[1, 0]",3.0,46
18,2,"[-1, 0]",10.0,264
22,2,"[1, 0]",10.0,120
6,2,"[-1, 0]",10.0,256
18,2,"[1, 0]",3.0,9
10,2,"[-1, 0]",10.0,237
10,2,"[-1, 0]",10.0,212
10,2,"[-1, 0]",3.0,202
18,2,"[-1, 0]",3.0,169
6,2,"[1, 0]",10.0,111
18,2,"[-1, 0]",10.0,269
6,2,"[-1, 0]",10.0,216
14,2,"[1, 0]",10.0,73
18,2,"[-1, 0]",3.0,144
18,2,"[1, 0]",3.0,29
10,2,"[1, 0]",10.0,87
6,2,"[1, 0]",10.0,106
22,2,"[1, 0]",3.0,35
10,2,"[-1, 0]",3.0,147
18,2,"[1, 0]",3.0,14
6,2,"[-1, 0]",3.0,206
14,2,"[1, 0]",10.0,83
10,2,"[1, 0]",3.0,37
22,2,"[-1, 0]",3.0,155
6,2,"[-1, 0]",3.0,161
18,2,"[1, 0]",3.0,59
14,2,"[-1, 0]",10.0,263
18,2,"[1, 0]",3.0,24
14,2,"[1, 0]",10.0,113
18,2,"[-1, 0]",3.0,209
14,2,"[-1, 0]",3.0,203
6,2,"[1, 0]",10.0,126
10,2,"[1, 0]",10.0,117
22,2,"[1, 0]",10.0,85
14,2,"[1, 0]",10.0,88
18,2,"[-1, 0]",3.0,154
22,2,"[1, 0]",3.0,60
22,2,"[-1, 0]",3.0,185
22,2,"[1, 0]",10.0,100
14,2,"[-1, 0]",3.0,168
10,2,"[1, 0]",3.0,47
14,2,"[-1, 0]",10.0,253
10,2,"[-1, 0]",3.0,197
18,2,"[-1, 0]",3.0,179
14,2,"[1, 0]",3.0,43
14,2,"[-1, 0]",3.0,198
6,2,"[-1, 0]",10.0,221
18,2,"[1, 0]",10.0,109
6,2,"[1, 0]",3.0,51
6,2,"[1, 0]",10.0,131
10,2,"[1, 0]",10.0,92
14,2,"[-1, 0]",3.0,158
14,2,"[1, 0]",3.0,58
18,2,"[-1, 0]",3.0,199
6,2,"[-1, 0]",10.0,246
6,2,"[-1, 0]",3.0,141
22,2,"[-1, 0]",3.0,165
22,2,"[-1, 0]",3.0,170
10,2,"[-1, 0]",10.0,257
6,2,"[1, 0]",3.0,36
22,2,"[-1, 0]",10.0,265
22,2,"[-1, 0]",10.0,260
22,2,"[1, 0]",3.0,10
18,2,"[-1, 0]",10.0,214
14,2,"[-1, 0]",10.0,273
18,2,"[-1, 0]",3.0,184
6,2,"[-1, 0]",10.0,231
10,2,"[1, 0]",3.0,42
10,2,"[1, 0]",3.0,7
6,2,"[-1, 0]",10.0,211
10,2,"[-1, 0]",3.0,152
10,2,"[1, 0]",10.0,102
6,2,"[1, 0]",3.0,21
18,2,"[1, 0]",10.0,139
18,2,"[-1, 0]",3.0,194
18,2,"[1, 0]",10.0,129
22,2,"[1, 0]",3.0,70
18,2,"[-1, 0]",10.0,254
22,2,"[-1, 0]",3.0,150
18,2,"[1, 0]",3.0,64
6,2,"[-1, 0]",3.0,196
18,2,"[-1, 0]",3.0,189
10,2,"[-1, 0]",10.0,262
6,2,"[-1, 0]",10.0,266
6,2,"[1, 0]",10.0,101
14,2,"[1, 0]",3.0,8
6,2,"[1, 0]",3.0,66
14,2,"[-1, 0]",10.0,223
10,2,"[1, 0]",10.0,97
22,2,"[1, 0]",3.0,65
22,2,"[1, 0]",10.0,75
14,2,"[1, 0]",3.0,63
6,2,"[1, 0]",10.0,71
6,2,"[1, 0]",10.0,86
6,2,"[-1, 0]",3.0,176
14,2,"[-1, 0]",10.0,258
6,2,"[1, 0]",10.0,96
10,2,"[1, 0]",3.0,32
18,2,"[-1, 0]",3.0,174
14,2,"[-1, 0]",3.0,193
14,2,"[1, 0]",10.0,93
14,2,"[1, 0]",3.0,28
10,2,"[1, 0]",10.0,72
18,2,"[1, 0]",3.0,19
6,2,"[1, 0]",3.0,61
22,2,"[1, 0]",3.0,40
22,2,"[1, 0]",10.0,110
14,2,"[-1, 0]",10.0,248
22,2,"[1, 0]",10.0,90
14,2,"[1, 0]",3.0,13
10,2,"[-1, 0]",10.0,222
6,2,"[-1, 0]",10.0,236
18,2,"[-1, 0]",3.0,149
22,2,"[-1, 0]",10.0,245
10,2,"[1, 0]",3.0,22
22,2,"[-1, 0]",10.0,270
10,2,"[-1, 0]",10.0,277
18,2,"[-1, 0]",3.0,164
22,2,"[1, 0]",3.0,50
10,2,"[1, 0]",10.0,137
14,2,"[1, 0]",10.0,128
10,2,"[-1, 0]",3.0,177
14,2,"[-1, 0]",10.0,228
22,2,"[-1, 0]",3.0,200
14,2,"[1, 0]",3.0,18
6,2,"[-1, 0]",10.0,261
6,2,"[-1, 0]",3.0,156
18,2,"[1, 0]",3.0,69
22,2,"[-1, 0]",3.0,175
14,2,"[-1, 0]",3.0,183
22,2,"[-1, 0]",10.0,220
18,2,"[1, 0]",3.0,39
22,2,"[-1, 0]",10.0,240
22,2,"[1, 0]",3.0,5
10,2,"[-1, 0]",10.0,252
10,2,"[1, 0]",3.0,67
18,2,"[1, 0]",3.0,34
22,2,"[1, 0]",3.0,55
18,2,"[1, 0]",3.0,54
14,2,"[1, 0]",10.0,98
14,2,"[1, 0]",10.0,118
22,2,"[-1, 0]",10.0,230
14,2,"[-1, 0]",3.0,148
18,2,"[1, 0]",3.0,49
10,2,"[-1, 0]",3.0,172
10,2,"[-1, 0]",10.0,247
10,2,"[-1, 0]",10.0,242
10,2,"[1, 0]",10.0,77
14,2,"[1, 0]",10.0,133
6,2,"[-1, 0]",3.0,171
18,2,"[1, 0]",10.0,104
18,2,"[-1, 0]",10.0,239
22,2,"[1, 0]",10.0,105
14,2,"[-1, 0]",3.0,153
22,2,"[-1, 0]",3.0,190
14,2,"[1, 0]",10.0,108
6,2,"[1, 0]",3.0,11
10,2,"[-1, 0]",3.0,162
6,2,"[-1, 0]",10.0,226
6,2,"[1, 0]",10.0,121
18,2,"[1, 0]",10.0,84
10,2,"[1, 0]",10.0,112
14,2,"[-1, 0]",10.0,238
18,2,"[1, 0]",10.0,74
22,2,"[1, 0]",10.0,125
6,2,"[-1, 0]",3.0,191
22,2,"[-1, 0]",3.0,210
14,2,"[-1, 0]",3.0,163
22,2,"[-1, 0]",3.0,160
18,2,"[1, 0]",10.0,94
14,2,"[-1, 0]",10.0,218
10,2,"[1, 0]",3.0,52
6,2,"[1, 0]",10.0,136
10,2,"[-1, 0]",3.0,187
22,2,"[-1, 0]",3.0,145
18,2,"[1, 0]",10.0,79
18,2,"[1, 0]",10.0,119
10,2,"[-1, 0]",3.0,207
22,2,"[-1, 0]",3.0,195
22,2,"[1, 0]",3.0,30
14,2,"[1, 0]",10.0,123
22,2,"[1, 0]",10.0,135
6,2,"[1, 0]",3.0,56
10,2,"[-1, 0]",10.0,272
10,2,"[1, 0]",10.0,132
10,2,"[1, 0]",10.0,127
10,2,"[1, 0]",3.0,62
18,2,"[1, 0]",3.0,4
22,2,"[-1, 0]",3.0,180
10,2,"[-1, 0]",10.0,232
10,2,"[-1, 0]",3.0,142
14,2,"[-1, 0]",10.0,233
14,2,"[-1, 0]",3.0,178
22,2,"[-1, 0]",3.0,205
22,2,"[-1, 0]",10.0,250
18,2,"[-1, 0]",3.0,159
10,2,"[1, 0]",10.0,122
14,2,"[1, 0]",10.0,138
10,2,"[-1, 0]",3.0,192
6,2,"[-1, 0]",3.0,186
10,2,"[-1, 0]",10.0,267
6,2,"[1, 0]",10.0,76
14,2,"[1, 0]",3.0,53
18,2,"[-1, 0]",10.0,274
6,2,"[-1, 0]",10.0,251
14,2,"[1, 0]",3.0,48
14,2,"[-1, 0]",3.0,143
10,2,"[1, 0]",3.0,17
10,2,"[1, 0]",3.0,12
22,2,"[1, 0]",10.0,80
14,2,"[1, 0]",10.0,103
14,2,"[-1, 0]",10.0,278
14,2,"[-1, 0]",10.0,268
6,2,"[1, 0]",3.0,16
22,2,"[1, 0]",3.0,45
18,2,"[-1, 0]",10.0,224
10,2,"[1, 0]",3.0,57
6,2,"[1, 0]",10.0,81
10,2,"[1, 0]",3.0,2
22,2,"[1, 0]",3.0,15
14,2,"[-1, 0]",3.0,188
22,2,"[-1, 0]",10.0,215
18,2,"[-1, 0]",10.0,234
18,2,"[-1, 0]",10.0,249
14,2,"[-1, 0]",3.0,208
6,2,"[-1, 0]",10.0,271
6,2,"[1, 0]",3.0,41
6,2,"[1, 0]",10.0,91
18,2,"[-1, 0]",10.0,244
22,2,"[1, 0]",10.0,95
18,2,"[-1, 0]",10.0,229
14,2,"[1, 0]",3.0,23
10,2,"[-1, 0]",3.0,157
